label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10
0.0,0.35157964,0.7616107,-0.6724418,-0.41182023,-0.5326147,0.58237743,0.37159896,-0.6085784,0.6208316,0.7300913,0.7053459,0.4186135,0.5678943,0.73230207,0.51612407,0.6891709,0.7258086,0.45371184,0.5218467,0.4629926
1.0,0.3346934,0.7283538,-0.64213467,-0.39997518,-0.5107107,0.563642,0.3546428,-0.58334684,0.594278,0.7016738,0.7160979,0.43500173,0.5837702,0.73979634,0.5280444,0.7005408,0.7352396,0.46703976,0.535178,0.47928205
2.0,0.34854507,0.75618887,-0.6675229,-0.41044468,-0.5291334,0.5799992,0.36979932,-0.604576,0.6166632,0.7275602,0.70668846,0.4210916,0.57072634,0.73271745,0.5171715,0.69118905,0.72723347,0.4553913,0.52410966,0.46516836
0.0,0.36515445,0.788617,-0.69705343,-0.42101634,-0.5502896,0.5975115,0.38501185,-0.6289264,0.64232135,0.75173396,0.69653416,0.4057221,0.55509126,0.72664565,0.5069469,0.68008536,0.7180359,0.44344908,0.5110873,0.4504639
1.0,0.33921126,0.73872215,-0.65163714,-0.40466392,-0.5175194,0.5709393,0.361901,-0.5912292,0.6027931,0.7144837,0.7117853,0.42948258,0.5792804,0.73597836,0.5225357,0.69744056,0.73199606,0.46193013,0.5311455,0.47334993
2.0,0.3580046,0.77496296,-0.684624,-0.41660798,-0.5412787,0.59028286,0.37880287,-0.6185944,0.6315161,0.7418638,0.70064837,0.41208604,0.56165326,0.7291436,0.51106846,0.68483937,0.7218445,0.44836274,0.5165101,0.4565726
0.0,0.36228913,0.7822371,-0.69113296,-0.41837847,-0.5461079,0.59307,0.38079876,-0.6241551,0.63699734,0.74449825,0.69908184,0.4089531,0.5578317,0.7288098,0.510015,0.68203896,0.7200411,0.4463718,0.5135695,0.45382452
1.0,0.330249,0.72280145,-0.63717794,-0.39999455,-0.50697625,0.56368095,0.3559662,-0.57908726,0.5903201,0.7050739,0.7158882,0.4370247,0.5875322,0.7379604,0.5263354,0.70344937,0.7361373,0.46742657,0.53775054,0.4804179
2.0,0.33276796,0.724876,-0.6389748,-0.3993637,-0.50862813,0.5623106,0.35379133,-0.58092546,0.59167206,0.7008439,0.7169436,0.43662313,0.5857611,0.73969537,0.528441,0.7018381,0.73617023,0.46798232,0.536764,0.48051375
0.0,0.37499487,0.80720407,-0.7138976,-0.42687887,-0.5625936,0.6069881,0.39317673,-0.6431354,0.6569127,0.7642917,0.6911057,0.397317,0.5461565,0.72351253,0.50172806,0.6735867,0.71291,0.43704042,0.5037967,0.44239795
1.0,0.34585908,0.7509983,-0.662791,-0.40847903,-0.5256059,0.57701194,0.36704147,-0.6005377,0.6124544,0.72274446,0.70835185,0.4236358,0.5731307,0.7340642,0.5191416,0.6929895,0.728685,0.45753092,0.5261348,0.4677943
2.0,0.3448369,0.7490076,-0.6609903,-0.407947,-0.52436197,0.5760542,0.36629307,-0.59910125,0.6109351,0.7216837,0.70894766,0.4245789,0.57416487,0.7342503,0.51962465,0.6936755,0.7292482,0.458175,0.5269806,0.4686051
0.0,0.36964875,0.7979416,-0.70559394,-0.42472577,-0.5565846,0.6033896,0.39069015,-0.63621116,0.6500459,0.76142436,0.69314325,0.40120843,0.5509986,0.7237902,0.5029493,0.6770597,0.7152539,0.43944633,0.50751644,0.44569507
1.0,0.34503865,0.74865586,-0.6606051,-0.40690637,-0.52394474,0.574728,0.36453247,-0.5986377,0.6103476,0.7178987,0.7096436,0.42500678,0.5738686,0.7357058,0.5211771,0.6935689,0.7295018,0.4591152,0.52692467,0.46954525
2.0,0.3767674,0.8112437,-0.7176522,-0.4288963,-0.5654502,0.6101322,0.39639068,-0.6463914,0.6604897,0.7702548,0.6893305,0.3952449,0.54463273,0.72157633,0.49929267,0.672377,0.71161497,0.43494213,0.50233275,0.43999794
0.0,0.37201798,0.8025823,-0.70975447,-0.42622083,-0.5596615,0.605777,0.3927492,-0.6397831,0.6536598,0.76459175,0.6916953,0.39910984,0.54877406,0.72300345,0.5015825,0.6754953,0.7139409,0.43788043,0.505706,0.44370797
1.0,0.3580839,0.7727496,-0.68244374,-0.41446137,-0.5399008,0.5867186,0.3748017,-0.6170145,0.6292964,0.73427653,0.7029244,0.41372147,0.56199074,0.73179275,0.5144801,0.68489,0.723011,0.45055854,0.51725847,0.45870653
2.0,0.3210073,0.7006238,-0.6167642,-0.39040005,-0.4930199,0.5478307,0.34068838,-0.5630441,0.5723915,0.67855823,0.7253864,0.4492373,0.5974223,0.7455572,0.5381002,0.7098516,0.74325454,0.4783383,0.5467326,0.49291107
0.0,0.363564,0.7836465,-0.69240105,-0.41803938,-0.54696417,0.59279513,0.37989038,-0.6250255,0.637843,0.7423841,0.6994105,0.40852913,0.5567862,0.7297371,0.51094484,0.68124896,0.71987396,0.4465749,0.51289195,0.45384628
1.0,0.34674016,0.7516512,-0.6633458,-0.4080264,-0.5260658,0.5763621,0.36594665,-0.600994,0.61278844,0.7205432,0.7088451,0.42355698,0.57248425,0.7349532,0.5201478,0.69244224,0.7287288,0.45792192,0.52578026,0.46803802
2.0,0.34941277,0.7572183,-0.66841304,-0.41000605,-0.5296165,0.5795819,0.36899686,-0.6051909,0.6172277,0.7254067,0.706899,0.42082182,0.5698315,0.7336829,0.5180731,0.6906263,0.727085,0.45564738,0.52353257,0.46531424
0.0,0.35282,0.7642928,-0.67482424,-0.41238844,-0.53415185,0.5835476,0.37253326,-0.6104608,0.62277937,0.730966,0.7044346,0.4173882,0.56640834,0.73229045,0.5156156,0.68833065,0.7249931,0.45296267,0.520652,0.4620468
1.0,0.33814338,0.7365674,-0.64969873,-0.40378445,-0.5160738,0.56972295,0.36056757,-0.5894556,0.60103905,0.71228325,0.7125405,0.43053538,0.58029103,0.73660547,0.5234259,0.6981642,0.732607,0.46290272,0.5319817,0.4745363
