label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
1.0,0.14957237,0.07866067,-0.024720607,0.02466663,-0.03069211,-0.06409121,-0.27026317,0.07400533,0.46362615,0.20255215,0.07670546,-0.029867508,0.062454138,0.029085714,-0.098455906,0.2021797,0.09948403,0.073847935,0.05470269,0.053935602,0.8313307,0.81155163,0.9297957,0.8436716,0.70094943,0.91456294,0.20179534,0.80361915,0.011139184,0.34879422,0.76154,0.81146413,0.872367,0.7944305,0.90286374,0.5524771,0.9124255,0.7807807,0.86401224,0.8814317
1.0,0.17240357,0.08254324,-0.022923945,0.05512747,-0.08659514,-0.023397986,-0.38279888,0.07205054,0.6905912,0.31579065,0.10447091,-0.034581296,0.022035405,-0.01359947,-0.060663883,0.25315166,0.102930024,0.09209959,0.04997354,0.056302488,0.80725807,0.80400467,0.9242567,0.8382163,0.70315665,0.8904605,0.20276943,0.7857395,0.010700859,0.33405122,0.747823,0.7926351,0.8518037,0.7813446,0.88036966,0.5409713,0.89640903,0.7681015,0.84423596,0.8721016
1.0,0.18858033,0.32807803,-0.121271,-0.022179365,0.0993558,-0.17614937,0.28475377,-0.027806332,-0.5957327,-0.32670435,-0.1392784,-0.23680699,0.15170664,0.16553105,-0.2628636,-0.16814694,0.03673315,-0.13863477,-0.04936318,0.12605426,0.88252467,0.860045,0.92126745,0.83163744,0.7112023,0.8727139,0.24742605,0.7821438,0.023815215,0.41338193,0.772827,0.8107691,0.92599523,0.7614124,0.90210843,0.6170993,0.9500421,0.7882762,0.83877814,0.85321087
3.0,0.1317156,0.3578221,-0.12459001,-0.025453076,0.12073153,-0.21830492,0.523925,-0.09887957,-1.1031022,-0.48055127,-0.2800667,-0.37180573,0.20593297,0.20141655,-0.24291354,-0.3403,-0.029201016,-0.16398066,-0.091091484,0.18966623,0.946348,0.9114604,1.0263461,0.9013919,0.7924788,0.8663145,0.37615782,0.7858915,0.06845556,0.5345733,0.8686996,0.83004147,0.94795275,0.79745466,0.9404042,0.74374056,0.96611774,0.7990415,0.8517011,0.89899087
2.0,0.09815865,-0.1304704,0.07590608,-0.022179171,-0.43989784,0.14181592,-1.3563275,0.41836247,2.3625045,1.1920904,0.4603148,0.004600458,-0.0022281632,-0.52119917,0.11850197,0.91226244,0.09190595,0.3310269,0.24083507,0.10339323,0.72500724,0.72083366,0.82951427,0.79283434,0.7650823,0.71182686,0.19274856,0.6899897,0.008393592,0.20640908,0.63913894,0.64436823,0.70629877,0.6335401,0.72971,0.4430729,0.8389308,0.6694338,0.8228425,0.7987194
2.0,0.079649724,0.08307474,-0.033037856,-0.032055125,0.09131473,-0.124615796,0.038043037,0.09105734,-0.12144201,-0.06963262,-0.013603995,-0.012833685,0.1473384,0.10176738,-0.21555936,0.04204323,0.07580583,-3.145635e-05,0.08364938,0.050570242,0.89169526,0.8689042,0.94041955,0.8457366,0.7368701,0.9633094,0.23009093,0.8492448,0.017981512,0.40766624,0.79514045,0.8522015,0.92251855,0.82182175,0.9585065,0.6065363,0.93287057,0.84113944,0.91754246,0.90144074
1.0,0.13704768,0.056442067,-0.013278266,0.026157595,-0.031253345,-0.04688114,-0.2884194,0.08054312,0.51696813,0.22782594,0.08623246,-0.0012141764,0.05740241,0.021473816,-0.09819117,0.21840009,0.1016549,0.086435035,0.07209791,0.045846626,0.8365521,0.81647193,0.93107325,0.84698576,0.71479696,0.9326218,0.20495878,0.8134191,0.0114742,0.35309434,0.7642348,0.81527156,0.87059706,0.80312306,0.91143966,0.5559271,0.8995006,0.7887458,0.8743066,0.887191
3.0,0.1475878,0.38636544,-0.13957703,-0.02006033,0.11050068,-0.22047633,0.5374341,-0.12436278,-1.1410706,-0.49585894,-0.29885948,-0.4273943,0.19143678,0.20457408,-0.22862452,-0.3646815,-0.031035908,-0.17050415,-0.12146421,0.20335512,0.940779,0.9134578,1.0348908,0.9113827,0.79589057,0.85245985,0.3935057,0.7696608,0.07474639,0.5479448,0.88084877,0.8130124,0.94347405,0.78634036,0.9287,0.7517198,0.9719722,0.78526217,0.8439584,0.8982101
2.0,0.12607053,-0.030127745,0.03488662,0.1157089,-0.17592297,0.09703253,-0.64621294,0.116880246,1.242267,0.6076951,0.18388665,0.075667,-0.04330807,-0.12595321,0.007045243,0.39947438,0.109200895,0.1728906,0.11638074,0.020203158,0.77983934,0.8242879,0.9299458,0.84285015,0.76550514,0.90131813,0.21644202,0.7945202,0.011701144,0.32763845,0.7420437,0.7805169,0.82077956,0.7913411,0.8667319,0.551105,0.84339285,0.7715572,0.8671011,0.88640755
1.0,0.18157515,0.12537672,-0.044722617,0.024209201,-0.034957632,-0.06570827,-0.24851382,0.058945104,0.42366907,0.17167792,0.06373582,-0.0654683,0.052914627,0.03766375,-0.11020144,0.18145314,0.09527278,0.04707645,0.030920208,0.06789927,0.8271266,0.8046685,0.9150877,0.83631843,0.6929961,0.9016904,0.20113173,0.7887726,0.011064811,0.3439445,0.7504769,0.79941005,0.8677233,0.7789955,0.8883204,0.54332924,0.91302365,0.7739187,0.848527,0.867555
2.0,0.040019087,-0.0619547,0.033109356,0.01167082,0.034149762,-0.05224929,-0.2238333,0.12608644,0.4200162,0.19161227,0.09035109,0.1105727,0.113128245,0.035187807,-0.13102272,0.21654701,0.106969506,0.12163193,0.15734774,0.005263865,0.8774361,0.8623833,0.959243,0.86434,0.75106865,1.003426,0.21776317,0.87854797,0.014350549,0.3927527,0.7965747,0.8722246,0.900855,0.8528495,0.9724935,0.5984055,0.90578365,0.83487785,0.9409155,0.9293426
