label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
1.0,-0.051837385,-0.034554727,-0.016290195,0.042372324,0.03093965,-0.03748326,-0.0029533878,0.021998666,0.023597281,0.0011207908,-0.011108048,-0.064928055,0.0026156604,0.01166711,0.039273545,0.028610602,-0.031618703,-0.009210102,-0.047817316,0.021804327,0.9842965,0.9877334,0.9986915,1.0091537,0.9970457,1.0010276,0.9932905,1.001495,0.98952675,0.9915018,0.98318,0.99936974,0.9905216,0.98537904,0.9984808,0.9924823,1.0064331,0.99049705,0.9998139,1.005289
3.0,0.014133371,0.009817608,0.0038416767,-0.010948688,-0.007750713,0.012127109,0.00078501925,-0.0058641955,-0.004944507,-6.084889e-05,0.006160777,0.017326858,-0.001810722,-0.0037649497,-0.012302414,-0.007226154,0.0065374747,0.0022324808,0.012051702,-0.006619055,0.99972415,1.0007657,0.99431133,0.9935036,0.99599284,0.9961234,0.99983,0.99561876,0.9994814,0.9990772,0.9977649,0.9922339,0.99783254,1.0002348,0.9950355,0.9984757,0.9972051,0.9991208,0.9976776,0.99636173
4.0,-0.017577559,-0.01052209,-0.005342982,0.01364629,0.010476776,-0.011354655,-0.0022492148,0.0075052613,0.007640939,-0.0005065203,-0.0015411265,-0.021280136,0.0027730763,0.0018036067,0.011487,0.0076907948,-0.010471843,-0.0021745265,-0.015118733,0.006824665,0.99323624,0.9942721,0.9974753,1.0006605,0.99749446,0.99799615,0.9984078,0.9977873,0.99642,0.9957496,0.9924549,0.9960101,0.99521387,0.99428236,0.9965557,0.9963222,1.0014408,0.996403,0.9998621,0.9999503
3.0,-0.011307344,-0.0062577724,-0.003415835,0.00856873,0.006756779,-0.0067783147,-0.0018738396,0.0047950046,0.0049262047,-0.0007598251,0.00016611442,-0.013454821,0.002408728,0.0002701953,0.0065746754,0.0041424036,-0.006828606,-0.0010464676,-0.009407617,0.0041826125,0.9946775,0.9954711,0.9970732,0.999096,0.9973366,0.99755746,0.99912137,0.99729806,0.9974946,0.9963822,0.99368894,0.9953711,0.9959775,0.99560326,0.9961882,0.9969366,1.0006031,0.9972278,0.99970317,0.9990189
3.0,0.0018812269,0.0019202568,0.0002459986,-0.0014127158,-0.0006791181,0.0031165183,-0.00047767535,-0.00058717653,-6.964803e-05,-0.00019849837,0.0032335967,0.002381377,8.1039965e-05,-0.0015943497,-0.0031736419,-0.0014675632,-7.0743263e-06,0.00047961622,0.0015887544,-0.0014407334,0.9973177,0.9983164,0.9956304,0.9964062,0.9968196,0.99680513,0.9992589,0.9963301,0.9983082,0.9978092,0.9959516,0.99363035,0.99682987,0.9981212,0.9956141,0.9977589,0.99882257,0.9981212,0.99854714,0.99778086
3.0,0.0021926016,0.0019179434,0.00019757263,-0.0014904104,-0.0007636654,0.0031938218,-0.0002635382,-0.0006595887,-4.5325607e-05,-9.356439e-05,0.0032824054,0.0025931038,-0.00042962283,-0.001254797,-0.0032495633,-0.0012787655,-3.9767474e-05,0.00018350407,0.0017982051,-0.0015192067,0.9974301,0.99854237,0.99559665,0.99648714,0.9969668,0.9969482,0.9989597,0.9964356,0.99813384,0.9979328,0.99575424,0.99354273,0.9967212,0.99820966,0.99565786,0.99786586,0.99875844,0.9979236,0.99836046,0.9979192
2.0,-0.009541653,-0.0053505674,-0.0030248826,0.0073843934,0.0058444524,-0.005406663,-0.0015776344,0.004168342,0.00440415,-0.00046274252,0.00049583614,-0.011480201,0.0017788932,0.00032977015,0.005377315,0.0037752911,-0.0060919933,-0.0010637157,-0.008112222,0.0034166283,0.9949946,0.9959524,0.9967975,0.99890405,0.9973291,0.99750125,0.99884295,0.99716806,0.99731493,0.99661624,0.99395716,0.9950431,0.9959355,0.9959542,0.9961606,0.99700093,1.0003488,0.99717957,0.9993895,0.9990177
4.0,-0.01799748,-0.010706052,-0.0054249773,0.013909144,0.010689519,-0.011705358,-0.002326671,0.0076393858,0.007742949,-0.00062120147,-0.001606904,-0.02172571,0.0029564723,0.0017440245,0.011759542,0.0077132955,-0.010616057,-0.0021449514,-0.015388742,0.0070190364,0.99316883,0.99414515,0.9975619,1.0006772,0.99748725,0.99800783,0.9985196,0.99782014,0.99651176,0.99568355,0.9923751,0.9961046,0.99525017,0.9941877,0.9965465,0.99632305,1.0015036,0.9964303,0.99995184,0.9999225
4.0,0.018623218,0.012401629,0.0050041573,-0.014194921,-0.010140235,0.015631845,0.0014498755,-0.0076322723,-0.006463621,0.00047756732,0.0069758035,0.022590779,-0.0030625015,-0.0040690377,-0.015434682,-0.008599836,0.008636925,0.0025753528,0.015508704,-0.00855327,1.0004411,1.0017595,0.99357307,0.9926918,0.99558985,0.99588376,0.9995089,0.9952756,0.99928594,0.9996204,0.99840885,0.9915358,0.99789864,1.0009189,0.9948884,0.9984919,0.99658006,0.99918836,0.9969878,0.9961255
2.0,-0.009535983,-0.0053308234,-0.0030168323,0.007372029,0.005836829,-0.005405262,-0.0015855879,0.0041604117,0.004392676,-0.00047782622,0.0005028546,-0.011462282,0.001803644,0.000305295,0.0053647608,0.0037441254,-0.0060742125,-0.0010441951,-0.008097537,0.0034151452,0.9949997,0.9959468,0.99680454,0.9988912,0.99732554,0.9974959,0.9988653,0.9971658,0.99733746,0.99661064,0.99396604,0.9950487,0.9959486,0.99595433,0.99615407,0.9970075,1.000351,0.99719244,0.9994011,0.9990059
3.0,-0.009530388,-0.0053738058,-0.0030539772,0.007426342,0.0058692438,-0.0054308996,-0.0015401132,0.004183002,0.00443979,-0.00044409186,0.0004916787,-0.011500802,0.0016983673,0.00039438158,0.005397439,0.003828846,-0.006118089,-0.0011175014,-0.008131258,0.00343174,0.99499434,0.9959781,0.9967944,0.9989304,0.9973503,0.9975183,0.99878705,0.9971815,0.9972753,0.9966085,0.99391735,0.995028,0.9959147,0.9959405,0.99614704,0.9970198,1.0003519,0.99713445,0.999352,0.9990424
3.0,-0.022198752,-0.013502233,-0.006704719,0.017288512,0.013168205,-0.014903784,-0.0025623813,0.00940213,0.009537004,-0.0005916804,-0.0027019382,-0.02693877,0.0032352358,0.0027035326,0.015046641,0.009938464,-0.013017304,-0.0028710477,-0.019136384,0.008846831,0.99221843,0.99331605,0.99787825,1.0016499,0.9975726,0.9983332,0.99813586,0.9982106,0.99592006,0.99522376,0.9914192,0.9965809,0.99480706,0.99324787,0.99675274,0.9959731,1.0020858,0.9958932,1.0000944,1.0004771
2.0,-0.0051436797,-0.002539754,-0.0017532948,0.0039423294,0.0032882718,-0.002187904,-0.00116596,0.002306101,0.0026316606,-0.0004366953,0.0016029328,-0.0061238743,0.0011366233,-0.0004183203,0.0020700693,0.0016788915,-0.003731545,-0.0004934706,-0.004271157,0.0015459976,0.99596846,0.9968966,0.9964168,0.9979284,0.9972199,0.9972852,0.9990455,0.9968911,0.9977933,0.9971295,0.9946882,0.99452746,0.9963142,0.99686795,0.9959923,0.9973704,0.99974835,0.9975669,0.9991166,0.998537
3.0,0.030543711,0.019957382,0.008469712,-0.023323055,-0.016878791,0.024554314,0.0029216483,-0.012777653,-0.0110448785,0.000980502,0.009523276,0.037052557,-0.0054186955,-0.005923219,-0.024101742,-0.013660818,0.014799405,0.00420871,0.025321089,-0.013620872,1.0024964,1.0041,0.99194735,0.98984534,0.99431515,0.99521124,0.99973655,0.9946347,0.9999281,1.0008695,0.9999486,0.99011815,0.9986433,1.0026104,0.99433047,0.9987961,0.9950193,0.99989986,0.9958337,0.99491185
3.0,0.01306916,0.008921899,0.0034051733,-0.0099561885,-0.0070152734,0.011370353,0.0008096844,-0.005298581,-0.0043558516,0.0001574792,0.0058062375,0.015873343,-0.0020239428,-0.0032255575,-0.011374373,-0.006312132,0.005777102,0.0018183962,0.010985993,-0.0061630914,0.9994876,1.0006629,0.9943417,0.99393743,0.9961352,0.99624497,0.9994473,0.99567866,0.9990581,0.9990401,0.99753803,0.99225444,0.99757653,1.0000632,0.99513507,0.99837095,0.9973172,0.99884117,0.9975485,0.9966654
3.0,0.014965914,0.010087676,0.0039476445,-0.011393309,-0.008071128,0.012884758,0.0010230802,-0.0060743745,-0.005057458,0.00032787025,0.0061769485,0.018156908,-0.002381675,-0.0034947544,-0.012757566,-0.0070309006,0.006735917,0.002078388,0.012483694,-0.00699638,0.999789,1.0010324,0.99404687,0.9935386,0.99592817,0.9960984,0.99943346,0.9955018,0.9990735,0.99924064,0.9978865,0.9919825,0.99766237,1.000356,0.9950586,0.9983694,0.99706304,0.99895424,0.9973309,0.9965007
2.0,-0.012937672,-0.0077971444,-0.004179544,0.010289656,0.007947243,-0.008003373,-0.0016626045,0.005701799,0.006004911,-0.00026732124,-0.00043551624,-0.015852023,0.0016973987,0.0014144108,0.008134447,0.0059093162,-0.00819996,-0.0019006096,-0.011279941,0.004911419,0.9942211,0.9953955,0.99701256,0.9998696,0.9975301,0.9978192,0.9982509,0.99749494,0.996592,0.9962803,0.9931332,0.9953386,0.9954416,0.99522483,0.99634767,0.9967362,1.000805,0.9965834,0.9993607,0.99961823
4.0,-0.023161933,-0.014001712,-0.0068971375,0.017914975,0.013660912,-0.01555416,-0.002733633,0.009746296,0.009814031,-0.00067628734,-0.002930712,-0.028001528,0.0035788268,0.0026624948,0.015700825,0.010202996,-0.013422228,-0.0028267913,-0.019888453,0.00922196,0.9920091,0.9930383,0.9979772,1.0017536,0.9975065,0.9983345,0.9982657,0.9982428,0.99595255,0.995109,0.9913355,0.99674726,0.9947971,0.9930492,0.9967943,0.99585783,1.0022137,0.9959192,1.0002439,1.000497
1.0,-0.0046556517,-0.0024834648,-0.0018327003,0.0038412996,0.0031643538,-0.0021229647,-0.0008389242,0.0021883938,0.0026657581,-0.0003433656,0.0017107949,-0.00577097,0.00040324777,4.4047832e-05,0.0019272491,0.0018706098,-0.0037279166,-0.00090935454,-0.0039288625,0.0014572472,0.99614763,0.99723256,0.99640286,0.9980191,0.99744993,0.99749184,0.9986447,0.9970598,0.99760354,0.9972508,0.9943692,0.99440706,0.99619156,0.99696225,0.9959905,0.99759185,0.99967504,0.9972703,0.9988524,0.99870974
4.0,0.0209288,0.013983719,0.005745439,-0.016057923,-0.011521673,0.017340815,0.0016441457,-0.008683857,-0.007447634,0.0004323814,0.007541362,0.025476072,-0.003277406,-0.0046327114,-0.017199326,-0.009831734,0.009944648,0.0030400045,0.017506443,-0.009538934,1.0008693,1.0021553,0.99332464,0.99204814,0.99533516,0.99571794,0.9997517,0.99514693,0.99961275,0.99981713,0.99876666,0.99131703,0.99814653,1.0012649,0.99475527,0.9985963,0.99629474,0.9994475,0.996897,0.995784
3.0,-0.012197189,-0.0070269257,-0.0037771547,0.009426195,0.0073604085,-0.0073908865,-0.0018226206,0.0052583544,0.005443804,-0.00052678585,-0.00015259534,-0.014693376,0.0021670312,0.0007641539,0.007372901,0.0049901456,-0.007503804,-0.0014015511,-0.010379374,0.004547991,0.99443614,0.9953883,0.9970529,0.99946123,0.99740076,0.9976619,0.9987548,0.9973729,0.99708354,0.9963278,0.99347013,0.9953797,0.99572974,0.9954165,0.99628246,0.9968049,1.0007101,0.9969556,0.9995797,0.99929774
4.0,-0.025876075,-0.015683591,-0.00764428,0.01997922,0.015205143,-0.01759179,-0.0029665902,0.010824008,0.010866139,-0.0007607918,-0.0036146007,-0.031258773,0.0039742514,0.0030671656,0.017751984,0.011417694,-0.014852554,-0.0031262375,-0.022208951,0.010385855,0.9914023,0.99242705,0.99821013,1.0022691,0.9974808,0.99849766,0.99820566,0.9984664,0.99572664,0.9947958,0.9907819,0.997111,0.99459714,0.99243397,0.9969125,0.99561626,1.0025909,0.99568605,1.000427,1.0007559
2.0,0.025787886,0.017236471,0.007282276,-0.019929513,-0.014387481,0.021051874,0.0021017157,-0.010856511,-0.009458441,0.0005082246,0.00863957,0.03151109,-0.0038730577,-0.005707182,-0.020868856,-0.012200877,0.012624357,0.003965229,0.02158422,-0.0116471825,1.001694,1.0030004,0.9927006,0.9907521,0.9947178,0.9953478,1.0001187,0.99482775,1.0001016,1.0002444,0.9995417,0.9907953,0.99857384,1.0019472,0.9944951,0.99869865,0.9956844,0.99991107,0.9965952,0.995145
2.0,-0.012725905,-0.0073536634,-0.0039219568,0.009825684,0.007657828,-0.0077835657,-0.0018749796,0.0054710424,0.005644001,-0.0005434286,-0.0002809167,-0.015326593,0.002253443,0.0008403808,0.007766746,0.0052222162,-0.007778503,-0.001459796,-0.010825686,0.0047705993,0.99432725,0.99527407,0.99710625,0.999566,0.997411,0.9976926,0.99874645,0.9974127,0.99704605,0.9962708,0.9933774,0.9954497,0.9956931,0.995311,0.99630815,0.996766,1.0007824,0.99691594,0.99962264,0.9993503
2.0,0.005387448,0.0040065944,0.0011805426,-0.004039921,-0.0026402515,0.005680356,-1.0859221e-05,-0.0020312704,-0.0013556741,-7.0109963e-06,0.0040238686,0.006536033,-0.0007735491,-0.0019142479,-0.005680777,-0.0028050095,0.001706671,0.0007442795,0.004507892,-0.0029253622,0.9980384,0.9991382,0.9952239,0.99572366,0.9967027,0.9967009,0.99916273,0.99616015,0.99843264,0.99827117,0.99639374,0.9931621,0.9969945,0.9987973,0.9955292,0.9979804,0.99833107,0.99826056,0.9981657,0.9975321
2.0,0.060774677,0.039929412,0.018051326,-0.047045182,-0.034471404,0.047738913,0.0063737053,-0.026530528,-0.023209583,0.0020549241,0.01576643,0.07436292,-0.010221489,-0.012167089,-0.046442967,-0.027384255,0.030881662,0.009871352,0.04976227,-0.026652582,1.006717,1.0090042,0.9870742,0.98147,0.9890972,0.9928457,1.0015007,0.9931273,1.0019045,1.0035422,1.0037813,0.98684436,1.0008821,1.0055629,0.99252206,0.9983059,0.99134445,1.0023532,0.9934547,0.99112046
4.0,-0.02738379,-0.01653181,-0.007990702,0.021017473,0.016004728,-0.01866246,-0.0031712092,0.011378338,0.011356488,-0.0008593891,-0.0039834008,-0.03298079,0.004362166,0.0031329766,0.018830746,0.011945039,-0.015557639,-0.0031611398,-0.02342185,0.010993124,0.99107903,0.9920375,0.9983545,1.0024787,0.9974147,0.9985512,0.9983052,0.998563,0.9957072,0.9946353,0.9905618,0.99735266,0.9945386,0.9921187,0.9969938,0.9954563,1.0027909,0.995652,1.000606,1.0008413
4.0,-0.018123843,-0.010806978,-0.0054762876,0.014028374,0.010773428,-0.011818856,-0.0023183115,0.007698329,0.007812556,-0.0006153956,-0.0016399063,-0.02189875,0.002929464,0.0018047094,0.011871047,0.007805027,-0.010705758,-0.0021950454,-0.01550924,0.007082356,0.99314165,0.9941315,0.9975715,1.0007199,0.99750364,0.9980295,0.99848366,0.9978422,0.9964783,0.9956716,0.99232304,0.9961137,0.99522793,0.9941577,0.9965527,0.99632126,1.0015217,0.9963959,0.9999429,0.9999504
2.0,0.0025721565,0.0023358613,0.00043683685,-0.0019478649,-0.0010772771,0.0036107302,-0.0003902614,-0.0008807499,-0.00033781677,-0.00018125027,0.003400676,0.0032074265,-7.817894e-05,-0.001668714,-0.003673993,-0.0017552003,0.00033716112,0.0005313717,0.0021902174,-0.0017322914,0.9974678,0.99847806,0.9955601,0.9962625,0.9968038,0.99679166,0.99925625,0.99630505,0.99835426,0.9979087,0.9960247,0.99354607,0.9968701,0.9982627,0.995604,0.9978092,0.99872094,0.99815726,0.9984838,0.9977224
3.0,0.001139164,0.0014609247,7.572491e-05,-0.00087914616,-0.00026240665,0.0027099065,-0.00063126907,-0.00025527738,0.0002052784,-0.00016750954,0.0030243099,0.0015055612,0.000370346,-0.0015907735,-0.0026736632,-0.0011559948,-0.0003736131,0.0004898943,0.00090589374,-0.0011537119,0.99706924,0.99806774,0.99562633,0.9965577,0.99674547,0.9967397,0.9992931,0.99627507,0.99819744,0.9976953,0.99596405,0.9937002,0.9967725,0.9979398,0.99562293,0.9975733,0.99891216,0.99814475,0.9986168,0.9977993
4.0,0.049521856,0.032304343,0.014279686,-0.03805228,-0.027768433,0.03887004,0.0052308366,-0.021271313,-0.01855148,0.0016506761,0.013490599,0.060313854,-0.008864053,-0.009436592,-0.0379922,-0.022068419,0.024778273,0.0073384605,0.040820785,-0.021723174,1.0053763,1.0074408,0.9890646,0.98481125,0.9914841,0.993942,1.0005411,0.9937691,1.0010952,1.0026809,1.0021892,0.9880485,0.99994314,1.0047116,0.99327165,0.9987987,0.99262446,1.0012242,0.9941853,0.9926956
3.0,-0.018863887,-0.011188939,-0.0056487666,0.014551235,0.011180649,-0.012377009,-0.0024301,0.007973961,0.008051164,-0.00071050227,-0.0018011816,-0.022731569,0.00317394,0.001788117,0.012382925,0.007992312,-0.011017535,-0.002184432,-0.016087987,0.0074070776,0.99298555,0.9939248,0.9976681,1.0008053,0.9974763,0.998037,0.99857974,0.99787635,0.99651664,0.9955527,0.9922188,0.9962408,0.99523234,0.99397933,0.9965445,0.99627423,1.0016327,0.9963966,1.0000458,0.9999577
2.0,0.015247211,0.010221586,0.004017544,-0.011594858,-0.008217998,0.013150435,0.0010704361,-0.0061744973,-0.0051408224,0.00042117387,0.0062014274,0.018476676,-0.0024937168,-0.003475204,-0.012941867,-0.007043645,0.006841596,0.0020851083,0.012667201,-0.0071388744,0.999828,1.0011064,0.9939762,0.9935128,0.99589354,0.9960814,0.99936914,0.9954584,0.9990027,0.99929845,0.9979572,0.9919172,0.9976401,1.0004148,0.99507725,0.9983399,0.9970185,0.99894315,0.9972613,0.9965201
1.0,-0.011850379,-0.0068996325,-0.003726489,0.009243552,0.0072124414,-0.0070916675,-0.0017442144,0.0051689176,0.0053917505,-0.00040110387,-0.000116705894,-0.014349226,0.0019848496,0.0008433461,0.007162556,0.0050205067,-0.0074079633,-0.00144732,-0.010196537,0.004397641,0.99446183,0.9954883,0.99695545,0.999469,0.99739176,0.9976408,0.99862504,0.9973316,0.9969551,0.9963673,0.9935305,0.99528486,0.9956781,0.9954667,0.99627364,0.99678075,1.0006593,0.9969115,0.9994728,0.9993284
