label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
1.0,0.00072075427,0.0073876306,0.0030926764,0.002889607,0.002733957,0.0032057154,0.0039798226,-0.0013699532,0.005003613,0.0023024306,0.0023184605,-0.00043681264,0.0015805662,0.0022874177,0.0020460002,-0.00032514334,0.0047965534,0.0022211224,-0.0012626685,0.0004246533,0.99200076,0.9967454,0.9979081,0.9952459,0.9949662,0.996048,0.99795544,0.9961597,0.98918176,0.9941259,0.99512804,0.99856824,0.99721414,0.98619276,0.99684894,0.99500746,0.99405104,0.9936,0.99665195,0.99772525
1.0,0.0018840767,0.0103366375,0.0028850175,0.0032524653,0.0027258694,0.0050437087,0.0041848384,-0.0009868257,0.00465063,0.0027738735,-0.00019831024,-0.001817137,8.85129e-05,0.005219035,0.00095764175,-0.0010017529,0.0069792606,0.0012026802,0.00027952716,0.0015581772,0.99321365,0.99924946,0.99655867,0.99404544,0.9951688,0.9979422,0.9974627,0.9967846,0.9899067,0.9941744,0.99651307,0.9991037,0.9967699,0.9862344,0.99693364,0.99470186,0.9942317,0.9943948,0.9946831,0.9971634
1.0,0.0006284714,0.0074808076,0.0029800758,0.0029886998,0.0027046166,0.0031010753,0.004045399,-0.0015355945,0.004981196,0.0024419352,0.0023963917,-0.00054299086,0.001598075,0.00229121,0.0021129083,-0.00029750913,0.004667625,0.002185531,-0.0011954345,0.0004284382,0.991885,0.9965871,0.99794686,0.99528027,0.9949763,0.9959235,0.99802864,0.99616086,0.98910505,0.99412805,0.9950317,0.99862564,0.9971307,0.98624027,0.99680525,0.9952044,0.99407315,0.99362475,0.9967244,0.9978123
1.0,0.00024893135,0.006015986,0.0032480434,0.0026993826,0.002712667,0.0024106482,0.0038282964,-0.0013949536,0.0051411386,0.00204999,0.003422359,0.00021658838,0.0022218153,0.00097326934,0.00248635,-3.501028e-05,0.0039140694,0.0026409402,-0.0019633658,-4.939735e-05,0.991498,0.995707,0.9984634,0.99571806,0.9948655,0.99526644,0.9980662,0.9958637,0.98887753,0.9941283,0.994529,0.99831474,0.99748415,0.98615396,0.99683416,0.99505323,0.9939873,0.9932354,0.9974486,0.99788564
1.0,0.00014480948,0.0057500526,0.003267303,0.0026726201,0.0027002767,0.0022384103,0.0038041398,-0.0014220774,0.005159559,0.0020171478,0.0036504567,0.0003316626,0.0023533031,0.00070943683,0.002584098,2.8155744e-05,0.0037232712,0.0027203262,-0.0020964444,-0.00014156103,0.9913834,0.9954816,0.9985796,0.99581456,0.9948492,0.99509245,0.99809414,0.99580336,0.9888065,0.9941291,0.994395,0.99827427,0.99753094,0.98614967,0.99682856,0.9950857,0.99397737,0.99316955,0.9976169,0.9979241
1.0,0.0026064292,-0.0033110753,-0.004177399,-0.021679966,0.011203814,0.01954569,0.01698193,-0.023603939,0.008057322,-0.006972201,0.01315362,0.0008228272,0.013883591,-0.038113803,0.011051981,0.024637107,-0.021077786,0.023565903,-0.010785136,-0.0057867914,1.0048697,1.0158545,1.0217263,0.99026275,0.998778,0.98008585,1.0104885,1.006667,0.99017555,0.9880769,0.97526103,0.99962205,1.0056319,0.95626396,0.99712235,0.99227613,0.9908182,0.9994733,1.0207926,0.9993321
1.0,-0.00057689846,0.0005505979,0.0051270723,0.0073679388,0.00012335926,-0.0066537415,-0.0011690687,0.004711546,0.0036724294,0.0012167245,0.0037935562,0.0015940666,0.00086639076,0.0042658597,0.002332665,-0.004140094,0.005275443,-0.0005760044,-0.0025696233,0.00063182414,0.9869353,0.98755336,0.9948939,0.997069,0.99338675,0.9975331,0.9933427,0.99046665,0.9865849,0.99397665,0.99634755,0.99619824,0.99848735,0.99397045,0.99848306,0.9942835,0.99542654,0.99162453,0.9939842,0.99814487
1.0,0.0003864877,0.006524749,0.00315997,0.0028011128,0.0027159601,0.0026584652,0.003902942,-0.0014269464,0.0050913384,0.0021798685,0.0030671768,-4.1142106e-05,0.0019984245,0.0014380962,0.0023486558,-0.00013355911,0.00418498,0.0024773404,-0.0016951598,0.00011564791,0.9916362,0.9960179,0.9982774,0.9955632,0.9949017,0.995511,0.9980465,0.99597013,0.98895955,0.9941314,0.99471223,0.99841565,0.99736005,0.98618853,0.99682,0.99509794,0.9940174,0.99336416,0.9971855,0.9978581
1.0,0.00020365417,0.0073689222,0.0024422146,0.0038054883,0.0025136136,0.0024010686,0.0037023127,-0.0011477508,0.0049924804,0.0029412508,0.002774451,-0.00074508786,0.0014157593,0.0026710704,0.0020818952,-0.00076544285,0.004548643,0.001488395,-0.00078134984,0.000270769,0.9911809,0.9954257,0.99765235,0.99531627,0.994827,0.9961844,0.99753475,0.9958004,0.98874784,0.99423397,0.9948705,0.9985795,0.9967495,0.9870651,0.9967767,0.99583393,0.99427235,0.99325985,0.9962996,0.9980178
1.0,0.00039926544,-0.0015888289,0.0077533275,0.005159106,7.595867e-06,-0.0088630505,-0.0011455957,0.0042457916,0.0032447837,-0.0010307804,0.00518143,0.0029121488,0.0024557933,0.00042934716,0.0033892244,-0.0023261905,0.0033701807,0.0019433424,-0.0051590167,0.001208365,0.9862327,0.98810786,0.9961955,0.9977354,0.99304056,0.99508935,0.99433976,0.9909995,0.98654604,0.99380964,0.99553573,0.9957233,1.0008322,0.99235356,0.99847853,0.9929876,0.9950971,0.99252564,0.99647367,0.9981362
1.0,0.0013432652,0.008782007,0.0031481758,0.0035618246,0.0025770217,0.0036577664,0.0036813673,-0.00061124936,0.004723842,0.002523914,0.0007743761,-0.0011335313,0.00052042305,0.0044276565,0.001325842,-0.0010863096,0.0063505583,0.0013417676,-0.00028946996,0.0010774434,0.9923118,0.9976415,0.9968161,0.9946366,0.99496406,0.997469,0.9972848,0.9960651,0.9894541,0.99418557,0.99617916,0.9987162,0.9968764,0.9868962,0.99697083,0.9946985,0.99424124,0.9939628,0.99507713,0.9973671
1.0,0.0010471232,0.00821659,0.0029066913,0.002351649,0.0029698126,0.004343342,0.004464373,-0.0017042272,0.0050922185,0.0023497567,0.0018880796,-0.00073072314,0.0015244931,0.0023367926,0.0018760413,-0.000118881464,0.0049519204,0.0023491606,-0.001104176,0.0006518215,0.9927935,0.9978679,0.99793935,0.9949035,0.9951021,0.9962006,0.99820316,0.9968048,0.9895219,0.9940879,0.9952222,0.99875724,0.9973003,0.98543465,0.9967992,0.99497867,0.99399054,0.9937796,0.99672574,0.997609
1.0,0.0009972341,0.00820484,0.0028042756,0.002353385,0.0029811412,0.004390822,0.0044880733,-0.0017152466,0.0051288893,0.0024029464,0.001924647,-0.0007569343,0.0015591383,0.0022862777,0.0018933099,-0.0001263395,0.0048917085,0.0023207888,-0.0010865331,0.00061680377,0.99281746,0.9978001,0.9979583,0.99489766,0.995102,0.99620336,0.9981909,0.9968256,0.9895054,0.9940799,0.9951738,0.9987587,0.9972797,0.9854187,0.99679834,0.9950525,0.9939914,0.9937272,0.9967513,0.9976389
1.0,0.001144141,0.008060679,0.0033277422,0.0033166632,0.0026103184,0.0032710407,0.0036703907,-0.0008507408,0.0047954754,0.0022771955,0.0014198944,-0.00070602447,0.00090583414,0.003560163,0.0016192719,-0.00074068457,0.0057840943,0.0017840415,-0.00077490136,0.00078228116,0.99206823,0.9973241,0.99726886,0.9949329,0.9949417,0.99685585,0.9975725,0.9959779,0.9893667,0.9941663,0.9957906,0.9986167,0.99704283,0.986682,0.99695677,0.9946353,0.99414504,0.9938578,0.9956675,0.9974892
1.0,0.0039795153,0.016564548,0.002046097,0.0037605762,0.0025153086,0.00894252,0.005058555,-0.0009647757,0.0037935916,0.0042721555,-0.0048446674,-0.005044639,-0.0025288835,0.010490239,-0.0009268224,-0.0019083843,0.010766566,-0.0008478686,0.0034086443,0.0040030777,0.99568534,1.0042334,0.99415934,0.9914947,0.9957333,1.0009985,0.9966376,0.9984791,0.99117434,0.99436706,0.9985937,1.0006045,0.9960033,0.9857089,0.99696213,0.99481624,0.9946531,0.9961479,0.99129623,0.99605495
1.0,0.0007392876,0.0071805045,0.0032101497,0.002569981,0.0028220601,0.0033219506,0.004087569,-0.001498796,0.0050680945,0.002128251,0.0025307946,-0.0002400279,0.0017716959,0.0018342286,0.0021265503,-0.00010289997,0.004587572,0.002498038,-0.0015107505,0.00035442412,0.992122,0.9969102,0.9981294,0.9953001,0.99498045,0.99580526,0.9981305,0.996282,0.9892371,0.99411345,0.99499327,0.9985334,0.9973814,0.985867,0.9968295,0.99488914,0.9939889,0.99358386,0.99696475,0.9977087
1.0,0.0010007583,0.007905193,0.003165774,0.003137868,0.0026820526,0.003409336,0.00382635,-0.00096847117,0.004908097,0.0023375452,0.0016652681,-0.00066842884,0.0011414364,0.0031672865,0.0017231889,-0.0006635189,0.005482454,0.0018658191,-0.00089646876,0.0006900504,0.99216795,0.99714017,0.99743617,0.99499327,0.99495155,0.99668264,0.99764436,0.9961035,0.9893144,0.9941497,0.9956065,0.99859214,0.9971122,0.9864866,0.9969139,0.99480367,0.99412555,0.99372303,0.99597585,0.9975522
1.0,0.00033719838,0.0063192993,0.0030850284,0.002238322,0.0028871298,0.0030145266,0.0042073634,-0.00188981,0.005227096,0.002048567,0.0034803413,0.00014229864,0.0023812577,0.00055973977,0.0025528334,0.00032791495,0.0036550798,0.0029426292,-0.0020272285,-5.941838e-05,0.99187756,0.9962981,0.9987587,0.9956189,0.99497175,0.99500877,0.99843764,0.9963104,0.98904586,0.994088,0.99431145,0.9984518,0.9975503,0.98549384,0.9967729,0.99512506,0.9938976,0.9933273,0.9978292,0.99791217
1.0,0.00057364255,0.0067035854,0.003272146,0.0026206411,0.0027756877,0.002959655,0.0039564315,-0.0014076829,0.005090698,0.0020584464,0.0028319452,-3.78713e-05,0.0019302294,0.0015402734,0.0022480376,-9.9405646e-05,0.0043794475,0.002556458,-0.0017002746,0.00020900369,0.99189717,0.99646324,0.99823254,0.9954642,0.99493086,0.9956354,0.99808353,0.9960885,0.9891093,0.994115,0.9948619,0.9984306,0.9974389,0.9860042,0.9968488,0.99489176,0.9939859,0.9934524,0.99711543,0.99776024
1.0,0.0009137355,0.007627696,0.003182646,0.0027236938,0.0027979463,0.003536008,0.004051024,-0.0013429783,0.0050052097,0.002211161,0.0020817947,-0.00046303868,0.0014876202,0.0024186894,0.0019283388,-0.00029689074,0.0050043613,0.0022668168,-0.0012308583,0.0005348474,0.9922668,0.99721724,0.99784535,0.9951196,0.99499434,0.9961917,0.9979821,0.99630326,0.9893335,0.99412125,0.995276,0.9985938,0.99727947,0.98600465,0.9968613,0.99482834,0.99403167,0.9936894,0.99655557,0.9976232
1.0,0.00051582605,0.006702706,0.0031964704,0.0027729273,0.0027375557,0.002849262,0.003889244,-0.0013259165,0.005085939,0.0021420494,0.0028366838,-8.688867e-05,0.001882337,0.0016526803,0.0022360943,-0.00019600242,0.0044054724,0.0024301857,-0.0016167462,0.00019288063,0.99178874,0.9962846,0.99816275,0.99546456,0.9949092,0.99570984,0.9979885,0.99601716,0.98905593,0.99412817,0.9948675,0.99842405,0.9973652,0.98616505,0.99684906,0.99497616,0.99401647,0.99340886,0.99701303,0.9977823
1.0,0.00036883354,0.006323643,0.0032252595,0.002731558,0.0027250536,0.0026082026,0.003855843,-0.0013638437,0.005117726,0.0020899847,0.0031594187,8.175522e-05,0.0020697564,0.0012779534,0.0023738723,-0.00010749698,0.004134435,0.0025475398,-0.0018086135,5.839765e-05,0.9916292,0.99596643,0.9983288,0.9956053,0.99488485,0.9954661,0.99803233,0.9959328,0.98895824,0.9941278,0.994682,0.99836284,0.99743056,0.9861589,0.9968407,0.9950175,0.9939998,0.9933125,0.99725366,0.99784005
1.0,-0.003101319,-0.001306504,0.0036728121,0.0041986443,0.0005523786,-0.0049300576,0.0019117836,-0.0008859858,0.0037939246,0.002912134,0.010187414,0.0019271895,0.0051746517,-0.0054902285,0.0052098613,0.0007381141,-0.0007916093,0.0024388433,-0.004853368,-0.0015463084,0.9863571,0.9873475,1.0007888,0.99763805,0.994437,0.99006546,0.99686795,0.9929068,0.9857819,0.9947469,0.9899756,0.99785405,0.9990684,0.9878089,0.99697495,0.9975903,0.9947149,0.9917465,1.0009701,0.99814343
1.0,0.0002679862,0.006064743,0.0032444745,0.0027043968,0.0027147718,0.0024420836,0.0038326886,-0.0013900027,0.005137561,0.0020562112,0.003380606,0.00019534677,0.0021977574,0.0010216087,0.002468476,-4.6558678e-05,0.0039490424,0.0026262626,-0.0019388944,-3.2387674e-05,0.9915189,0.99574816,0.99844205,0.99570024,0.9948686,0.9952982,0.99806094,0.99587464,0.98889035,0.99412805,0.9945534,0.99832225,0.99747556,0.9861547,0.9968351,0.9950474,0.9939892,0.9932476,0.9974177,0.9978785
1.0,0.0003597103,0.007971667,0.0025298558,0.0034438223,0.0026105717,0.0028169777,0.004214609,-0.0018728711,0.0049332175,0.0029796734,0.002559632,-0.00097528845,0.0015007704,0.0025565177,0.0021989085,-0.00035110116,0.0044133887,0.0018644184,-0.0008013733,0.00048059225,0.99150395,0.9961082,0.9979032,0.99528193,0.99496925,0.9957516,0.99810153,0.9961686,0.9888786,0.99416727,0.99481624,0.9987986,0.9967893,0.98651904,0.9966497,0.99587566,0.9942065,0.99366015,0.9967151,0.9980558
1.0,0.0027752407,0.012805052,0.002645962,0.0036491044,0.0026086085,0.0064339135,0.0043665823,-0.00077699125,0.0042579263,0.0033123344,-0.0022129267,-0.0030814111,-0.0011271909,0.0076308995,0.00012480281,-0.0015102178,0.008710071,0.00028578937,0.0016181245,0.002547808,0.9940918,1.0011896,0.995452,0.99302703,0.9953625,0.9993737,0.9970167,0.9972728,0.9904124,0.9942445,0.99752307,0.9996428,0.99638706,0.98629457,0.9969897,0.9946132,0.99442405,0.9951141,0.9930738,0.99669254
1.0,0.00025749207,0.0059095547,0.0033225678,0.0024995282,0.0027575903,0.0024668581,0.0039204396,-0.0015430003,0.0051610125,0.0019537956,0.0035505611,0.000316225,0.002352506,0.0006886199,0.0025589205,0.00012911111,0.0037587956,0.002834782,-0.0021185055,-7.964671e-05,0.99156356,0.9958056,0.998621,0.99576396,0.9948869,0.99506927,0.99821395,0.99594337,0.9889009,0.99411464,0.99443066,0.99831355,0.9975818,0.98594064,0.9968167,0.99500173,0.9939455,0.9932572,0.99767643,0.9978891
1.0,0.0016045757,0.009639204,0.0028915629,0.002951447,0.002813395,0.004802635,0.004278356,-0.0012587309,0.004804262,0.002624862,0.0005184263,-0.0014422014,0.00056231767,0.0042440966,0.0012697093,-0.0006855428,0.006290663,0.0016069785,-0.0001880601,0.0012353212,0.9930555,0.99881446,0.99704224,0.994342,0.99514884,0.9973364,0.9977464,0.99680084,0.9897899,0.9941467,0.99606544,0.9989934,0.99692905,0.9859548,0.99688333,0.9947934,0.994141,0.9941938,0.9953766,0.9973265
