label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
2.0,-0.26547617,0.22119586,-0.13394102,-0.17558753,0.19494683,0.0020770004,0.042714957,-0.18012692,0.22681727,-0.29483953,-0.15089287,-0.0131720975,-0.23832512,0.29626274,-0.11626624,0.12844084,-0.01143964,-0.18658963,0.20972411,0.10244949,0.8337129,0.835718,0.9314692,0.87225795,0.9066218,0.9767948,0.99631065,0.8552248,0.85872835,0.8197671,0.9391919,0.9824189,0.88379127,0.8254431,0.9529307,0.92820793,1.0063852,0.8581951,0.8785023,0.9212421
4.0,-0.49535817,0.4149841,-0.2003755,-0.338531,0.33982158,0.013125681,0.09278713,-0.32400137,0.4369051,-0.54409164,-0.24566215,-0.0061259195,-0.39076433,0.52591324,-0.21449141,0.22362849,0.032336432,-0.35473937,0.39216083,0.23257628,0.8297886,0.8212343,0.94509083,0.8525987,0.8791259,0.9666334,0.9839597,0.8383794,0.8694591,0.82248306,0.9299864,0.9889464,0.87090117,0.82008624,0.9529193,0.938413,0.99633044,0.86199415,0.8667938,0.9310874
3.0,0.6584462,-0.529814,0.24882859,0.45486414,-0.3879686,-0.055080287,-0.09044504,0.40841657,-0.5251171,0.7272025,0.31034178,0.028234124,0.5312355,-0.67977905,0.25891775,-0.30434576,-0.07131173,0.4935604,-0.48419744,-0.28785563,0.79398674,0.7606727,0.93510157,0.8239733,0.93172437,0.9449146,0.89919096,0.82447803,0.7939862,0.71913654,0.9050949,0.89444643,0.8084421,0.7429704,0.8887683,0.8348773,0.9024918,0.8479077,0.83843744,0.85937816
3.0,0.6312302,-0.5137421,0.24186909,0.44028798,-0.3778161,-0.050004356,-0.08527349,0.39899057,-0.5095534,0.70190585,0.30270755,0.024368636,0.5146119,-0.6539714,0.24606664,-0.29545513,-0.06552075,0.47389325,-0.4708794,-0.27750954,0.7933863,0.76269364,0.93431383,0.82597476,0.9313376,0.9421132,0.8990968,0.8313709,0.79778564,0.72237164,0.90357786,0.89641464,0.8119187,0.7453917,0.8916418,0.83725417,0.90495765,0.8469985,0.83985823,0.86578906
5.0,0.3305202,-0.2929289,0.12796232,0.24538982,-0.21686256,-0.01712157,-0.038468204,0.24061377,-0.28745854,0.3863427,0.17635457,-0.0056981146,0.28681672,-0.3443683,0.11468454,-0.168308,-0.03236722,0.2543034,-0.27765626,-0.15232581,0.8019701,0.7899026,0.93007356,0.842462,0.92504454,0.9404732,0.91898465,0.87017155,0.83521193,0.76277494,0.9052751,0.9318307,0.84479564,0.7732972,0.91814536,0.87286,0.9410796,0.8474001,0.85114,0.9041195
1.0,-0.34472477,0.28906295,-0.16336259,-0.23020697,0.2504713,0.0045315214,0.056241203,-0.23694235,0.2997768,-0.38350192,-0.19061168,-0.009070307,-0.30163762,0.379598,-0.14999825,0.16635993,-0.0025256872,-0.24472938,0.2750382,0.14401728,0.8342657,0.83495736,0.9364049,0.8695666,0.9000756,0.9770089,1.0001771,0.84842634,0.8598306,0.8217193,0.9408818,0.9855558,0.8815832,0.82756585,0.9546011,0.9333949,1.0093652,0.86067545,0.878239,0.9244414
8.0,-0.62093544,0.52140945,-0.22172084,-0.4401192,0.4076171,0.0242861,0.13277669,-0.3879753,0.54921985,-0.68007094,-0.28513414,-0.007899314,-0.43897042,0.6384479,-0.274516,0.25678673,0.081866756,-0.45241582,0.49255943,0.31697595,0.8178235,0.7960235,0.9481891,0.82205576,0.8544623,0.93864566,0.94573843,0.8286866,0.88521063,0.81608266,0.9092531,0.98053825,0.85206664,0.80329067,0.9545481,0.9379909,0.9708283,0.86090124,0.8431102,0.9365191
10.0,-0.035009414,0.021590607,-0.039253213,-0.01579789,0.03128409,-0.0036099576,0.00841989,-0.014456768,0.02202816,-0.033324067,-0.027488062,-0.019430961,-0.037876252,0.04973614,-0.025380641,0.013900103,-0.024457376,-0.017327484,0.016909637,-0.0020212978,0.8245875,0.8254835,0.9259752,0.86680716,0.9183069,0.96651113,0.9704969,0.86854166,0.8552561,0.80517983,0.92798615,0.968511,0.8761068,0.8109361,0.9437068,0.91094196,0.9870465,0.8530863,0.871113,0.9146701
4.0,-0.4206622,0.35317588,-0.18260291,-0.28480777,0.29378673,0.00844618,0.07509603,-0.27805576,0.3679539,-0.46470323,-0.21876813,-0.008406036,-0.34756342,0.45406902,-0.18055919,0.1951552,0.013384681,-0.2994659,0.33325344,0.18784243,0.8341825,0.830153,0.94012815,0.86226124,0.8903859,0.97181886,0.99244356,0.8443959,0.8668615,0.8246939,0.9355943,0.9877777,0.87808925,0.8258755,0.9536538,0.9364198,1.0035455,0.8625324,0.8737048,0.92701846
5.0,0.59789854,-0.493196,0.23282263,0.4212153,-0.36485294,-0.044521987,-0.07839832,0.3864233,-0.4895996,0.669809,0.29353347,0.019439943,0.49396548,-0.62176824,0.23051314,-0.28438583,-0.058709834,0.44953257,-0.4535577,-0.26363462,0.7934341,0.7657318,0.93337935,0.8289944,0.93135095,0.93888366,0.89969474,0.83964884,0.80341184,0.7275375,0.9017492,0.89912707,0.81604415,0.7492436,0.8952858,0.8413075,0.9068373,0.84646606,0.8420334,0.87347037
10.0,-0.41857594,0.3510321,-0.1827647,-0.28211737,0.29535142,0.008142939,0.07313205,-0.28042412,0.36713552,-0.4622183,-0.21864393,-0.007068485,-0.34865656,0.45251146,-0.18066786,0.19599885,0.012258705,-0.2979706,0.33274204,0.18584469,0.8332829,0.8300973,0.94062346,0.86306715,0.8907494,0.9738088,0.99493563,0.843758,0.8638686,0.82301664,0.9368949,0.9882626,0.8779189,0.82508284,0.9536632,0.9362149,1.0048072,0.8615468,0.8741229,0.92772835
2.0,0.29492864,-0.26284435,0.105521806,0.21549436,-0.19047546,-0.015765553,-0.036619127,0.20951258,-0.25896055,0.3399064,0.15126097,-0.009556454,0.2502336,-0.30440015,0.098835975,-0.14964284,-0.033517666,0.22573324,-0.24766964,-0.13928726,0.80341476,0.7932851,0.93076086,0.84577525,0.92678624,0.9434062,0.927786,0.8701335,0.8402657,0.7685575,0.9096789,0.9363737,0.84707433,0.7805817,0.92348623,0.8800024,0.94888717,0.8498889,0.8526878,0.9036794
