label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16
2.0,-0.13376704,0.22876103,-0.4326994,0.035581768,-0.29165608,-0.2835481,-0.35739383,0.74214244,0.29766494,-0.58944404,-0.89388067,-0.5395194,0.36686665,-0.62016743,-0.27252126,0.17680159,0.86867005,0.79984325,0.69596195,0.85874325,0.7528743,0.78694826,0.7265674,0.52175593,0.77867687,0.58826125,0.46320686,0.5950785,0.74827564,0.56060976,0.82369167,0.8135493
3.0,-0.13583764,0.22072792,-0.42816252,0.036093626,-0.29554892,-0.28345296,-0.35331017,0.7325167,0.29734033,-0.58546185,-0.8872797,-0.53177464,0.35188806,-0.6082928,-0.26823545,0.1699422,0.86937696,0.7977699,0.69919837,0.86534965,0.753494,0.78686,0.7281362,0.5248718,0.78239334,0.59398293,0.46798968,0.596803,0.75229985,0.5690021,0.83308864,0.81787187
4.0,-0.13367116,0.22875349,-0.4321429,0.035420194,-0.29081511,-0.28303638,-0.35663047,0.74109185,0.2971194,-0.58849275,-0.8923229,-0.5389374,0.36691776,-0.61950964,-0.271977,0.1765461,0.86893183,0.8001364,0.6962901,0.8587945,0.75308335,0.78739935,0.7269278,0.5222181,0.77888304,0.58870274,0.46385047,0.59563106,0.74862266,0.56109166,0.8239152,0.8137522
3.0,-0.13563214,0.21910097,-0.42559588,0.036014672,-0.2937255,-0.28151137,-0.3501721,0.72772795,0.2955034,-0.58187664,-0.8819499,-0.52846193,0.34979296,-0.60483253,-0.26558793,0.16790062,0.8701136,0.79840815,0.7005581,0.86661726,0.7542063,0.7882667,0.72914165,0.5269425,0.7835586,0.5961661,0.4707854,0.59889174,0.7543708,0.5716774,0.83491707,0.81883204
3.0,-0.13513777,0.2224802,-0.4289729,0.036080964,-0.29448044,-0.28315908,-0.35398734,0.7343841,0.29722315,-0.58611035,-0.88861364,-0.5332812,0.35542038,-0.61114776,-0.2688914,0.17133978,0.86922824,0.7983245,0.69848514,0.8638704,0.7533858,0.78703386,0.7276892,0.52435654,0.7815737,0.592707,0.4670885,0.5966305,0.75161403,0.5671082,0.8307652,0.8167462
2.0,-0.1338046,0.23184237,-0.43673354,0.035628006,-0.29388392,-0.2861846,-0.3620659,0.74979776,0.30017683,-0.5948688,-0.9019841,-0.5449769,0.37133867,-0.6263524,-0.2766416,0.1803499,0.8675102,0.7991808,0.6936952,0.8562244,0.7518037,0.7849588,0.72497314,0.518604,0.7766861,0.58466196,0.45890597,0.59204406,0.745026,0.5561135,0.8202855,0.81169146
4.0,-0.13386062,0.23030214,-0.4347015,0.035537403,-0.2927611,-0.28493303,-0.35971978,0.74591017,0.298943,-0.592132,-0.89776665,-0.54224926,0.36898243,-0.6230755,-0.27462333,0.17856413,0.86812377,0.7994812,0.69487274,0.8575219,0.7523379,0.7859387,0.7258587,0.5201746,0.7777201,0.5865252,0.46108127,0.5935522,0.74662346,0.55845386,0.8221515,0.8127187
3.0,-0.13522866,0.22440222,-0.4317691,0.03618919,-0.2962746,-0.28512186,-0.35734752,0.73968524,0.2991234,-0.58996785,-0.89444304,-0.5369698,0.35814673,-0.61524427,-0.27176583,0.17369024,0.8684119,0.7977307,0.69692427,0.86232436,0.7526083,0.7855608,0.7265458,0.5221305,0.7802358,0.590232,0.46404526,0.59443027,0.74938387,0.56403404,0.8285193,0.8155344
4.0,-0.13375346,0.2285583,-0.4321373,0.03544737,-0.29108137,-0.2831535,-0.3566811,0.7410481,0.29722735,-0.58858156,-0.8924341,-0.5388646,0.36650622,-0.6193105,-0.27198988,0.17642316,0.86890495,0.80001354,0.6963141,0.85895747,0.7530542,0.7873012,0.7269134,0.5222021,0.77894384,0.58876795,0.4638464,0.5955614,0.74864465,0.5612258,0.82414305,0.8138388
1.0,-0.13566749,0.2171156,-0.42306435,0.03593744,-0.29243082,-0.27987105,-0.34715188,0.7228652,0.29387283,-0.5784621,-0.87676245,-0.5250384,0.3468304,-0.60085416,-0.26301616,0.16565442,0.87081695,0.798822,0.70199746,0.8681864,0.7548946,0.78947264,0.7301802,0.5289589,0.78484386,0.5985214,0.47358298,0.60082155,0.7564197,0.5746756,0.8372676,0.82003886
