label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
1.0,-0.31594273,0.012907255,-0.1183653,0.29526195,0.11862161,0.0063184584,0.2853158,-0.18326132,0.3728146,-0.12166551,0.14797354,-0.10025766,-0.28136727,0.70092905,-0.1896785,0.19419035,0.35139927,-0.31543455,0.0058621615,0.17511532,0.7394311,0.90713596,0.89647704,0.7836504,0.88536555,0.90600187,0.74166137,0.8532788,0.7033887,0.8358871,0.8610203,0.87840074,0.75848836,0.41247213,0.86584306,0.8273301,0.7130949,0.78508055,0.899025,0.8439284
0.0,-0.3163002,0.019751517,-0.121051356,0.3014502,0.12195628,0.002405784,0.28990102,-0.19089523,0.3789394,-0.1292903,0.15340318,-0.10507481,-0.28399545,0.70473474,-0.18889117,0.20442605,0.35052982,-0.31410623,0.0069207773,0.18435487,0.7419953,0.9062937,0.89736533,0.79012537,0.8827299,0.91633564,0.74582076,0.8494872,0.70708996,0.8280234,0.8623124,0.87652785,0.76266414,0.41673836,0.86624897,0.82788885,0.7208375,0.78691435,0.9022042,0.8470188
0.0,-0.31568912,0.023897702,-0.1225601,0.3048162,0.12385594,-0.00012837164,0.29213524,-0.19516544,0.382358,-0.13377783,0.15633003,-0.10808058,-0.28509536,0.7057205,-0.18801954,0.21055326,0.3488594,-0.31257647,0.0075036213,0.18998586,0.7438152,0.90584695,0.89791864,0.794505,0.8813726,0.9231184,0.7490097,0.8471113,0.70976454,0.8234946,0.8632198,0.87572056,0.7657659,0.42014736,0.8668408,0.8286457,0.7261208,0.78841203,0.9041762,0.84924996
1.0,-0.3155528,0.014005509,-0.11830517,0.29577607,0.11948336,0.005834181,0.28494743,-0.183946,0.37345105,-0.12251563,0.1476712,-0.10018206,-0.28149924,0.7002689,-0.18924816,0.1959069,0.34966758,-0.3142264,0.0061677843,0.17616121,0.7402519,0.90742373,0.89677835,0.78457195,0.8856152,0.90758157,0.74325085,0.85231423,0.7038029,0.8357206,0.86142725,0.8788023,0.75949377,0.41398987,0.8665682,0.82778984,0.7145212,0.78582686,0.89924014,0.8449245
0.0,-0.3184392,0.017782457,-0.118668914,0.30019116,0.124830656,0.004775361,0.2871675,-0.18915865,0.3784771,-0.12682267,0.14906982,-0.099761724,-0.28548613,0.70607346,-0.18997884,0.20277661,0.3505136,-0.3144662,0.007821821,0.18028371,0.74105024,0.9074058,0.89750314,0.78493166,0.8850489,0.9111,0.7450371,0.84883595,0.7033032,0.8338532,0.8616439,0.87795913,0.76008844,0.41499498,0.8671123,0.82720554,0.71683884,0.7862226,0.89911497,0.84626275
1.0,-0.31344968,0.013746948,-0.11839416,0.2941503,0.11722738,0.0055289594,0.2838434,-0.18217753,0.37143135,-0.121613026,0.14721413,-0.1010914,-0.2794613,0.6964246,-0.18820594,0.1944584,0.34733796,-0.31267744,0.00547,0.17582968,0.74104464,0.90774876,0.89671785,0.7861711,0.8857931,0.90808266,0.7441295,0.8531887,0.70501256,0.835648,0.86184704,0.87939686,0.7605611,0.41545227,0.8670241,0.8287197,0.7155182,0.78653264,0.9001448,0.845321
0.0,-0.31934616,0.023498133,-0.121353686,0.30656868,0.12834069,0.0012023514,0.29195958,-0.19680858,0.38501972,-0.1339086,0.15460867,-0.1042867,-0.2884564,0.7110651,-0.18979341,0.21221432,0.35128084,-0.3144778,0.009059787,0.18867362,0.7424858,0.9060138,0.89815587,0.7899883,0.882399,0.9202958,0.7479761,0.845513,0.7063716,0.8264031,0.8625381,0.8758524,0.76345336,0.4177353,0.8669009,0.8271886,0.7231771,0.78741765,0.90140325,0.84879553
0.0,-0.31585565,0.017265987,-0.11996219,0.2988264,0.1204369,0.0038632397,0.28779548,-0.18769093,0.37624466,-0.12627102,0.15104789,-0.10318729,-0.28270155,0.70256114,-0.18896809,0.20047635,0.3501859,-0.31414515,0.0064421296,0.18078199,0.7413064,0.9068188,0.8970862,0.78792983,0.8838642,0.9124853,0.7446083,0.850947,0.70578784,0.83115107,0.8619474,0.87745553,0.7612852,0.41554317,0.86633307,0.82788104,0.71814245,0.78642553,0.9011534,0.84601414
0.0,-0.31090215,0.01089264,-0.1190444,0.29050097,0.11123436,0.0060131988,0.28352153,-0.1779769,0.36685586,-0.11843057,0.14792818,-0.10335888,-0.2758357,0.69207156,-0.18757726,0.1881578,0.34813508,-0.31330338,0.0035438314,0.17321518,0.7403572,0.9074146,0.89585346,0.78698975,0.8851446,0.9055542,0.741535,0.8569897,0.7063548,0.8351319,0.86149484,0.87909806,0.7600068,0.4140778,0.86573046,0.8290708,0.71394163,0.7857823,0.9014292,0.8434939
0.0,-0.314131,0.014426719,-0.119265154,0.2954562,0.11725444,0.004983348,0.28568557,-0.18370393,0.37259054,-0.12287456,0.1492195,-0.10253937,-0.28015924,0.6985465,-0.18855979,0.19548336,0.349309,-0.31384134,0.005458802,0.17727506,0.74074745,0.9071245,0.8966273,0.786879,0.88471407,0.9091996,0.7433868,0.8531918,0.70552903,0.8335184,0.86172,0.8783442,0.7605199,0.4147608,0.866221,0.8282631,0.7159928,0.7861251,0.900769,0.8450286
