label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
1.0,0.11099838,0.13235614,0.13528258,0.2957886,-0.97970426,0.017990414,-0.17857487,0.18391569,-0.18177223,-0.24693853,-0.0015947223,-0.34568003,-0.18986747,-0.11520775,0.55595946,-0.7387471,-0.49816546,0.08171072,-0.1729888,-0.43526572,0.6555492,0.78082365,0.7672283,0.85427344,0.039710086,0.79513806,0.81925195,0.7584977,0.9042251,0.759577,0.88554716,0.74108124,0.7693621,0.870286,0.7705552,0.40616035,0.6529198,0.7495099,0.7943262,0.10537035
1.0,-0.4835794,-0.073619105,0.07091579,0.1434204,-0.8776815,-0.28916562,-0.34337917,-0.20583424,-0.25831458,-0.027399229,0.27521527,-0.096137874,0.019047879,-0.17055468,0.45665398,-0.7120102,-0.27486274,-0.30622518,0.35887194,-1.5133882,0.59500295,0.7351753,0.8138193,0.8609857,0.03793181,0.7974346,0.76028574,0.8086956,0.9424688,0.77231055,0.8133789,0.7639946,0.72862834,0.93200946,0.735369,0.37685367,0.6711405,0.7244376,0.81858206,0.11407902
1.0,-0.23887575,-0.03937511,0.04002756,0.06545643,-0.83033884,-0.14504339,-0.26584533,-0.1891084,-0.22706068,0.022285752,0.15279414,0.0038186144,-0.0997956,-0.0070422133,0.3271447,-0.42030135,-0.105190285,-0.1685207,0.10615573,-0.96912986,0.6511747,0.7859779,0.8318046,0.8598406,0.03127031,0.8079005,0.82910216,0.81536734,0.9071166,0.7631388,0.872884,0.774432,0.78234607,0.8856274,0.7169213,0.39568174,0.636993,0.76825726,0.8077159,0.10928292
1.0,-0.27813533,-0.0039912816,0.05769878,0.09741427,-1.2133403,-0.22173518,-0.17038292,-0.116702065,-0.15697534,-0.04372348,0.1308501,-0.0669722,0.09095502,-0.13806884,0.22412694,-0.4647883,-0.17360765,-0.20539594,0.24148914,-0.8944729,0.64504975,0.77697414,0.8195088,0.8783489,0.04447847,0.8499231,0.8146561,0.81497437,0.9658007,0.7877349,0.8571449,0.7630411,0.7898598,0.9033208,0.7872266,0.4440163,0.67063206,0.7469434,0.8409136,0.11328004
1.0,0.22566015,0.23272493,0.15586838,0.23610559,-1.3914235,0.00078907236,0.009098981,0.287863,-0.038958117,-0.30104738,-0.09268785,-0.31452093,0.11544881,-0.1766253,0.17197081,-0.5476807,-0.38092902,0.13868722,-0.117536746,0.079420224,0.67812794,0.7976946,0.78464997,0.88467664,0.051058333,0.8518366,0.8376766,0.76987505,0.9560875,0.7932612,0.89528453,0.72881883,0.8411976,0.86166847,0.82064706,0.4890214,0.6778983,0.7354496,0.82531154,0.104380265
1.0,-0.20995708,-0.097003974,-0.022327796,-0.02248882,-1.2871802,-0.18087134,-0.05158706,-0.17945871,-0.05923459,0.0552094,0.09075446,0.100042604,0.12134621,-0.0019762162,0.056025755,-0.063646406,0.07141948,-0.16060467,0.2061077,-0.48489934,0.66762465,0.8018858,0.86067647,0.8908995,0.043250866,0.8578409,0.84196925,0.8327882,0.95821923,0.79774797,0.8409811,0.7905057,0.8287547,0.8942276,0.8134765,0.490423,0.6903713,0.7672226,0.8419542,0.118368305
1.0,-0.33350196,-0.065361105,0.020354867,0.03958705,-1.19328,-0.23961651,-0.15441099,-0.19480708,-0.14745852,0.020758111,0.15384783,0.020411,0.08940231,-0.09740891,0.19262488,-0.3287496,-0.069109954,-0.24747773,0.2807297,-0.94091094,0.64544034,0.78095835,0.8304359,0.88478035,0.04226618,0.8492403,0.82074994,0.83184534,0.96185154,0.7877559,0.84453386,0.77411103,0.7956721,0.903703,0.78699905,0.45083258,0.6699817,0.7531447,0.84291273,0.11657439
1.0,-0.32470554,-0.14613666,-0.038714938,-0.079616874,-1.1915315,-0.2182886,-0.076973334,-0.26775953,-0.075416386,0.112333566,0.14874774,0.18473624,0.12654293,0.0045805876,0.054763738,-0.010057112,0.14367709,-0.23382504,0.2789323,-0.70666325,0.65403825,0.79803514,0.8554174,0.89598477,0.039298434,0.8480958,0.84010464,0.8437234,0.9504636,0.7878124,0.8247118,0.7935133,0.82288116,0.9015256,0.78958094,0.47973904,0.6803598,0.76652116,0.8380892,0.1204518
1.0,-0.352055,-0.29967466,-0.14511266,-0.25791222,-0.7570067,-0.119900554,-0.005535461,-0.37230775,0.006285049,0.2529929,0.18536398,0.4342361,0.090504035,0.1996137,-0.019314632,0.45420593,0.44714257,-0.1964976,0.18742701,-0.46165717,0.6165851,0.79633665,0.8745534,0.8732305,0.024332482,0.78721946,0.8115947,0.85823727,0.9097573,0.7610264,0.78455114,0.81912214,0.80090016,0.912662,0.70443577,0.44363248,0.6610907,0.7691545,0.77974904,0.12647036
1.0,0.6328714,-0.23960073,-0.050301947,-0.23352467,-1.6136618,0.32748073,0.60316,0.38599044,0.4645788,-0.08239083,-0.35800457,0.5847033,0.44798788,0.39712736,-0.96457905,1.2714671,0.68211514,0.66261923,-0.3402294,2.0060053,0.74720657,0.8600692,1.0698546,0.9990033,0.047499735,1.0656276,0.80849046,0.9505218,1.0240011,0.9849797,0.7855868,0.9389232,0.98527324,0.93791264,0.8655995,0.5718871,0.78431827,0.71850735,0.88917977,0.12177334
