label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
1.0,-0.031737056,0.07072974,0.06358421,0.21987852,0.038552362,0.10658326,0.022593908,-0.09421101,-0.08330336,-0.17844202,-0.01655726,0.015327938,0.083638944,-0.14369331,-0.81367445,0.19261487,0.03868501,-0.45837325,-1.6959384e-05,-1.5150938,0.82617944,0.66654205,0.8081535,0.6614284,0.88948447,0.62930745,0.85833913,0.7720232,0.73067516,0.6274976,0.67327553,0.859869,0.8600167,0.765134,0.043532997,0.75424504,0.689607,0.021991592,0.9119414,0.00038082068
1.0,-0.029634036,0.09940622,0.052147023,0.24699637,0.061751835,0.1158186,0.0106635075,-0.08711305,-0.09522422,-0.20531291,-0.03140144,0.028106086,0.10146769,-0.17165956,-0.7485211,0.1912874,0.040120527,-0.39880627,0.013399987,-1.5844935,0.8172556,0.66664445,0.79873806,0.6578523,0.8800345,0.62347174,0.84463084,0.75959456,0.71211714,0.62591255,0.67633337,0.84998244,0.848433,0.76437736,0.042224485,0.7562212,0.6840227,0.023828628,0.8966894,0.0003639454
1.0,-0.056717187,-0.021752857,0.0023069605,0.20640418,0.05987158,0.14683741,0.08701358,-0.031716973,-0.04897914,-0.14445838,0.05103051,0.056612343,0.02146237,-0.02911476,-1.1856053,0.06142521,0.009427192,0.17857295,-0.03371837,2.2150543,0.90361685,0.76803243,0.8756072,0.7540097,0.8897192,0.7501017,0.80668163,0.8785344,0.7416473,0.6551509,0.7409761,0.88719505,0.89146996,0.89858806,0.050450772,0.76674205,0.7112411,0.02353754,0.8310929,0.0004866822
1.0,-0.023074895,0.15644126,0.03921522,0.27971855,0.11563093,0.089748405,-0.0013373997,-0.082213014,-0.11968635,-0.24264003,-0.06426133,0.050397776,0.13068692,-0.22608975,-0.6148721,0.21044496,0.017515453,-0.38134867,0.051109463,-1.7498846,0.8079934,0.69092256,0.8132043,0.6460363,0.90288156,0.6106614,0.8348735,0.7466039,0.70150226,0.61622196,0.6921306,0.8639594,0.8354781,0.77807575,0.03718026,0.7492976,0.69300896,0.027920358,0.8679239,0.00038525258
1.0,-0.002846308,0.18774983,0.0794264,0.26515263,0.13920803,0.048322424,0.0046097524,-0.11473775,-0.10907659,-0.24801213,-0.0760122,0.06682866,0.14596602,-0.24443075,-0.577726,0.2902189,-0.011662299,-0.36376044,0.073523134,-1.8985591,0.80033004,0.7056636,0.82888794,0.5988562,0.9218393,0.5814725,0.84970206,0.73205554,0.7196745,0.58703494,0.6900396,0.8858449,0.82373095,0.7578318,0.030639332,0.69842273,0.7007378,0.03340967,0.84241223,0.00039561215
1.0,-0.037474934,0.13486922,0.027154386,0.2686741,0.10042538,0.09848485,-0.013317484,-0.08213961,-0.1074464,-0.23743977,-0.076512314,0.044157498,0.1000012,-0.18554801,-0.7595781,0.17484531,0.03366735,-0.4515589,0.031372726,-1.7448783,0.8181246,0.6807319,0.8010577,0.6517395,0.8890079,0.61937845,0.8325968,0.74808747,0.7021927,0.62543124,0.6862753,0.8685691,0.8379785,0.7851335,0.041127995,0.75831294,0.6905678,0.02292533,0.87125397,0.00038025423
1.0,-0.051521257,0.13638079,0.057105836,0.24780288,0.11111983,0.081424184,-0.033111714,-0.11019763,-0.07986194,-0.24974446,-0.12772387,0.066778034,0.05307678,-0.13336341,-0.99784505,0.20979033,0.022620069,-0.46273744,0.029999344,-1.9044225,0.81139874,0.6701168,0.7882395,0.61886877,0.869147,0.6128742,0.8228161,0.71978205,0.6954828,0.6039681,0.65672636,0.88597304,0.813754,0.76573235,0.04353934,0.7181609,0.683072,0.01973885,0.81410956,0.00033519784
1.0,0.022163004,0.1872783,0.09009975,0.18949333,0.1353212,0.029788159,0.020614263,-0.13852847,-0.049123548,-0.2320131,-0.034366325,0.06424352,0.2068499,-0.23262995,-0.46203104,0.3474978,-0.031118272,-0.47486138,0.04324416,-2.0219495,0.8152698,0.7372615,0.86597264,0.5502743,0.9694574,0.5302278,0.91773,0.7408317,0.7546294,0.5710632,0.72991747,0.9053398,0.8495909,0.75313175,0.022370066,0.6434053,0.7301846,0.053978544,0.8679172,0.0006395884
1.0,-0.039413568,0.13164037,0.026688762,0.26551,0.099327415,0.098770775,-0.014792932,-0.08164249,-0.106971934,-0.23704103,-0.07715218,0.043810777,0.09817629,-0.18306947,-0.75969493,0.17125782,0.036378674,-0.47749686,0.03000894,-1.7378228,0.82001,0.6817219,0.8014899,0.6547462,0.8899216,0.6202883,0.8347972,0.750933,0.7052092,0.6284,0.68682355,0.87249666,0.84122384,0.7877936,0.041316368,0.761697,0.6916139,0.022992706,0.87532157,0.0003896682
1.0,-0.018222583,0.1663597,0.04421551,0.28386658,0.12187298,0.0921542,0.0021079946,-0.082267195,-0.12524848,-0.24684694,-0.05569656,0.05650845,0.14617322,-0.24805644,-0.5335349,0.2285759,0.017893994,-0.3286472,0.056769624,-1.7350575,0.79935366,0.6921575,0.8144066,0.644826,0.90481085,0.60525286,0.8322569,0.74399143,0.6977499,0.6106975,0.69252765,0.85462606,0.8330625,0.77153414,0.035393275,0.74426043,0.6909921,0.03172554,0.8653675,0.00038227436
1.0,-0.051405087,0.029142875,0.054859594,0.1851958,0.07196905,0.01079876,0.07683298,-0.10273202,-0.09120624,-0.13436681,0.042201404,0.019333512,0.05667447,-0.10300304,-0.80205274,0.20163277,0.0809475,-0.45454836,-0.020626763,-1.1194742,0.8647435,0.71865743,0.8530448,0.71059203,0.91098577,0.65515697,0.875439,0.76786256,0.718558,0.5985666,0.71316606,0.8589405,0.8619559,0.7745369,0.04015298,0.75528336,0.71047544,0.0234511,0.8752902,0.0003908534
