label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17
7.0,-0.92039865,0.3928163,0.5485756,0.42008272,0.22567138,-0.57652557,0.6438001,0.60435677,-0.009621821,0.4880203,0.88908064,-0.73984665,0.4904455,-0.6542503,-0.41279244,0.6015815,0.021629885,0.41970804,0.7373727,0.61226255,0.5953778,0.6352982,0.57209235,0.55798376,0.5515339,0.69215095,0.6491098,0.39049387,0.5464426,0.5589376,0.43501008,0.6644322,0.5379295,0.77508736
4.0,-0.9192349,0.39228672,0.5476396,0.41986528,0.22530219,-0.5755656,0.6429424,0.6037183,-0.009276496,0.48715025,0.8878172,-0.73930126,0.48963648,-0.65348154,-0.41245073,0.60102034,0.021419153,0.42018878,0.73782,0.61263835,0.59601194,0.63590026,0.5727258,0.55834943,0.5522817,0.69253004,0.6494595,0.39115447,0.5470394,0.5597392,0.43587798,0.664898,0.53825223,0.77533644
6.0,-0.92071563,0.39310837,0.5495709,0.42080125,0.22659063,-0.5767909,0.6439295,0.6046253,-0.0102095045,0.48848355,0.8896247,-0.7398822,0.49099082,-0.6548301,-0.41231593,0.60228395,0.022120684,0.41972265,0.7372592,0.6122086,0.59482086,0.6354544,0.5722027,0.55793595,0.55148906,0.6910359,0.6495085,0.39024302,0.5462578,0.5591332,0.4344036,0.664263,0.5375726,0.77493685
4.0,-0.91854936,0.39155114,0.54543185,0.41827127,0.22304872,-0.57485116,0.64258385,0.60329413,-0.007928321,0.48603863,0.88645107,-0.7392876,0.48821324,-0.6520253,-0.41359589,0.59972954,0.020285815,0.42005178,0.7381074,0.61276895,0.5973045,0.6356934,0.572508,0.55840725,0.55245745,0.6949222,0.6485492,0.39177063,0.54729193,0.5593997,0.43732503,0.66529065,0.53893787,0.77559334
7.0,-0.92094505,0.39318895,0.5496131,0.4207001,0.22652304,-0.57698965,0.6441226,0.6047227,-0.010192692,0.48861676,0.8898464,-0.74001527,0.4911095,-0.65492857,-0.41247508,0.6022533,0.022080526,0.41961345,0.7371666,0.61212206,0.59476644,0.63525325,0.5720227,0.5578592,0.5512985,0.6911587,0.6493459,0.3901201,0.54615873,0.5588815,0.43429387,0.6641736,0.53757507,0.7749051
2.0,-0.9155223,0.3896942,0.54052955,0.4157064,0.21934545,-0.5723112,0.6406822,0.60138655,-0.005367579,0.4829989,0.88249934,-0.73824036,0.484976,-0.6487434,-0.41461048,0.5966516,0.018315732,0.42075145,0.7392802,0.61359507,0.60024947,0.63629615,0.5731882,0.5591555,0.5539425,0.6992704,0.6478408,0.39375347,0.54883474,0.5601607,0.44086358,0.66669804,0.540576,0.7765183
2.0,-0.9167044,0.3907109,0.543288,0.4174017,0.22203085,-0.5734993,0.6414284,0.6020048,-0.0070170835,0.4845779,0.88450897,-0.7384666,0.48693544,-0.6507145,-0.4134294,0.5980418,0.01963079,0.42080227,0.73876584,0.6132977,0.5985724,0.6361793,0.57319784,0.5589948,0.5533978,0.6965266,0.6486947,0.3927988,0.54843724,0.56016034,0.4388983,0.6660543,0.53980696,0.77615595
4.0,-0.920569,0.392888,0.54869545,0.42006934,0.2257447,-0.5766668,0.643933,0.6044377,-0.009693416,0.48815316,0.8892585,-0.7399494,0.49058074,-0.6543901,-0.4128144,0.6015852,0.021651521,0.41966417,0.73729837,0.6122007,0.59528404,0.63517696,0.5720085,0.5579457,0.55140513,0.6920927,0.6490536,0.39039564,0.54638684,0.5588014,0.43487886,0.66435784,0.5379154,0.7750454
7.0,-0.92171484,0.39352602,0.55036,0.42093316,0.22682989,-0.57757735,0.6446452,0.6052166,-0.010498827,0.48919696,0.8906511,-0.74037695,0.49162453,-0.655434,-0.41262242,0.60279167,0.022275105,0.41929266,0.7368837,0.61188793,0.594302,0.6349531,0.5716697,0.5576157,0.550854,0.6906927,0.6491885,0.38969424,0.5457113,0.5584527,0.43369126,0.6638581,0.53729063,0.7746941
4.0,-0.92068166,0.39311635,0.54961824,0.42085436,0.22667271,-0.5767786,0.64389867,0.6046051,-0.010249965,0.4884851,0.8896254,-0.73985124,0.49102056,-0.6548578,-0.41224214,0.6023025,0.022160754,0.41975754,0.7372719,0.61222255,0.59479827,0.6354872,0.57224274,0.55795234,0.551517,0.6909598,0.64956844,0.39024764,0.5462809,0.5591846,0.43438217,0.6642688,0.53756297,0.7749417
