label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
1.0,0.0009852238,0.0015143044,-0.0010555759,0.0020753518,-0.0012856796,0.0004096888,0.00028647482,-0.0015535802,0.002830333,0.00055230595,-0.00034864992,5.813688e-05,-0.0044725686,-0.0017661899,-0.0021365434,-0.0014633834,-0.0025414089,-0.0011658035,-0.002065234,-0.0010109842,1.0057379,0.99648046,0.99949116,0.9986817,0.9992072,0.99920887,0.9923899,0.99922353,1.0035338,1.0001407,1.0024095,0.997855,0.99982035,0.9939619,1.0016234,1.0014795,0.99649763,0.99517715,1.0017538,1.0013368
-1.0,0.00066909194,0.0008807406,-0.0009778626,0.0020885468,-0.0008263774,-0.00048554316,0.00079256296,-0.00062089413,0.0015681796,0.0007008761,0.00037622452,-0.00073738024,-0.0031474791,-0.0006952733,-0.0020697191,-0.00094273686,-0.00208088,-0.0019585341,-0.0009677857,0.00048020482,1.0026613,0.997963,0.9987756,0.99851304,0.9990355,0.99984777,0.9939568,0.9989767,1.0032791,1.0002513,1.0012516,0.9970295,1.0001903,0.99501175,1.0004413,1.0019474,0.9969352,0.9945912,1.0013652,1.0003028
-1.0,0.00027358904,0.0009021647,-0.0006064959,0.0015355498,-0.0008669272,-0.0009991731,0.00091291964,-0.00029030442,0.0008585006,0.0012461115,0.0009818487,-0.0004998334,-0.002595365,0.00053013116,-0.0014315248,-0.0004567802,-0.0015449338,-0.0023622736,-0.0008677393,0.0001193732,1.0016334,0.9983195,0.9981924,0.998476,0.9987144,1.0003314,0.9946708,0.9993155,1.0030906,1.0009086,1.000078,0.99669623,0.99974513,0.9958281,0.99962264,1.0021756,0.9971758,0.99474514,1.0005878,0.9998044
-1.0,-0.001333449,0.0015454516,-6.9428235e-05,2.6807189e-05,-0.0008615926,-0.0029033674,0.0020619705,0.0013714284,-0.0014965022,0.0021892842,0.0029873215,-0.00022139773,-0.0011990741,0.00342606,-0.00035125017,0.0005405322,-0.00034438167,-0.0031840168,-0.00061291456,-0.00063309073,0.9986483,0.9988334,0.9957822,0.9983879,0.99737555,1.0021615,0.9965057,1.0004778,1.0021151,1.0021586,0.996987,0.9950855,0.99885523,0.99872464,0.99689454,1.0029435,0.9981494,0.99462944,0.9983532,0.9977779
-1.0,6.688014e-05,0.0012715049,-4.6949834e-05,0.0012289584,-0.0010378733,-0.001791086,0.001073502,0.00051908195,-0.00043466408,0.0012329556,0.0020644814,-0.00035024434,-0.0020340234,0.0015967339,-0.0011085048,5.3942204e-06,-0.0010081171,-0.0029381588,-0.00025544316,0.00013869256,0.9998907,0.99875194,0.9969581,0.99853903,0.9982934,1.0012263,0.99552906,0.9998194,1.0030763,1.0013182,0.9986996,0.99569213,0.9993018,0.99706066,0.99840564,1.0023245,0.99777097,0.9947405,0.9996148,0.9989372
1.0,0.00018911809,0.000922326,-0.00062771514,0.0014861301,-0.0008011274,-0.0010990044,0.0010162331,-0.00022453815,0.00071936194,0.0014054589,0.0010630861,-0.00048688054,-0.0024121106,0.0008242652,-0.0014124289,-0.00033020228,-0.001494986,-0.002411995,-0.0009120479,0.0001527369,1.001421,0.9984784,0.9981238,0.99845564,0.9986479,1.0004194,0.994824,0.99939215,1.0030118,1.0010817,0.9999354,0.99663675,0.9997462,0.99606663,0.99944216,1.0022985,0.9972686,0.99478626,1.0004828,0.99975526
1.0,-0.0011552237,0.00069808215,-0.00038201734,0.00042130053,-2.8196722e-05,-0.0026896056,0.0014338978,0.0014083982,-0.0009406619,0.0011492353,0.0031173863,-0.00043827295,-0.0011917911,0.0018709302,-0.0020045638,0.0015587136,-0.0007031653,-0.003965024,0.00017772615,0.0010200888,0.99861,0.99919075,0.99577993,0.9981025,0.99691117,1.0029702,0.99636126,1.0017283,1.0026461,1.0026568,0.9964395,0.9950756,0.99981594,0.99896246,0.99699104,1.003243,0.99915045,0.99574053,0.99911565,0.9986958
1.0,-0.00070509315,0.0010092668,-0.00021036714,0.00066844374,-0.00059273094,-0.0024142936,0.0015000142,0.0009909645,-0.00091332477,0.0017043203,0.002598334,-0.00044400617,-0.0014276989,0.00230214,-0.0011185855,0.0006449148,-0.00073809037,-0.0034342408,-0.0001995042,0.00032418966,0.9990821,0.9989062,0.9962715,0.99831593,0.99763036,1.0019825,0.99618155,1.0004566,1.002647,1.0020334,0.9974691,0.9953893,0.99933016,0.9980882,0.9974896,1.0027997,0.9983139,0.99503917,0.99910396,0.9986218
-1.0,-0.0013802871,0.0009641722,-0.00033400208,0.00017625093,-0.00011541322,-0.0029410962,0.0017749146,0.0015814975,-0.0012526596,0.0016850736,0.003187906,-0.00033495948,-0.0010171346,0.00257238,-0.0015739873,0.0013939962,-0.00056690443,-0.0038050078,-4.862249e-05,0.0005862117,0.9985052,0.9991594,0.995626,0.99807346,0.9968432,1.0028992,0.9965696,1.0016251,1.0023632,1.0027287,0.9962791,0.99506366,0.9995596,0.9991998,0.9967463,1.0033206,0.99902725,0.99553144,0.99877834,0.99833465
1.0,-0.0011096783,0.0018410161,0.00017581135,0.00038721412,-0.0008882135,-0.003510964,0.0019375719,0.0019191802,-0.0023020254,0.0018437952,0.003553886,-0.0002977401,-0.0011002123,0.003244996,-0.0007992983,0.00066985935,-0.00038714893,-0.003590472,-7.145107e-06,7.5250864e-06,0.99802697,0.99886316,0.9948846,0.9984834,0.9972008,1.0027428,0.99688274,1.0009997,1.0024494,1.0023601,0.99643546,0.99440384,0.9988943,0.9995046,0.9964118,1.0029707,0.9987199,0.9948368,0.9981817,0.99769485
