label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10
1.0,-0.4428227,0.59702015,-0.4896216,0.505236,0.57619405,0.32457328,0.7838312,-0.40386325,-0.34811234,-0.39278036,0.7102304,0.73751235,0.77016747,0.48668537,0.6631023,0.7670887,0.43153536,0.884445,0.93183833,0.7247057
1.0,-0.4471826,0.6029537,-0.47392696,0.51058817,0.56567687,0.30316156,0.78281575,-0.3918438,-0.3661968,-0.3819511,0.7237101,0.74531597,0.78216326,0.5062506,0.68139607,0.79707605,0.44877967,0.8961519,0.9500726,0.7349789
1.0,-0.44558525,0.60093343,-0.47713685,0.5085743,0.5677891,0.30943355,0.7830618,-0.39471507,-0.3607645,-0.38466248,0.720015,0.7434261,0.7793582,0.5008979,0.6763916,0.78796107,0.44436786,0.89245045,0.94532776,0.7327569
1.0,-0.44766456,0.604043,-0.4717212,0.5116149,0.56419027,0.29965484,0.7820788,-0.39016312,-0.36907235,-0.38004586,0.7258243,0.7464043,0.783606,0.5092545,0.68402535,0.80204326,0.45140377,0.8984126,0.9526571,0.73634154
1.0,-0.44444254,0.59831136,-0.48326457,0.50667214,0.57208765,0.31807032,0.784455,-0.39889032,-0.35415953,-0.3896123,0.7145834,0.7403804,0.77495956,0.49347758,0.66952497,0.7760785,0.43760714,0.88762337,0.93836653,0.7287369
1.0,-0.44743943,0.6069629,-0.47472787,0.5125513,0.5657201,0.29805148,0.7806928,-0.39340752,-0.36857426,-0.3775186,0.7262215,0.7457745,0.78199714,0.50769264,0.6833717,0.80463696,0.45045316,0.8992655,0.9521173,0.7353421
1.0,-0.44828215,0.60589683,-0.46771675,0.51345336,0.5611834,0.29261664,0.7798662,-0.38721037,-0.3744374,-0.37583634,0.7300181,0.7485255,0.7861846,0.5149987,0.6890783,0.81216216,0.45662174,0.90303993,0.9572856,0.73869985
1.0,-0.44681105,0.6056149,-0.47741836,0.51131016,0.56805754,0.30360204,0.7822113,-0.39552802,-0.36452842,-0.38073772,0.72300595,0.74402505,0.7797963,0.50328684,0.67927825,0.7966308,0.4464558,0.8959227,0.9484497,0.7335589
1.0,-0.4484556,0.60512006,-0.46958253,0.5129927,0.5626396,0.29549968,0.78136957,-0.38836795,-0.37262338,-0.37791318,0.7282592,0.74763095,0.7852451,0.512689,0.6872173,0.8081269,0.45449525,0.9010913,0.9554296,0.73751974
1.0,-0.4473099,0.603943,-0.47594124,0.51100636,0.56732243,0.3043092,0.7834262,-0.39353284,-0.36522263,-0.38238692,0.7228073,0.7444335,0.7808703,0.5043802,0.67996866,0.795597,0.44707978,0.89548546,0.9489178,0.7340313
1.0,-0.44670805,0.6011108,-0.47752213,0.5092745,0.56840026,0.3091871,0.7845196,-0.39423352,-0.36192626,-0.38561344,0.72003126,0.743399,0.7796804,0.50139934,0.6770267,0.7886478,0.4443762,0.8925188,0.94581753,0.7326071
1.0,-0.4473516,0.6032531,-0.47478884,0.5107974,0.5664839,0.30394146,0.78338295,-0.3924361,-0.36581206,-0.3824918,0.723157,0.7448848,0.78161305,0.5053849,0.6806924,0.7960216,0.44793332,0.8957097,0.94951814,0.7345246
1.0,-0.4466727,0.60163,-0.47608596,0.5095372,0.5673661,0.30742523,0.78384286,-0.39334482,-0.3631136,-0.3844375,0.72115636,0.7440349,0.7804907,0.5029384,0.67830014,0.7909908,0.44578117,0.8936066,0.947198,0.73353505
