label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
7.0,-0.13163334,-0.12334935,-0.215583,0.23556545,-0.20769747,0.0168333,0.1697382,-0.06881577,0.22265887,0.23031591,-0.07223918,-0.31150866,0.062379,-0.06515466,-0.13285743,0.044464067,-0.09487589,-0.064906046,-0.12215395,0.30905482,0.87051874,0.9112255,0.8342522,0.89480716,0.88147444,0.9149441,0.9462509,0.9393333,0.8660708,0.7927821,0.98418826,0.83928466,0.94775206,0.83976996,0.87788785,0.92874366,0.93076867,0.92796385,0.90853566,0.7907165
5.0,-0.17317177,-0.16941145,-0.27719337,0.26667696,-0.22925155,0.01991553,0.2058717,-0.07125546,0.27464917,0.30531308,-0.088364184,-0.38097376,0.08884767,-0.11173923,-0.15861359,0.033949576,-0.12139342,-0.076249704,-0.15307002,0.38262004,0.895707,0.90374786,0.83858293,0.92162687,0.88135993,0.9020049,0.9484311,0.9360577,0.85841244,0.8192879,0.9870381,0.88377714,0.958608,0.8348156,0.8816629,0.9111355,0.91879874,0.92302716,0.9324675,0.8108588
9.0,-0.13827622,-0.13240114,-0.22433785,0.24138352,-0.22477171,0.021770041,0.17210725,-0.079851516,0.23683271,0.25122297,-0.07569293,-0.33152598,0.07580286,-0.09275615,-0.14392771,0.038410697,-0.095614165,-0.07055766,-0.12982364,0.34064502,0.86008996,0.9090708,0.85038924,0.89198923,0.87755346,0.92596614,0.943865,0.939298,0.8780935,0.7942608,0.9879101,0.8375196,0.9460532,0.83935314,0.88452417,0.93005484,0.9379214,0.9295182,0.9000164,0.78783876
2.0,0.42880204,0.30454388,0.68757254,-0.40393704,0.27988207,-0.130008,-0.18711561,0.048587047,-0.5035287,-0.9919871,0.15419048,0.8602355,-0.2266468,0.6315794,0.49706566,0.1526161,0.20878164,0.090904325,0.38440335,-0.93407667,0.72609353,0.86472166,0.48495525,0.6543619,0.762936,0.8253006,0.81584793,0.84114414,0.66277117,0.4200545,0.8349929,0.42079738,0.783715,0.7046856,0.6062401,0.8488933,0.7945223,0.88682425,0.6630767,0.48579648
2.0,0.4021375,0.29197475,0.6419896,-0.363022,0.25367996,-0.12254904,-0.17275211,0.0427061,-0.47072116,-0.9262833,0.14325593,0.8004724,-0.22062187,0.6094093,0.4579202,0.14852998,0.19502802,0.08396953,0.35717708,-0.8754113,0.7342406,0.8738404,0.5019342,0.6649706,0.77384025,0.8335998,0.8270183,0.8518088,0.67563653,0.4382279,0.84584486,0.43645144,0.7931549,0.7153676,0.6210514,0.8621192,0.8059951,0.88953483,0.67773026,0.503092
2.0,0.18955813,0.15493572,0.26953772,-0.07195338,0.053067893,-0.07033669,-0.048982672,0.013753229,-0.20504066,-0.42710498,0.056238845,0.33133566,-0.14511037,0.3857961,0.18975507,0.13292314,0.08249903,0.03465257,0.14705645,-0.40781492,0.7984562,0.9166213,0.64334154,0.75131154,0.85022116,0.88553154,0.90561664,0.9149813,0.77406925,0.58759,0.90881044,0.5895667,0.8692317,0.7966641,0.7375583,0.9290772,0.8825165,0.9169734,0.79285145,0.63820416
9.0,-0.12884551,-0.116456546,-0.2147145,0.23538294,-0.1908757,0.011723993,0.17002401,-0.056738514,0.21200876,0.21490362,-0.0711896,-0.29781964,0.04996099,-0.039351482,-0.12386227,0.050041456,-0.096794024,-0.05985099,-0.1174992,0.28075427,0.88545626,0.9118351,0.81672186,0.90011746,0.88598484,0.89979255,0.94961995,0.9392366,0.8503866,0.7948642,0.9786985,0.8467821,0.9508569,0.83893144,0.8700969,0.9248876,0.91958714,0.9255697,0.9218571,0.79650027
2.0,0.33987013,0.25243676,0.5241455,-0.27017814,0.18860188,-0.10942282,-0.13861439,0.0354869,-0.3914969,-0.7711345,0.11787051,0.65635854,-0.20255604,0.54844606,0.37531948,0.14779222,0.16325432,0.07016729,0.2914163,-0.73665774,0.75590616,0.88809437,0.5428159,0.68826354,0.79989094,0.8486708,0.85464114,0.87257814,0.70567435,0.48127767,0.86441225,0.47996604,0.81620026,0.7420515,0.65531385,0.8843433,0.8291997,0.8979078,0.71355146,0.5428895
8.0,-0.36409587,-0.48244467,-0.5405002,0.37713733,-0.49923125,0.03989504,0.37631133,-0.1835294,0.588502,0.7804065,-0.17207356,-0.7529774,0.3275369,-0.5492465,-0.29902735,-0.039868012,-0.22371423,-0.18635866,-0.31678694,0.94137204,0.8888436,0.83313924,0.98262167,0.96350765,0.82152146,0.9533286,0.90704346,0.90120476,0.92946815,0.87520146,1.026055,1.0019162,0.9588516,0.7730952,0.90902364,0.79490316,0.9292207,0.8948411,0.8929574,0.81022644
5.0,-0.022716105,-0.014576711,-0.063330024,0.1450175,-0.10864197,-0.01442881,0.09201076,-0.026216548,0.06951083,0.007292006,-0.030600809,-0.09554884,-0.025066422,0.11415545,-0.027524175,0.086024456,-0.037099604,-0.02377668,-0.03371453,0.04844352,0.8587266,0.9209044,0.7634062,0.8502902,0.88655406,0.8995983,0.9460988,0.9381842,0.83129257,0.7300149,0.9560062,0.76089776,0.9290533,0.837307,0.8326392,0.93993294,0.9145263,0.92692006,0.8887262,0.7527484
