label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
1.0,-0.001071211,-0.0020336956,0.0013052523,0.0011206456,-0.0043719634,-0.0038664774,-0.0022898167,0.00050698966,0.000604786,0.000738658,-0.0022963062,-0.00090300804,-0.0022490174,-0.0064756637,0.0024389867,-0.0038430989,-0.0017244667,0.0062346533,0.003183607,-0.00083982386,0.99106187,0.9952987,0.99592924,0.9998133,0.99539715,0.99444044,0.9982422,0.9992197,0.9973377,0.9991546,0.9966536,0.9969727,0.9979291,0.99472076,1.0009155,0.99973655,0.9973704,1.001452,0.99628174,0.9963837
1.0,-2.9362738e-05,-0.0027523427,-4.594773e-05,0.0006740019,-0.006016806,-0.0051740645,-0.003670644,0.0022326745,0.0003957078,0.0019138083,-0.0011767372,-0.0010133269,-0.0012451038,-0.008563249,0.004285993,-0.0050369874,-0.0024545453,0.008500671,0.0046500675,-0.0007367991,0.99125326,0.99554145,0.99662733,1.0001032,0.9954075,0.9941694,0.9987875,0.9994636,0.9975448,0.9994195,0.9969764,0.99673826,0.9974977,0.9944496,1.0006479,0.99976087,0.9970877,1.0017033,0.9964943,0.9968181
1.0,-0.0010531284,-0.002046111,0.0012818128,0.0011128671,-0.004400626,-0.0038891244,-0.0023137704,0.0005368814,0.00060108304,0.0007590428,-0.002276875,-0.0009049629,-0.002231717,-0.006511986,0.002471147,-0.0038637593,-0.0017371662,0.00627416,0.0032091606,-0.0008380469,0.99106514,0.99530286,0.99594134,0.99981844,0.99539727,0.99443567,0.99825174,0.9992239,0.9973413,0.99915916,0.9966592,0.9969687,0.9979217,0.994716,1.0009108,0.999737,0.99736565,1.0014565,0.99628544,0.99639124
1.0,-0.00030012056,-0.0025650712,0.00030580908,0.0007900968,-0.0055907518,-0.0048338794,-0.0033117495,0.0017837733,0.00044939667,0.0016084313,-0.0014674738,-0.0009850995,-0.0015074611,-0.008021915,0.0038074423,-0.004726529,-0.0022650436,0.007913958,0.0042702146,-0.0007636361,0.9912034,0.99547803,0.99644583,1.0000279,0.9954042,0.99423957,0.9986459,0.9994,0.99749076,0.99935114,0.9968924,0.9967995,0.99761117,0.9945197,1.0007168,0.999755,0.9971616,1.0016384,0.9964393,0.99670494
1.0,-0.00030191988,-0.0025638463,0.0003081262,0.00079083815,-0.005587928,-0.0048316377,-0.0033093952,0.0017808191,0.00044973195,0.0016064122,-0.0014693812,-0.0009849067,-0.0015091896,-0.008018364,0.0038042907,-0.0047245026,-0.0022637993,0.00791009,0.004267715,-0.00076380745,0.99120307,0.99547756,0.99644464,1.0000274,0.9954042,0.99424005,0.99864495,0.99939954,0.9974904,0.9993508,0.9968918,0.9968,0.9976119,0.9945202,1.0007173,0.999755,0.9971621,1.0016382,0.9964389,0.9967042
1.0,0.0008421317,-0.0033576349,-0.0011812225,0.00030001253,-0.007381469,-0.006270803,-0.0048259795,0.0036796965,0.00022621453,0.0028966367,-0.0002419576,-0.0011021974,-0.00039372593,-0.01029991,0.005819319,-0.006037265,-0.0030633695,0.010378641,0.0058666933,-0.00065013394,0.99141365,0.9957472,0.99721116,1.0003452,0.99542046,0.99394536,0.99924314,0.9996698,0.9977194,0.99963707,0.9972476,0.99653924,0.99712557,0.99422526,1.0004287,0.99977684,0.9968476,1.001909,0.9966696,0.9971841
1.0,-0.0004096292,-0.0024894266,0.0004479736,0.0008370504,-0.005418159,-0.0046963743,-0.0031666234,0.0016022995,0.00047121942,0.0014849007,-0.0015850812,-0.00097358413,-0.0016132817,-0.007802758,0.0036136098,-0.004601009,-0.0021883473,0.007676249,0.0041163415,-0.0007744767,0.99118334,0.99545246,0.9963725,0.9999975,0.995403,0.99426794,0.99858856,0.9993743,0.997469,0.99932337,0.9968584,0.99682426,0.99765676,0.99454814,1.0007447,0.99975264,0.9971915,1.0016121,0.99641705,0.9966592
1.0,-0.00073347613,-0.0022660664,0.00086791813,0.00097587705,-0.0049067587,-0.0042899265,-0.0027373843,0.001065895,0.00053624064,0.0011196285,-0.0019331351,-0.00093926466,-0.00192523,-0.007153757,0.0030393805,-0.004229881,-0.0019613989,0.006971715,0.0036604144,-0.0008064825,0.9911238,0.99537706,0.9961555,0.9999074,0.9953999,0.9943522,0.99841905,0.99929845,0.9974046,0.999241,0.9967581,0.9968971,0.9977908,0.9946324,1.0008279,0.999745,0.99727935,1.0015341,0.996351,0.99652416
1.0,-0.0006453097,-0.0023268308,0.0007536262,0.0009380914,-0.0050461143,-0.0044005443,-0.002854243,0.0012118891,0.00051847845,0.0012190789,-0.0018383637,-0.00094864145,-0.0018404573,-0.0073305634,0.0031958632,-0.0043309107,-0.00202322,0.007163742,0.0037846733,-0.0007977877,0.99114007,0.9953975,0.9962146,0.99993193,0.9954007,0.99432915,0.9984652,0.9993191,0.9974221,0.9992635,0.99678534,0.9968774,0.9977545,0.9946095,1.0008053,0.99974716,0.99725544,1.0015553,0.99636894,0.99656093
1.0,-0.00081072375,-0.002212876,0.00096799433,0.001009006,-0.004784569,-0.0041930466,-0.0026350208,0.00093803555,0.00055185705,0.0010324866,-0.0020161718,-0.0009310157,-0.001999423,-0.0069987937,0.002902206,-0.004141405,-0.0019072443,0.0068033556,0.0035514925,-0.00081413053,0.99110967,0.9953591,0.99610376,0.9998859,0.9953992,0.9943723,0.9983786,0.99928045,0.9973894,0.9992214,0.9967342,0.9969145,0.99782264,0.9946526,1.000848,0.9997431,0.9973002,1.0015155,0.99633515,0.996492
1.0,-0.0012148954,-0.0018693858,0.0014174655,0.0011359304,-0.0041407943,-0.0037515215,-0.0021941215,0.00025433302,0.0007189512,0.00044784695,-0.0024901703,-0.000842534,-0.0024100393,-0.006071673,0.0021220446,-0.0036191866,-0.0016576089,0.0057400977,0.0028455574,-0.0007882584,0.9910642,0.99521327,0.99578494,0.9997754,0.99549264,0.9945328,0.9981432,0.99920994,0.9973816,0.9990905,0.99661756,0.997024,0.99798065,0.99481124,1.0009921,0.9998877,0.9974473,1.0013375,0.9961882,0.9963977
1.0,-0.00029550865,-0.0025653476,0.00030742586,0.0007916726,-0.005581625,-0.0048148665,-0.003295619,0.0017831214,0.00043995678,0.0016185269,-0.0014627725,-0.0009912122,-0.0015016794,-0.008042673,0.0038148928,-0.004738994,-0.002263058,0.0079307165,0.0042872727,-0.00077237375,0.99120116,0.9954938,0.9964501,1.0000279,0.9953918,0.9942426,0.99864495,0.9993925,0.9974759,0.99935126,0.9968971,0.996793,0.9976158,0.9945137,1.0007118,0.9997307,0.99715316,1.0016513,0.9964443,0.9966972
1.0,-0.0002665259,-0.0025459826,0.00021500885,0.00074597076,-0.0056434944,-0.004918246,-0.003417153,0.0018307678,0.0004964322,0.0015651584,-0.0014558136,-0.000960652,-0.0014906377,-0.00801705,0.003830105,-0.004727371,-0.0023109913,0.007873487,0.004231984,-0.00071799755,0.99122775,0.99545246,0.99643856,1.0000386,0.995466,0.99426544,0.99864924,0.9994231,0.9975441,0.9993428,0.99690795,0.99680454,0.99759305,0.99454457,1.0007328,0.99985576,0.9971773,1.0015966,0.9964055,0.9967662
1.0,0.0015266463,-0.00381344,-0.0021003857,-9.298325e-06,-0.008447617,-0.0071560997,-0.005765151,0.0048145987,0.00012373924,0.0036277324,0.00047901273,-0.0011562034,0.00027376413,-0.011622005,0.0069992477,-0.006804697,-0.0035525635,0.011785677,0.006772494,-0.0005598534,0.99154884,0.99589306,0.997655,1.0005356,0.9954648,0.9937887,0.99959415,0.9998411,0.9978817,0.99979687,0.9974639,0.99638766,0.9968245,0.99406755,1.000272,0.99983907,0.99666995,1.0020434,0.99678487,0.9974979
