label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
2.0,0.30470946,-0.24726284,-0.31963757,0.6048848,-0.18982384,-0.38656834,-0.43833414,-0.5410076,-0.019818325,0.54619867,0.004985675,-0.2157357,-0.24080358,-0.29988465,0.17140977,-0.071434766,0.1948718,0.6865217,-0.30905414,-0.16552755,0.6609985,0.7863789,0.70691067,0.50899595,0.7887989,0.7295779,0.6111961,0.5564965,0.82441235,0.55033624,0.8033498,0.76807475,0.84237415,0.7865208,0.80802727,0.82315195,0.8158637,0.4766204,0.7481235,0.8035802
2.0,0.30381075,-0.24723297,-0.32016534,0.60627025,-0.18937205,-0.3876513,-0.44046322,-0.54297453,-0.01972438,0.54548466,0.004830811,-0.21611229,-0.24248312,-0.3007643,0.17097762,-0.07210036,0.19493465,0.6858643,-0.31085873,-0.16472788,0.66018337,0.785661,0.7056976,0.507721,0.78892714,0.7279451,0.6106924,0.55477905,0.8237772,0.5495478,0.80183613,0.7677128,0.8420489,0.78655887,0.8056819,0.82364523,0.8145529,0.47541556,0.7467642,0.80349207
2.0,0.30544633,-0.2462489,-0.31840524,0.60087323,-0.18984121,-0.38344178,-0.4337453,-0.5364191,-0.019130845,0.54512596,0.0047870167,-0.21466836,-0.23730643,-0.29815537,0.17167354,-0.070221834,0.19383933,0.68526316,-0.30524975,-0.16599733,0.6634517,0.7882682,0.70941514,0.51187074,0.78872514,0.7328668,0.6130497,0.5600928,0.82593197,0.5527472,0.80625916,0.7696773,0.84357995,0.7873204,0.8119057,0.8232016,0.8182732,0.479565,0.7508483,0.80433327
2.0,0.30531985,-0.24585834,-0.31818974,0.59975517,-0.18930762,-0.38230512,-0.43255985,-0.5351041,-0.018679094,0.54413784,0.004530318,-0.21407472,-0.23665293,-0.2977352,0.17161769,-0.070355564,0.1934159,0.68408483,-0.30435127,-0.1655962,0.66452086,0.7888277,0.7101425,0.51269794,0.78871256,0.73363334,0.61388123,0.5610062,0.8265677,0.5536541,0.8069069,0.77043873,0.8440216,0.7878657,0.81267077,0.8236844,0.8188834,0.48053738,0.75160176,0.8046984
3.0,0.30611593,-0.24380782,-0.31673884,0.59368324,-0.18813266,-0.37709397,-0.4259105,-0.52822423,-0.016926337,0.54127496,0.004041452,-0.21207199,-0.23171724,-0.29551157,0.17188856,-0.06894112,0.19156085,0.68077075,-0.2988165,-0.16549587,0.6688064,0.79173386,0.71388966,0.5169229,0.7882677,0.7381643,0.6171567,0.56618774,0.8292423,0.55768806,0.8109365,0.7734292,0.84606916,0.7893672,0.8177139,0.82441604,0.82226425,0.48509806,0.7555991,0.80605805
3.0,0.30620226,-0.2424705,-0.31565383,0.58975416,-0.18769544,-0.3740177,-0.42191947,-0.52404594,-0.015999917,0.5392033,0.003612738,-0.21096766,-0.22878073,-0.29400235,0.17182232,-0.068111286,0.1902601,0.67845285,-0.2955922,-0.16530642,0.67137176,0.7935226,0.71606654,0.5195294,0.78831774,0.7409413,0.61915445,0.5693237,0.83069104,0.5601472,0.813333,0.7752131,0.847354,0.79046917,0.8206077,0.82496554,0.82422054,0.4878805,0.75790197,0.8069668
3.0,0.3070073,-0.24398613,-0.31597847,0.59239566,-0.18945333,-0.37660342,-0.42406625,-0.52661186,-0.017546449,0.5425587,0.0042227358,-0.21214925,-0.23006828,-0.2944823,0.17225638,-0.06795007,0.19161384,0.6821368,-0.29729116,-0.16675895,0.6690637,0.7922879,0.7148543,0.5180602,0.7884803,0.73979414,0.6172114,0.56778765,0.8294487,0.55806917,0.8124137,0.7733358,0.84626395,0.7891015,0.8200664,0.8234882,0.8234561,0.4859911,0.7567093,0.8059978
3.0,0.30637,-0.24461049,-0.31676936,0.59497994,-0.18931828,-0.37856585,-0.4270613,-0.5295997,-0.017869953,0.54300755,0.0043173246,-0.212806,-0.2324046,-0.29566655,0.17201841,-0.06882487,0.19221441,0.68271327,-0.29977554,-0.16627812,0.6674872,0.7910773,0.71318376,0.51615596,0.7885474,0.7375894,0.6160745,0.56537086,0.8284432,0.55654234,0.81043863,0.772353,0.84548014,0.7887045,0.81739336,0.8236239,0.82182455,0.48407435,0.75489867,0.8055598
3.0,0.30498356,-0.24548683,-0.3182093,0.59959686,-0.18908557,-0.38227686,-0.43281028,-0.53528315,-0.018398907,0.5434535,0.0044837445,-0.21418487,-0.23672809,-0.29795906,0.17141859,-0.070233375,0.19317292,0.6834613,-0.30451018,-0.16529435,0.66444504,0.7888398,0.70990884,0.5125162,0.788706,0.7333627,0.61392057,0.560748,0.8264315,0.5536795,0.80663276,0.77053285,0.84408754,0.78798616,0.8120443,0.8239047,0.81855357,0.48038477,0.7513352,0.8047971
1.0,0.3046353,-0.24802989,-0.32027903,0.6070889,-0.18998452,-0.38823366,-0.44055074,-0.5432809,-0.02037144,0.5473125,0.005163256,-0.2162478,-0.24251495,-0.30064768,0.17144601,-0.07206881,0.19559051,0.6877035,-0.31090218,-0.16556337,0.65973574,0.7853824,0.7057633,0.50760823,0.788797,0.7280515,0.61016643,0.5548074,0.8237042,0.5490421,0.8020378,0.7671479,0.84169525,0.7859551,0.8064547,0.8229053,0.81483644,0.47516456,0.7468829,0.8030974
2.0,0.3075444,-0.24432763,-0.3158521,0.5924663,-0.19011892,-0.37687734,-0.42382413,-0.5265252,-0.0180162,0.54364103,0.0044503957,-0.21234357,-0.22971697,-0.2942549,0.17248991,-0.06756717,0.19192643,0.6833,-0.29704636,-0.1674616,0.66876805,0.79226094,0.71499443,0.5181814,0.7884725,0.7401412,0.61688966,0.568064,0.8293587,0.55783135,0.81277436,0.77299196,0.846141,0.7887188,0.820801,0.8228831,0.82371557,0.48595452,0.7569051,0.805793
