label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
8.0,0.08291201,-0.12836802,0.12312721,0.26709443,0.017886136,0.0980808,-0.18246894,-0.15002546,-0.12672216,0.14641653,0.15101695,-0.19010524,0.025487576,0.14114155,0.103632696,-0.05633126,0.26597497,-0.0359567,0.18086138,-0.09701809,0.863758,0.78625894,0.8121521,0.7810791,0.8468988,0.81159353,0.80199254,0.7484441,0.85281646,0.7851864,0.82154155,0.84453696,0.760042,0.82600325,0.8466918,0.8506255,0.79131866,0.8117927,0.79769236,0.8089894
8.0,0.08384773,-0.12887208,0.123052135,0.26830953,0.018552665,0.0991506,-0.18290904,-0.1508548,-0.12675375,0.14712356,0.15125477,-0.19115241,0.025151813,0.1416791,0.104258515,-0.055825967,0.2666668,-0.035318837,0.18182802,-0.09799199,0.8627342,0.78513825,0.8111854,0.7797169,0.8454892,0.81060207,0.8005848,0.7462566,0.85238606,0.7837128,0.8207344,0.8437406,0.7582032,0.82471424,0.8455879,0.8492617,0.79070914,0.8115564,0.79619,0.8080971
8.0,0.0843104,-0.12912111,0.12301372,0.26890752,0.018882912,0.09967813,-0.18312527,-0.15126488,-0.12676938,0.147473,0.15137252,-0.19166835,0.024986297,0.14194429,0.10456777,-0.05557579,0.26700768,-0.0350028,0.18230656,-0.09847322,0.8622288,0.7845852,0.81070834,0.77904403,0.844794,0.81011176,0.7998904,0.74517804,0.85217327,0.7829855,0.8203351,0.8433469,0.7572952,0.8240773,0.8450411,0.8485882,0.7904075,0.8114407,0.7954497,0.8076576
8.0,0.08390178,-0.12890126,0.12304768,0.2683797,0.018591307,0.09921241,-0.18293437,-0.15090282,-0.1267555,0.14716445,0.15126857,-0.19121279,0.025132414,0.14171016,0.10429466,-0.055796657,0.2667067,-0.03528187,0.18188399,-0.09804833,0.8626751,0.78507346,0.81112957,0.7796381,0.8454078,0.8105447,0.80050355,0.7461301,0.8523612,0.7836276,0.82068765,0.8436945,0.75809693,0.8246397,0.8455239,0.84918284,0.79067385,0.81154287,0.79610336,0.80804557
8.0,0.08333287,-0.12859446,0.12309432,0.26764184,0.018185291,0.09856211,-0.18266764,-0.1503981,-0.12673703,0.14673446,0.15112406,-0.19057703,0.025336597,0.14138387,0.10391454,-0.056104545,0.26628658,-0.035670295,0.1812962,-0.09745619,0.8632974,0.78575426,0.8117165,0.7804657,0.8462647,0.8111477,0.8013588,0.74745935,0.85262316,0.7845238,0.821179,0.84417874,0.75921476,0.8254236,0.84619594,0.8500119,0.79104435,0.8116859,0.7970159,0.8085878
8.0,0.0840949,-0.12900506,0.12303187,0.26862934,0.018728945,0.09943253,-0.18302482,-0.15107383,-0.1267623,0.14731032,0.15131775,-0.19142832,0.025063412,0.14182109,0.1044239,-0.055692453,0.26684907,-0.03515009,0.18208379,-0.0982492,0.86246413,0.7848426,0.8109302,0.7793571,0.8451177,0.8103401,0.8002136,0.74568003,0.8522725,0.78332424,0.8205211,0.84353024,0.7577179,0.82437396,0.8452958,0.84890175,0.7905478,0.8114944,0.7957943,0.80786216
8.0,0.08337702,-0.12861833,0.123090714,0.26769942,0.01821683,0.098612726,-0.18268837,-0.15043731,-0.1267384,0.14676793,0.15113527,-0.1906265,0.025320703,0.14140926,0.103944056,-0.056080606,0.26631922,-0.035640128,0.18134183,-0.09750223,0.863249,0.78570133,0.81167096,0.78040147,0.846198,0.8111008,0.80129236,0.747356,0.8526028,0.784454,0.82114077,0.8441412,0.7591278,0.8253626,0.8461437,0.84994745,0.7910156,0.8116747,0.7969449,0.8085456
8.0,0.084147185,-0.12903383,0.123026684,0.26869687,0.018767018,0.09949277,-0.1830487,-0.15112087,-0.12676287,0.14734992,0.15133068,-0.19148615,0.025044305,0.14185034,0.10445828,-0.05566333,0.26688758,-0.035113867,0.18213746,-0.09830363,0.8624067,0.7847806,0.81087697,0.77928174,0.8450381,0.8102846,0.8001351,0.74555784,0.85224795,0.78324103,0.8204752,0.8434856,0.757615,0.8243014,0.8452334,0.8488255,0.79051423,0.81148154,0.7957104,0.8078121
8.0,0.08304405,-0.12843895,0.12311711,0.2672663,0.017979793,0.09823176,-0.18253145,-0.15014224,-0.126727,0.14651619,0.15105064,-0.19025348,0.025440246,0.14121777,0.10372122,-0.0562603,0.26607278,-0.03586699,0.18099782,-0.09715554,0.86361355,0.7861004,0.81201535,0.78088653,0.8466999,0.81145364,0.80179375,0.7481351,0.8527559,0.7849786,0.821428,0.84442455,0.7597825,0.82582146,0.84653634,0.850433,0.7912326,0.81175905,0.7974801,0.8088634
8.0,0.08380942,-0.12885132,0.1230555,0.26826006,0.018525146,0.099106744,-0.18289125,-0.15082066,-0.12675281,0.14709468,0.15124512,-0.1911098,0.02516565,0.14165737,0.10423305,-0.055846866,0.2666386,-0.0353451,0.1817886,-0.09795216,0.86277616,0.78518385,0.8112247,0.7797723,0.845547,0.81064266,0.8006423,0.746346,0.8524038,0.78377336,0.8207676,0.8437731,0.7582784,0.824767,0.84563327,0.84931755,0.79073393,0.81156594,0.7962514,0.80813366
8.0,0.08411513,-0.12901661,0.12302933,0.2686555,0.018744167,0.09945622,-0.1830337,-0.15109248,-0.12676175,0.1473257,0.15132254,-0.19145046,0.025055738,0.14183196,0.10443686,-0.055680633,0.26686397,-0.03513575,0.18210429,-0.0982703,0.86244154,0.7848188,0.81091005,0.7793282,0.8450862,0.81031865,0.8001832,0.74563223,0.85226274,0.78329134,0.8205029,0.84351283,0.75767785,0.8243456,0.8452712,0.8488721,0.7905351,0.8114896,0.79576164,0.80784255
8.0,0.08278175,-0.12829861,0.1231363,0.2669247,0.017794453,0.09793241,-0.18240672,-0.14991091,-0.12671618,0.14631821,0.15098348,-0.18995848,0.025533915,0.14106579,0.10354486,-0.056400448,0.26587844,-0.036044676,0.18072644,-0.09688255,0.86390007,0.7864158,0.8122877,0.7812696,0.84709406,0.81173146,0.80218863,0.7487484,0.85287595,0.7853904,0.82165295,0.8446476,0.7602978,0.82618195,0.8468444,0.8508153,0.79140395,0.81182605,0.7979017,0.80911344
8.0,0.08363105,-0.12875524,0.123070106,0.268029,0.018397942,0.09890309,-0.18280767,-0.1506626,-0.1267468,0.14695989,0.15119982,-0.19091061,0.02522954,0.14155507,0.10411389,-0.055943288,0.26650694,-0.03546682,0.1816043,-0.09776662,0.86297107,0.78539723,0.81140864,0.7800318,0.84581536,0.81083167,0.80091035,0.7467624,0.8524859,0.7840539,0.8209216,0.8439249,0.7586286,0.8250126,0.84584373,0.84957725,0.7908501,0.8116107,0.7965373,0.8083034
8.0,0.083405256,-0.12863311,0.123089045,0.26773608,0.018236428,0.098644584,-0.1827021,-0.15046188,-0.12674025,0.14678918,0.15114269,-0.19065848,0.025310852,0.14142588,0.103963375,-0.056065954,0.26634017,-0.03562123,0.18137136,-0.09753159,0.86321837,0.7856671,0.81164134,0.7803599,0.8461561,0.81107086,0.80124986,0.74729025,0.85259014,0.7844103,0.82111686,0.8441172,0.7590725,0.82532406,0.8461108,0.8499064,0.79099685,0.81166756,0.7968997,0.808519
8.0,0.08414437,-0.12903202,0.123027295,0.26869327,0.018764663,0.09948926,-0.1830476,-0.15111801,-0.12676331,0.1473477,0.15133014,-0.19148324,0.025045495,0.14184901,0.10445664,-0.055665236,0.2668855,-0.035116017,0.18213469,-0.098300666,0.8624099,0.7847836,0.81087965,0.7792856,0.8450428,0.8102877,0.80013937,0.74556464,0.8522495,0.78324586,0.820478,0.8434881,0.7576207,0.82430553,0.845237,0.8488297,0.7905158,0.8114822,0.795715,0.807815
8.0,0.08429849,-0.12911448,0.12301498,0.26889205,0.01887412,0.09966433,-0.18311986,-0.15125406,-0.12676933,0.14746393,0.1513696,-0.1916552,0.024990723,0.14193766,0.10455992,-0.055582523,0.26699886,-0.03501114,0.18229431,-0.09846076,0.8622421,0.7845993,0.81072044,0.77906126,0.8448123,0.8101245,0.7999084,0.74520606,0.8521789,0.7830046,0.82034564,0.84335715,0.75731885,0.82409394,0.84505534,0.84860575,0.7904151,0.81144375,0.7954689,0.8076691
8.0,0.08315587,-0.1284992,0.12310828,0.26741174,0.01805934,0.098359674,-0.18258417,-0.1502413,-0.1267308,0.14660074,0.15107901,-0.19037874,0.025400084,0.14128199,0.10379598,-0.056199983,0.26615554,-0.035790864,0.18111327,-0.09727189,0.8634912,0.78596646,0.8118998,0.7807237,0.84653145,0.81133515,0.8016253,0.7478734,0.8527045,0.7848025,0.8213315,0.8443295,0.7595627,0.82566744,0.8464046,0.85027,0.7911598,0.8117307,0.7973004,0.80875665
8.0,0.08379665,-0.1288441,0.12305701,0.2682435,0.018515628,0.0990918,-0.18288559,-0.15080899,-0.12675303,0.14708492,0.15124208,-0.19109578,0.025170432,0.14165041,0.10422485,-0.055854253,0.26662916,-0.035354115,0.18177566,-0.097938865,0.86279035,0.78519887,0.81123745,0.7797906,0.84556675,0.81065613,0.8006616,0.74637604,0.85240996,0.7837939,0.820779,0.84378415,0.7583037,0.82478493,0.8456486,0.8493362,0.7907421,0.81156904,0.796272,0.808146
8.0,0.08272122,-0.1282652,0.123142004,0.26684567,0.017750539,0.097862214,-0.18237871,-0.14985643,-0.12671562,0.14627224,0.15096849,-0.18989107,0.025556164,0.1410317,0.10350497,-0.056434117,0.26583353,-0.036086496,0.18066442,-0.0968194,0.863967,0.7864877,0.81234956,0.78135717,0.8471868,0.81179565,0.80228007,0.7488911,0.8529042,0.7854872,0.821706,0.8446993,0.76041734,0.8262661,0.84691656,0.85090387,0.7914429,0.8118413,0.79799956,0.8091719
8.0,0.08308385,-0.12846056,0.123113796,0.26731822,0.018008314,0.09827748,-0.18255015,-0.15017773,-0.12672813,0.1465464,0.15106067,-0.19029805,0.025425848,0.1412405,0.103747755,-0.05623864,0.2661023,-0.035839736,0.18103892,-0.097197056,0.8635697,0.7860528,0.81197417,0.7808286,0.8466397,0.81141144,0.8017337,0.74804157,0.85273755,0.78491557,0.82139343,0.8443906,0.75970405,0.8257663,0.8464893,0.8503748,0.79120666,0.8117489,0.7974159,0.80882525
