label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
33.0,0.22933432,-1.1789062,-0.7660168,0.15764551,1.0344515,1.3433633,-0.462049,-1.0944812,0.0920576,0.7684234,-1.5080905,0.00380335,0.0522163,-0.7616994,1.6790805,1.0884056,1.4930686,-0.7107675,1.1089034,-0.6341164,0.1147125,0.0074019977,0.066783585,0.11129903,0.059084717,0.056435138,0.12333322,0.0555593,0.35688564,0.09827619,0.004414224,0.24978746,0.14590348,0.040441394,0.000652382,0.07201918,0.01833245,0.04060516,0.047834244,0.09289147
9.0,0.2603053,-1.1591709,-0.75920206,0.18860751,1.0250001,1.3624145,-0.44365245,-1.071143,0.06897629,0.8018635,-1.4754782,0.006921578,0.061153673,-0.75706196,1.6839008,1.0751826,1.4978653,-0.69607663,1.1344506,-0.65170854,0.11327579,0.0071974285,0.06774877,0.11129951,0.0586853,0.05725417,0.12301413,0.05515235,0.34905815,0.09927779,0.0044423044,0.24949394,0.14622097,0.041223995,0.0006367328,0.073543124,0.018497758,0.039846778,0.0473737,0.09282948
10.0,0.43373483,-1.0472003,-0.7337838,0.35927498,0.9458268,1.4525493,-0.332435,-0.944417,-0.06443751,0.98232335,-1.2963676,0.020807054,0.106252395,-0.7539043,1.70241,1.003546,1.5299375,-0.63027906,1.2773803,-0.7542151,0.10437358,0.006411808,0.07490861,0.11303924,0.05691623,0.06303939,0.12190086,0.05327233,0.31437707,0.109111264,0.004841158,0.24563403,0.1494495,0.046473734,0.00057285244,0.08207092,0.019672498,0.03679362,0.044996537,0.0916666
21.0,0.27791336,-1.1459657,-0.75563514,0.20879534,1.0138838,1.3698705,-0.43088883,-1.0553949,0.053487975,0.8207456,-1.4550468,0.009227309,0.06615214,-0.7571372,1.6861763,1.0646653,1.50199,-0.68991756,1.1482314,-0.66306865,0.11245171,0.0071368897,0.06870951,0.11161891,0.058565933,0.058082923,0.123102866,0.054967765,0.34511876,0.10049452,0.0045083654,0.24912122,0.14662102,0.041908823,0.0006319157,0.074611425,0.018714173,0.039589483,0.047200337,0.09278061
3.0,0.24495594,-1.1684685,-0.76290363,0.17395255,1.0310277,1.3558065,-0.454373,-1.0820701,0.08055492,0.786677,-1.4897082,0.006770622,0.05736766,-0.75815654,1.6807811,1.0824578,1.497415,-0.7045938,1.1203564,-0.641506,0.11397418,0.007283474,0.06716292,0.11133089,0.058684867,0.056913897,0.123237185,0.055416875,0.35304037,0.09858307,0.0044221105,0.2499181,0.14592811,0.040813014,0.0006442455,0.07297119,0.018373206,0.040219676,0.047560498,0.092995174
1.0,0.2309778,-1.177365,-0.7659108,0.15991461,1.034854,1.346566,-0.46231532,-1.0925957,0.09086615,0.7712667,-1.5047426,0.005120743,0.05320638,-0.760552,1.6786907,1.0881759,1.4949032,-0.7110553,1.1090727,-0.6339125,0.114629485,0.007381223,0.06676433,0.11133775,0.05890775,0.056544185,0.1233833,0.05559277,0.3565774,0.0981868,0.004412316,0.24999374,0.14581965,0.040473133,0.0006515836,0.072255164,0.018311666,0.040569965,0.047780085,0.09300226
29.0,0.4507991,-1.0377907,-0.7333485,0.37515444,0.94181305,1.4674329,-0.3250182,-0.93426263,-0.0753558,1.0017803,-1.2771473,0.02374947,0.110997625,-0.75218236,1.7026536,1.0007653,1.5362154,-0.6258434,1.2892321,-0.76052505,0.10342487,0.0063051437,0.07537248,0.113276735,0.05641404,0.063600436,0.12163205,0.053254038,0.312124,0.10981628,0.004861611,0.24555315,0.14969248,0.04685544,0.00056579144,0.08311942,0.019643437,0.036516037,0.04462752,0.091629535
28.0,0.3073034,-1.1260326,-0.74946976,0.23878182,0.9962887,1.3789068,-0.40803128,-1.0323864,0.028896017,0.8493049,-1.4262638,0.0095796995,0.0730008,-0.75830257,1.6909008,1.0483217,1.5043159,-0.6766794,1.1743282,-0.6839968,0.1110494,0.007039651,0.07023069,0.111899555,0.058651514,0.059099663,0.122993514,0.0545131,0.3382719,0.10253873,0.0046002716,0.24811475,0.14736247,0.042939946,0.00062228256,0.07585904,0.019065786,0.03907189,0.04692882,0.0924578
29.0,0.45181072,-1.0366763,-0.73334986,0.37627372,0.9403537,1.4671959,-0.32408428,-0.93327975,-0.076583356,1.0028486,-1.276167,0.023805723,0.111209586,-0.7528923,1.7025435,1.0000198,1.5365059,-0.6259705,1.290289,-0.7614865,0.103337556,0.006310398,0.07545047,0.11332137,0.056415416,0.06367333,0.12169943,0.05323108,0.3119562,0.109980546,0.004871427,0.24547832,0.14968885,0.046917006,0.0005659242,0.08316206,0.01966432,0.036521442,0.044626042,0.091623165
35.0,0.45730853,-1.0331427,-0.733244,0.3814997,0.93823576,1.4714864,-0.32139874,-0.92954826,-0.08045701,1.0089582,-1.2698834,0.024753276,0.11262979,-0.75286466,1.7022994,0.9988025,1.5386001,-0.6248777,1.2941829,-0.7638053,0.10302821,0.0062862723,0.07565527,0.11345003,0.056273874,0.063900694,0.12168824,0.05323538,0.31125414,0.11029625,0.0048859003,0.24543363,0.14978048,0.047072023,0.0005644121,0.083504796,0.019672954,0.036454786,0.044521205,0.09163928
31.0,0.42017007,-1.0559956,-0.73449177,0.3463231,0.95183027,1.4438977,-0.3399132,-0.9536917,-0.054313637,0.9675574,-1.3109443,0.019058004,0.102679074,-0.753636,1.7022669,1.0075667,1.5258688,-0.63356817,1.2669361,-0.74736947,0.10515831,0.00646887,0.07440422,0.1128094,0.05719268,0.06252837,0.12192885,0.053353377,0.31644815,0.10829864,0.004806555,0.24586473,0.1492658,0.04607573,0.00057716155,0.081323385,0.019627368,0.036979746,0.04522368,0.091709554
12.0,0.31669167,-1.1191273,-0.74723214,0.2477081,0.98701316,1.3763618,-0.39786756,-1.0251325,0.01967663,0.85603005,-1.4195414,0.007391449,0.074043304,-0.7611677,1.692318,1.0410783,1.5024614,-0.6719879,1.184183,-0.6933914,0.1105892,0.007056067,0.07092878,0.11201758,0.058972616,0.059421983,0.12306238,0.054269243,0.33589986,0.10360793,0.004652379,0.24745359,0.14772098,0.043366805,0.0006212739,0.076001175,0.019272575,0.03895936,0.04693426,0.09223255
25.0,0.36331874,-1.090819,-0.7405032,0.29319832,0.97352123,1.4094744,-0.37275368,-0.99195755,-0.01308642,0.9076031,-1.3690891,0.0138507,0.08774939,-0.75549835,1.6979022,1.0259169,1.5136069,-0.65359116,1.2210951,-0.7169485,0.10822829,0.006752344,0.07239023,0.11228056,0.058062814,0.0607918,0.122470416,0.053874336,0.3265886,0.105366506,0.0047032707,0.2469484,0.14835633,0.04453384,0.00059928,0.07852233,0.019408546,0.037976906,0.046131685,0.092075005
13.0,0.4542837,-1.0357279,-0.7332038,0.37828568,0.94065344,1.4698927,-0.32329884,-0.9321871,-0.07777386,1.0055852,-1.2735239,0.02415961,0.11190217,-0.7520931,1.702671,0.99998343,1.5372027,-0.62492144,1.2919022,-0.7621192,0.10322471,0.0062877233,0.07547228,0.113318026,0.056335576,0.06370861,0.12160444,0.05323282,0.31161466,0.10998602,0.0048672264,0.24550793,0.14972693,0.046941612,0.00056448026,0.08330286,0.01964497,0.03646238,0.044562694,0.09161551
4.0,0.3130617,-1.1221803,-0.74847704,0.24466972,0.9939676,1.3824495,-0.40452844,-1.0278198,0.02451774,0.8554451,-1.4199172,0.010288216,0.07459058,-0.75782484,1.6915143,1.0459002,1.5055509,-0.67446625,1.1789176,-0.6872942,0.11077552,0.007009314,0.070461944,0.11196185,0.058570802,0.059301753,0.12296866,0.054466985,0.3370337,0.1028058,0.004611765,0.24804199,0.14746353,0.04310997,0.00062010216,0.07617139,0.019103292,0.038961463,0.046845194,0.09245499
4.0,0.27224773,-1.1489891,-0.7567526,0.20369446,1.0145968,1.3657695,-0.43382812,-1.0589476,0.057146363,0.814576,-1.4605587,0.008766107,0.06450498,-0.75832886,1.685132,1.0663122,1.5013114,-0.6929333,1.1433551,-0.6601454,0.11272743,0.0071846484,0.06860473,0.111674376,0.058661282,0.05800202,0.123235695,0.055049393,0.34650564,0.10039961,0.0045121266,0.24917492,0.14658444,0.041809782,0.00063560106,0.07437173,0.018710747,0.03975332,0.04730442,0.09281833
23.0,0.41110486,-1.0621786,-0.73567146,0.33854732,0.95734835,1.4418777,-0.34657466,-0.95964754,-0.04673723,0.95905596,-1.3183837,0.019496813,0.10075303,-0.7523084,1.7015452,1.0116082,1.525489,-0.63695955,1.2582496,-0.74083453,0.10570309,0.00648857,0.0740364,0.1127666,0.05718135,0.06229295,0.12191288,0.053541422,0.31828013,0.107627176,0.0047805975,0.24624641,0.1491678,0.04578335,0.0005800311,0.08106234,0.019548614,0.03712182,0.045310885,0.09184188
38.0,0.35847765,-1.0948167,-0.7410471,0.28779545,0.9773285,1.4076008,-0.37642318,-0.9964994,-0.008649077,0.90271074,-1.3747913,0.0133029,0.086613946,-0.7548337,1.6979513,1.0286156,1.5122185,-0.65448546,1.2174195,-0.7136844,0.10847797,0.006756041,0.07207866,0.11211848,0.05810227,0.06051264,0.122373,0.0538939,0.32745603,0.10493014,0.004677,0.24705812,0.1482259,0.04432049,0.00059957063,0.078229494,0.019343339,0.03801314,0.046175446,0.09206032
42.0,0.3134779,-1.1235574,-0.74837154,0.24366419,0.99782306,1.3854719,-0.4061625,-1.029349,0.025979143,0.85651827,-1.4203507,0.010479592,0.07507463,-0.7558732,1.6922016,1.0479385,1.5052906,-0.6729177,1.1795279,-0.68615144,0.11074858,0.006963717,0.07020391,0.11175945,0.05845945,0.05908952,0.122732356,0.054440744,0.33684042,0.10240583,0.0045784186,0.24814726,0.147349,0.042963885,0.0006168896,0.07612557,0.019014366,0.038849384,0.046768684,0.09242636
16.0,0.27411222,-1.147741,-0.75557,0.20492767,1.0095174,1.3597858,-0.42868143,-1.05781,0.054343205,0.813548,-1.4619465,0.0060317554,0.063653864,-0.76112217,1.6863499,1.0627097,1.497867,-0.69033146,1.1473159,-0.6647903,0.1126762,0.0072247647,0.06897953,0.11168531,0.059073813,0.05802525,0.123233795,0.054891832,0.3457372,0.10101035,0.0045411712,0.24861893,0.14687012,0.041979495,0.0006366239,0.07413405,0.018851036,0.039756555,0.04739965,0.092586346
33.0,0.23056155,-1.1786186,-0.7658209,0.15838055,1.0351855,1.3447986,-0.4617731,-1.0942003,0.091605924,0.7699271,-1.5071148,0.0038553923,0.05263295,-0.7610481,1.679379,1.0885953,1.4931265,-0.7098855,1.109997,-0.6344283,0.11464282,0.007382287,0.06673226,0.11123374,0.059034597,0.056400657,0.12325911,0.05553063,0.3565393,0.098205194,0.0044057607,0.24981427,0.14586523,0.040426932,0.0006508222,0.07204823,0.018310687,0.04054259,0.047797274,0.09287783
