label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
1.0,0.036085717,0.037299857,0.009961627,-0.017585889,-0.017347593,0.020296842,0.010831416,-0.00086183846,0.012664776,0.012443851,0.06641659,0.01801158,-0.021157172,-0.06198591,-0.048336096,0.02199896,0.039695848,-0.005524736,0.020873757,-0.020044997,0.9288424,0.95714504,0.95247793,0.9630827,1.0119469,0.9675022,0.9833853,0.9696535,0.97490895,0.9699943,0.89963096,0.95052487,0.9631963,0.89431715,0.8917861,0.9324535,0.93502283,0.9808144,0.9573896,0.97155565
0.0,0.038672365,0.04692346,0.0048263147,-0.032497637,-0.01441518,0.017266572,0.011126138,-0.002860956,0.016903665,0.020400982,0.07702942,0.030333487,-0.021756627,-0.07621341,-0.04427784,0.029708017,0.05589833,-0.010389186,0.022515731,-0.027378798,0.92191976,0.9503662,0.9450095,0.96161646,1.0105766,0.96344763,0.9750529,0.96527463,0.97544223,0.95737165,0.9002034,0.94010735,0.95770395,0.8896876,0.8830405,0.9254646,0.93103653,0.9777272,0.95633847,0.96768266
0.0,0.04046357,0.052993964,0.0015241802,-0.042080823,-0.012497071,0.015318412,0.010995202,-0.003911704,0.019755226,0.02575091,0.08364463,0.03825441,-0.022172797,-0.08528035,-0.041715123,0.0344836,0.06632377,-0.013388801,0.02366474,-0.03258781,0.9177421,0.9462021,0.9402413,0.9606766,1.0098839,0.96100247,0.9696289,0.9623568,0.9760006,0.9494164,0.90057224,0.9335679,0.953926,0.88675314,0.8777236,0.9213027,0.92845243,0.9756618,0.9556052,0.9652166
1.0,0.036953107,0.038372237,0.009030767,-0.019647883,-0.016536271,0.01997564,0.010253027,-0.0009044595,0.013409216,0.013612738,0.06729527,0.019595796,-0.021487078,-0.06383835,-0.04793731,0.022586096,0.041942015,-0.0059071183,0.021573612,-0.021869056,0.9282127,0.95675445,0.951555,0.9629401,1.0120214,0.96690553,0.98217326,0.96899426,0.97510284,0.96815765,0.90005827,0.94954836,0.962238,0.89385104,0.8910442,0.93201816,0.934297,0.98016834,0.95697683,0.9708867
0.0,0.039250832,0.041295096,0.0059170797,-0.025585677,-0.014018327,0.018687677,0.008962043,-0.0018247962,0.01535121,0.016047489,0.06995095,0.023391653,-0.022209015,-0.06942221,-0.046820335,0.02459469,0.047960635,-0.007122632,0.023847794,-0.026175596,0.9265852,0.9555868,0.94885975,0.96236277,1.0124582,0.9649211,0.9793634,0.96739244,0.9752852,0.9628451,0.9019174,0.9478872,0.9601451,0.8928112,0.8888645,0.9304701,0.93303776,0.9785622,0.9560117,0.9691202
1.0,0.036545943,0.03879062,0.009443007,-0.01974102,-0.017059892,0.020052865,0.010867342,-0.00080801174,0.013377022,0.014016591,0.06802112,0.02025856,-0.02128964,-0.06400241,-0.047678404,0.02303784,0.04234582,-0.0062163398,0.020932453,-0.021373488,0.92769885,0.9560496,0.9513964,0.9629897,1.0115217,0.9669874,0.9818523,0.9689126,0.9751497,0.9681146,0.89939284,0.94828415,0.9621267,0.89346796,0.89045495,0.931429,0.9340538,0.9802256,0.9571181,0.9709586
0.0,0.04159552,0.049933642,0.0013721213,-0.038933374,-0.01137487,0.015921984,0.00882744,-0.0033885837,0.019094016,0.023389649,0.079179406,0.034240443,-0.022957794,-0.08200857,-0.043354772,0.031403754,0.06230998,-0.011334285,0.02536784,-0.03338123,0.92047167,0.9498375,0.94224775,0.96094817,1.0115514,0.96158993,0.9717948,0.9633251,0.9759055,0.9517706,0.9022999,0.93885344,0.9549594,0.8886777,0.88127834,0.9246495,0.92944777,0.97579193,0.95508534,0.96558094
0.0,0.03773874,0.04326045,0.006787494,-0.026803887,-0.015507641,0.01846283,0.0110636875,-0.002105102,0.015310679,0.017338946,0.0730222,0.0257113,-0.021534154,-0.07082022,-0.045805283,0.026756164,0.049801428,-0.008551568,0.021891454,-0.024526685,0.92449105,0.95292544,0.9478584,0.9622271,1.0110136,0.96493036,0.97820795,0.96696204,0.97520584,0.9621053,0.8999999,0.94397056,0.9598201,0.89142466,0.8863295,0.9280699,0.9324985,0.9788736,0.9566956,0.9691458
0.0,0.033742066,0.037529856,0.012212478,-0.015813572,-0.019915806,0.020749029,0.013672352,-0.00073825195,0.011640381,0.012384189,0.06798284,0.01833921,-0.020031486,-0.060699955,-0.04792466,0.023053665,0.038543463,-0.0061734244,0.018065369,-0.016224116,0.9278689,0.9550702,0.9528541,0.96323293,1.0102943,0.96832794,0.9837558,0.97013605,0.9747837,0.97174555,0.8970863,0.9475976,0.9640434,0.8936266,0.8905714,0.9307937,0.9352419,0.9817577,0.9583748,0.97259957
0.0,0.036297254,0.040306676,0.009054005,-0.021625,-0.017141616,0.019566357,0.011610292,-0.001329001,0.013717376,0.014938359,0.070024684,0.021949332,-0.021093637,-0.06591757,-0.046992965,0.024545241,0.044381462,-0.0071640275,0.020606292,-0.021376573,0.92642516,0.9545737,0.9503266,0.96272874,1.0110402,0.9665059,0.98085904,0.9684224,0.97505784,0.9666055,0.8990606,0.946423,0.961672,0.8926818,0.88879955,0.92993814,0.9337249,0.98009235,0.957286,0.9706115
