label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10
1.0,0.72857547,-0.3006527,-0.8752671,-0.005684525,0.37549794,0.6711222,-0.5849745,-0.47365817,0.56871194,-0.37162024,0.48873934,0.68933463,0.44321603,0.8526359,0.7990103,0.5146066,0.4984028,0.63933474,0.5441481,0.70568615
4.0,0.72074306,-0.28395653,-0.8568169,-0.0060489327,0.38486814,0.6624564,-0.58456403,-0.47664872,0.5623155,-0.36322942,0.49542594,0.69544274,0.4477054,0.8582398,0.8001318,0.5218688,0.4997479,0.6406587,0.55041707,0.71310043
6.0,0.7913659,-0.33747032,-0.9551025,-0.014996823,0.40430978,0.72261024,-0.63349324,-0.51243615,0.6211638,-0.40813166,0.46083328,0.67308354,0.41542828,0.8321605,0.7853217,0.48680437,0.47385955,0.6137608,0.5180897,0.67743236
5.0,0.3599556,-0.1364969,-0.46184734,0.060661614,0.16818434,0.38647798,-0.29561335,-0.20604424,0.2800911,-0.17814955,0.66548765,0.7741603,0.62956536,0.9669561,0.8785049,0.68558174,0.66671294,0.81257564,0.6969598,0.8672048
2.0,0.72931707,-0.29178885,-0.8706427,-0.006436188,0.3872972,0.6706257,-0.59119624,-0.48179802,0.5708274,-0.36902478,0.4902402,0.6920298,0.44271365,0.8548369,0.7973746,0.51607496,0.4957555,0.6371143,0.545749,0.707784
6.0,0.7922088,-0.33753124,-0.95504093,-0.0154524185,0.40418038,0.722945,-0.63362294,-0.51241654,0.62086934,-0.40843248,0.46093774,0.6731466,0.4155998,0.8319597,0.78562313,0.48703545,0.47402287,0.61380225,0.51813716,0.67742765
6.0,0.78279424,-0.33480486,-0.945644,-0.013472524,0.39764962,0.71599436,-0.62562853,-0.50552315,0.6137857,-0.40387145,0.46408814,0.6745555,0.4190303,0.83431786,0.7873233,0.48991612,0.4775434,0.6176294,0.52113646,0.68059146
1.0,0.753992,-0.32301828,-0.91247237,-0.008593198,0.3788651,0.69336104,-0.6009016,-0.48437944,0.5895717,-0.38872072,0.4755992,0.6803351,0.43133548,0.84234667,0.79382455,0.50110203,0.48949093,0.6301442,0.53189206,0.69199526
2.0,0.72994214,-0.2961396,-0.8734801,-0.006303031,0.3822661,0.67155707,-0.5890345,-0.4786831,0.5702755,-0.37061188,0.48936424,0.6906995,0.4426683,0.8535781,0.79798436,0.5151443,0.496696,0.63793105,0.5447858,0.706534
6.0,0.8141503,-0.35225907,-0.9835142,-0.01872066,0.41138664,0.7412195,-0.64926624,-0.5237363,0.6382152,-0.4218364,0.4515457,0.66718435,0.4065859,0.8243749,0.7813986,0.4777053,0.46639475,0.6056422,0.5091332,0.667491
6.0,0.79395294,-0.34211323,-0.9595653,-0.015299857,0.40101075,0.7250955,-0.63326883,-0.5110308,0.6221099,-0.410594,0.45947814,0.6716285,0.41465217,0.83046734,0.7854075,0.48539394,0.47387704,0.6136497,0.51671255,0.6756773
7.0,0.80186117,-0.34100303,-0.96644205,-0.016918521,0.4116415,0.73067594,-0.64268327,-0.52034235,0.6296596,-0.41336218,0.457038,0.6712822,0.41126364,0.8294379,0.78308856,0.4831346,0.46966273,0.6093844,0.5144742,0.6736224
6.0,0.78929925,-0.338285,-0.95323765,-0.014632687,0.4004612,0.72113764,-0.6304431,-0.5092609,0.618666,-0.4075378,0.4615584,0.6730857,0.4165257,0.83227515,0.7861788,0.48747888,0.47529876,0.615196,0.5187164,0.6779417
7.0,0.8061789,-0.3422455,-0.97119963,-0.017685812,0.41517383,0.73401463,-0.6467431,-0.52391726,0.63344055,-0.4154816,0.4554159,0.67056507,0.4094564,0.8283807,0.7820612,0.48158506,0.46778786,0.607419,0.51295173,0.6720579
4.0,0.71503305,-0.27904987,-0.8484785,-0.0054249465,0.38396865,0.65752447,-0.58091694,-0.4740566,0.55759764,-0.359463,0.49848932,0.6974928,0.45045307,0.8604979,0.80130845,0.52504003,0.50179356,0.6427092,0.5532529,0.7162527
6.0,0.78806126,-0.33801994,-0.9520948,-0.014338121,0.39953223,0.7202624,-0.62938607,-0.50834054,0.6177668,-0.40695873,0.46194488,0.6732375,0.41694254,0.8325635,0.7863714,0.4878002,0.47574496,0.61571026,0.51908135,0.6783199
1.0,0.73789096,-0.31312653,-0.8927263,-0.005919609,0.37315145,0.6803869,-0.5895696,-0.47567165,0.57735646,-0.37927032,0.48243478,0.6844741,0.4379587,0.8478017,0.79674774,0.5078167,0.49512652,0.63616854,0.5383332,0.6990945
4.0,0.7280667,-0.2913719,-0.8682981,-0.006666992,0.3849193,0.6690934,-0.5888558,-0.4793762,0.56840175,-0.3684044,0.49124846,0.69245267,0.4440592,0.85507566,0.7985703,0.51741844,0.49721703,0.6382077,0.5465371,0.70868653
4.0,0.70846015,-0.27812603,-0.8423388,-0.0039871894,0.37801078,0.6528013,-0.5747453,-0.46822643,0.55225444,-0.35659763,0.50076586,0.69826335,0.45315886,0.86196584,0.8027586,0.52710676,0.504726,0.6458262,0.5552938,0.7183089
7.0,0.83286804,-0.3576421,-1.0038815,-0.022133123,0.42627895,0.7555884,-0.66661865,-0.5387954,0.65418994,-0.4310062,0.44477808,0.66417164,0.39908823,0.81982046,0.7771972,0.47130904,0.45858866,0.5973869,0.50269425,0.66087496
6.0,0.80100924,-0.34041408,-0.964874,-0.016997453,0.41088298,0.7297832,-0.64165044,-0.5194088,0.6284566,-0.41285428,0.4575789,0.6715895,0.4119144,0.8297112,0.7835759,0.4838118,0.47027865,0.60987276,0.51498455,0.6741521
6.0,0.79963773,-0.34441903,-0.9662713,-0.016219005,0.40492788,0.7296244,-0.63831174,-0.5153171,0.62706745,-0.4135975,0.45719796,0.67048335,0.4122016,0.8289083,0.7840568,0.48316783,0.47147068,0.6111349,0.5145664,0.6734204
7.0,0.81345713,-0.34957,-0.9815103,-0.018712465,0.4139779,0.7403128,-0.6501425,-0.5252723,0.6381833,-0.42066386,0.45215407,0.66798496,0.40677124,0.82521015,0.78120416,0.47831059,0.46608406,0.60546404,0.509738,0.66831064
7.0,0.8077985,-0.34377167,-0.97373617,-0.017814953,0.41540703,0.73552036,-0.6478456,-0.52463,0.6348793,-0.41661325,0.45457658,0.6699665,0.40866593,0.8277178,0.78165644,0.48068392,0.46718013,0.6068168,0.5121483,0.6711519
5.0,0.42993212,-0.1519016,-0.5255096,0.04537078,0.22269434,0.43786895,-0.35722983,-0.26859713,0.33221155,-0.21023388,0.63431937,0.7635496,0.59187037,0.94862556,0.86237645,0.65690196,0.62860215,0.7730688,0.67111987,0.8407403
4.0,0.7036839,-0.27147534,-0.83353776,-0.0037918724,0.37997943,0.64823544,-0.57288766,-0.46770453,0.548332,-0.35263693,0.50404036,0.7008621,0.45567483,0.86447567,0.8035933,0.53058165,0.506052,0.6471408,0.5583394,0.7217976
1.0,0.7561766,-0.32144085,-0.9134405,-0.009233195,0.38309705,0.69458175,-0.60400695,-0.48771784,0.5916237,-0.38909784,0.47520646,0.6806532,0.43050268,0.84239143,0.7931872,0.5008868,0.48816746,0.6287291,0.5315613,0.6918108
2.0,0.7275968,-0.2957438,-0.8715985,-0.005698081,0.38063434,0.6699445,-0.58713925,-0.47696766,0.56881976,-0.36959916,0.48998597,0.6909195,0.44340485,0.85412955,0.7983092,0.515688,0.4974874,0.63880384,0.54539406,0.7071805
6.0,0.80132675,-0.3487079,-0.9698807,-0.016354892,0.40112296,0.73139095,-0.6373245,-0.51325494,0.62741053,-0.41563168,0.45612574,0.66918606,0.4117737,0.82745093,0.7843369,0.4820985,0.47182083,0.61130774,0.5134625,0.6720178
7.0,0.7981498,-0.33706185,-0.96058506,-0.01655567,0.41192815,0.7272843,-0.64066714,-0.5193434,0.62669826,-0.4106168,0.45897228,0.6727525,0.4129222,0.8310908,0.78377444,0.4851263,0.47078902,0.6105992,0.5163343,0.6757398
3.0,0.79744416,-0.3438501,-0.96440005,-0.015667833,0.4035856,0.7280501,-0.63658136,-0.5138549,0.6257171,-0.41257083,0.45779416,0.6707498,0.41285166,0.8294425,0.78434694,0.4836993,0.47215277,0.6118921,0.5151449,0.6740806
7.0,0.80463636,-0.34012243,-0.96832883,-0.01760212,0.41571593,0.7325083,-0.64608544,-0.5237888,0.6321111,-0.41415423,0.4563731,0.67134047,0.41020957,0.8291906,0.78234154,0.48255038,0.46822488,0.60793316,0.51386714,0.673091
1.0,0.72025853,-0.29964438,-0.86815596,-0.0036788024,0.36848316,0.66537845,-0.57753956,-0.4667501,0.5626689,-0.36805412,0.49124077,0.69012576,0.44621053,0.8544325,0.80049,0.51675135,0.5017121,0.64298135,0.5464877,0.70806706
2.0,0.72793376,-0.2952518,-0.871661,-0.005797293,0.38163278,0.67011154,-0.58779395,-0.4777212,0.5692372,-0.36957905,0.48994884,0.6910391,0.44324327,0.8541972,0.798146,0.51567864,0.49718827,0.6385055,0.54537195,0.70721287
6.0,0.788151,-0.33704242,-0.95190614,-0.014364537,0.4011512,0.7202349,-0.63025075,-0.5094351,0.6183406,-0.40671474,0.46194488,0.6734647,0.41675407,0.8328196,0.7861081,0.4878341,0.47533435,0.6153079,0.51912206,0.678463
7.0,0.8065777,-0.34303555,-0.97206885,-0.01767699,0.41474,0.7344595,-0.6467956,-0.5237859,0.6337405,-0.41589224,0.4551381,0.670297,0.40925252,0.82811016,0.78199345,0.4812738,0.46771392,0.6073455,0.5126792,0.67172676
2.0,0.7308506,-0.2990381,-0.87643826,-0.0060683526,0.38028842,0.6727942,-0.5887686,-0.47785717,0.5711743,-0.37188128,0.48829806,0.68965787,0.44197574,0.8526914,0.797795,0.51391995,0.49656546,0.6378695,0.54378057,0.70534384
1.0,0.7305312,-0.30823103,-0.88264763,-0.005037263,0.3699368,0.6741022,-0.583811,-0.4710322,0.57075423,-0.3748115,0.48607835,0.68664795,0.44159773,0.85034496,0.79862094,0.51156974,0.49826917,0.639319,0.54166776,0.7027373
