label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
1.0,0.20377165,0.022930546,0.20319779,0.15405592,0.20157798,0.39680693,-0.046908457,-0.15782973,-0.2162875,-0.22138312,0.28539616,-0.03431239,-0.102768466,-0.53467923,-0.06323426,0.21283138,-0.27885985,0.12865144,-0.16888003,0.17482735,0.85035276,0.9192435,0.84662116,0.90172267,0.78985584,0.6695924,0.937338,0.87023157,0.81431407,0.8516101,0.7352396,0.93923444,0.88771904,0.55518997,0.94624746,0.78594965,0.71166724,0.89455277,0.84011185,0.86274856
1.0,0.20397168,0.022863882,0.20303333,0.15417334,0.20080408,0.39721322,-0.047617137,-0.15806866,-0.2161473,-0.22093657,0.28586435,-0.03424923,-0.101860836,-0.53499234,-0.061977446,0.21277829,-0.2790046,0.12768704,-0.16808717,0.17481758,0.85150474,0.91914773,0.84656775,0.90106434,0.78986555,0.6703728,0.9373852,0.8703181,0.8157812,0.8524413,0.7353973,0.93948746,0.8871775,0.55614024,0.94563866,0.7869724,0.71247995,0.8954879,0.84044296,0.86339813
1.0,0.20358649,0.022687843,0.20301878,0.15402505,0.20126963,0.39629412,-0.04678826,-0.15738198,-0.21613595,-0.2213769,0.28487098,-0.034373693,-0.10313015,-0.53422165,-0.06321242,0.2125153,-0.27827537,0.12865864,-0.1689053,0.1747645,0.8501637,0.9196165,0.8469926,0.9020853,0.78995126,0.669825,0.93744636,0.8702006,0.81445843,0.8516005,0.7354725,0.93913275,0.88793325,0.55514437,0.9464163,0.78609407,0.71198475,0.8945099,0.8405298,0.86292154
1.0,0.20443887,0.023252605,0.20318449,0.15428716,0.20048109,0.39812225,-0.04841642,-0.15907869,-0.21615407,-0.22039229,0.28699708,-0.034024723,-0.10022685,-0.5358248,-0.06094805,0.21306182,-0.28002435,0.12680985,-0.1671822,0.17485489,0.8529128,0.9185246,0.8459206,0.89982474,0.78989893,0.67080545,0.93733567,0.87043244,0.8169663,0.85326755,0.73521614,0.9398764,0.8864206,0.55722713,0.9448467,0.78778774,0.71274674,0.8964135,0.84012246,0.8637249
0.0,0.20392036,0.021739056,0.20182765,0.15446231,0.19740412,0.39676067,-0.04938832,-0.15724438,-0.21529925,-0.21956453,0.2855335,-0.034297604,-0.10055862,-0.53450143,-0.05788041,0.21173778,-0.27726477,0.124690235,-0.16577707,0.17464449,0.8543326,0.9200417,0.847793,0.90040404,0.790026,0.6736416,0.937804,0.87053335,0.820813,0.8549498,0.73666424,0.9399639,0.88607347,0.5588667,0.94422835,0.79052764,0.7161314,0.8983316,0.84292424,0.86605936
1.0,0.20497584,0.023199478,0.20283906,0.15456235,0.19867341,0.39915767,-0.05013278,-0.15980071,-0.21583867,-0.21927148,0.28823507,-0.03381894,-0.097895,-0.5366597,-0.057944685,0.21299848,-0.28050518,0.12448363,-0.16520458,0.17483321,0.8557409,0.91821116,0.84572107,0.8981601,0.78991896,0.6726364,0.93743634,0.87065244,0.8205029,0.8552692,0.7355484,0.94052786,0.88508594,0.5595472,0.94332874,0.7902594,0.71462727,0.89871025,0.8408091,0.86524117
0.0,0.20210525,0.022080945,0.20307791,0.15351453,0.20371495,0.39337072,-0.043388322,-0.15474454,-0.2164694,-0.22354928,0.28132218,-0.034955487,-0.10868311,-0.53168786,-0.06833194,0.21203254,-0.27575368,0.13277459,-0.17256038,0.17471005,0.8444275,0.921257,0.84856594,0.9063308,0.78988636,0.6670949,0.9374748,0.869754,0.8086181,0.84788215,0.73551655,0.9377428,0.8908459,0.5506069,0.9495294,0.78204066,0.70953524,0.89046633,0.8404592,0.8606914
1.0,0.20434332,0.023277154,0.20319849,0.15423769,0.20063685,0.39787233,-0.048240848,-0.15911108,-0.21618867,-0.2204088,0.28685772,-0.034047943,-0.100358024,-0.53571606,-0.06119907,0.21305732,-0.27991238,0.12702748,-0.16729487,0.1748438,0.8526676,0.9185113,0.8459306,0.89995426,0.7899536,0.6707166,0.9373222,0.87045026,0.8166518,0.85311496,0.735185,0.9398425,0.8864627,0.55711293,0.9449353,0.7875757,0.7125852,0.8962523,0.84010005,0.86359906
1.0,0.20501566,0.02366822,0.2032042,0.15446365,0.19959438,0.39919582,-0.04974231,-0.16050354,-0.21609122,-0.21938142,0.28852725,-0.033743963,-0.09771608,-0.53692245,-0.058912948,0.21334787,-0.28114247,0.12520258,-0.16553944,0.17487945,0.85524374,0.91772324,0.8451807,0.89800215,0.7900075,0.6719174,0.9373019,0.87067467,0.8192895,0.85477483,0.7351228,0.94052106,0.88509816,0.55919456,0.9434905,0.789396,0.71360457,0.89816254,0.84005404,0.864536
0.0,0.20378795,0.022978136,0.20319377,0.15404996,0.20148559,0.3967428,-0.046982385,-0.15798397,-0.2162587,-0.22124344,0.2854553,-0.034279693,-0.10251182,-0.5346948,-0.06310628,0.21280304,-0.2788941,0.12854803,-0.16870885,0.17480965,0.85053205,0.91918445,0.8465637,0.90157044,0.78993094,0.66972584,0.9373535,0.8702607,0.81449264,0.8517414,0.7352442,0.93928754,0.88761294,0.5554036,0.9461417,0.78608847,0.71174026,0.89468783,0.8401372,0.8628131
