label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
1.0,-0.0009851567,0.0025891913,0.0011774004,-0.00015011057,0.00085407495,-0.002185585,-0.0014907569,-0.004432328,0.0032621473,-0.0040487796,-0.0009057671,0.0026081367,-0.0011470318,-0.00012529781,-0.0016182847,-0.00018103421,-0.0017137602,0.0026085959,-0.0008476991,0.0025375523,0.9966411,0.9973967,0.99503624,0.9991768,1.0006124,0.994941,1.0006903,0.9951913,0.9961654,0.9980169,0.99810964,0.99292177,0.99817014,0.99752223,0.9972716,0.9972158,0.9949411,0.9927418,0.99716556,0.9963148
1.0,0.00058606267,-0.0005474766,0.0014351681,-0.004255891,0.0013152212,-0.0038460046,-0.002087891,-0.0034729391,0.0046276525,-0.0033764392,-0.00030932575,0.00088105345,-0.0009609759,0.0008725072,0.0023616813,0.00055864453,0.0020610467,0.0014994489,0.001443183,0.0018881746,0.9951082,0.9960676,0.9949312,0.9991937,0.99766964,0.99593574,1.0006903,0.99696165,0.994296,0.9970984,0.9968092,0.99564993,0.9948851,0.9969156,0.99787444,0.99896294,0.9968418,0.99361795,0.99680334,0.99737173
1.0,-0.00076910853,0.0026101717,0.00093588233,0.00032187998,-0.00056342036,-0.0015731389,-0.0015382916,-0.0038390234,0.003411755,-0.0030159056,-0.0013876036,0.0017845226,-0.0015573651,-0.00059137587,-0.0016623121,-0.00067026913,-0.0011642501,0.0029399008,-0.0009195134,0.0021400992,0.9966198,0.99707806,0.9964279,0.9989698,0.99966073,0.9942884,1.0015072,0.9951613,0.99628747,0.9988489,0.99785894,0.99297607,0.9983817,0.9975251,0.99736863,0.9971504,0.9939581,0.99182,0.9978667,0.9955453
1.0,0.0009486191,-0.0012812862,0.0019010603,-0.004073873,-0.00077366084,-0.0036352174,-0.0032259189,-0.0030434579,0.004578039,-0.0020452589,-0.0014131442,-0.0007975298,-0.0018015206,0.00082630897,0.0020064842,-8.032471e-05,0.003656786,0.0017819637,0.0020612627,0.0010566358,0.99449193,0.99468404,0.99598587,0.99951464,0.9960443,0.99500686,1.0011514,0.99740124,0.99427116,0.9975847,0.9958739,0.99676144,0.9945863,0.9961224,0.99737257,0.99894565,0.99563766,0.99169993,0.9976226,0.9959111
1.0,-0.0008514151,0.0023258585,0.001246117,-0.00084447116,0.0008672923,-0.001403762,-0.0017975569,-0.0045637116,0.002873741,-0.0038574263,-0.0011960119,0.0015438087,-0.0024572313,-8.8662375e-05,-0.0006574653,7.529557e-05,-0.0009688623,0.0026154388,-0.00019676611,0.0023378003,0.9961942,0.9972198,0.99461627,0.99915665,0.9994305,0.9946935,1.0002694,0.9950645,0.99524826,0.9975831,0.9979048,0.9936212,0.99834037,0.9966561,0.99707925,0.9971374,0.9955122,0.993293,0.9975384,0.9957012
1.0,0.00017113611,-9.517162e-05,0.0018785447,-0.0030037686,-0.00012254715,-0.0025865901,-0.0029478557,-0.0039734915,0.003569007,-0.0030644983,-0.0015682504,-0.00025527435,-0.0031473413,0.00054121064,0.0014197398,0.00033760816,0.0020954944,0.0021166997,0.001491528,0.0015372615,0.9947695,0.99542,0.99499387,0.99950105,0.99681693,0.99449426,1.0004203,0.99651664,0.99420816,0.997266,0.9966345,0.9960371,0.9963011,0.99584013,0.9970635,0.99838907,0.9959763,0.99270976,0.9979693,0.99546343
1.0,-0.00070035085,0.0027436446,0.0005616471,0.0005575493,-0.00058508664,-0.0013264627,-0.0011368617,-0.0035364777,0.003601037,-0.0025608689,-0.0011777803,0.0018406849,-0.0007830262,-0.0008963798,-0.0019193441,-0.0009692237,-0.0013789721,0.0030726641,-0.0010233521,0.0020718314,0.99690557,0.9974921,0.9967569,0.998723,0.99993813,0.99457145,1.001793,0.99509066,0.99661136,0.999048,0.9979048,0.9923678,0.998403,0.9978636,0.9976559,0.9969459,0.9937564,0.99171144,0.9975471,0.99585915
1.0,-0.0005222112,0.0028463881,-8.521229e-05,0.00092807785,-0.00083227456,-0.0007951907,-0.00049884245,-0.0029812604,0.0039114356,-0.0015590563,-0.0009054616,0.001657941,0.00040186197,-0.0014335751,-0.0022509862,-0.0015148446,-0.0015184097,0.0033181305,-0.0010457151,0.0018288326,0.9972864,0.9980638,0.99736136,0.99823874,1.0001225,0.99495655,1.0023326,0.9949806,0.99710375,0.9993658,0.9978588,0.99141365,0.99838096,0.99832034,0.998153,0.99660033,0.9934041,0.9914661,0.9970685,0.9962132
1.0,0.00035806,-0.0004285992,0.001943484,-0.003300149,-0.00029434264,-0.0029629963,-0.0030520149,-0.003762707,0.003832914,-0.0028555915,-0.001530461,-0.00035955117,-0.0028261542,0.0006710286,0.0016135331,0.00027962774,0.0025208816,0.0019800016,0.0016266368,0.0014403947,0.99465406,0.99517,0.99522996,0.99953157,0.9966239,0.99460363,1.0006002,0.9967913,0.9942312,0.99733686,0.99641633,0.996281,0.9958098,0.99591005,0.9971343,0.99861264,0.99592245,0.9924653,0.99788946,0.9955939
1.0,0.00041094422,-0.00043829787,0.001914449,-0.0033747554,-0.00027550012,-0.0029336605,-0.0030374117,-0.0037359148,0.0038551316,-0.0027680546,-0.0015081093,-0.00040032458,-0.0027569532,0.00067375833,0.0016324054,0.00024279952,0.0025563203,0.0019672038,0.0016906876,0.001398161,0.99466455,0.99516404,0.99522865,0.9994839,0.9965822,0.9946581,1.0005983,0.99679035,0.9941993,0.9973003,0.9963686,0.9962764,0.9957257,0.9959105,0.99715245,0.9985961,0.99596405,0.9924602,0.99780416,0.995628
