label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
1.0,-0.0017864108,-0.00012311537,-0.00016064942,0.001993712,-0.0016402304,-0.0015077274,-0.0011526868,0.0011853725,0.0011731014,-0.00031396002,-0.0007834211,-0.00062600104,0.0018039644,-0.0015470837,0.00020095333,0.00025260448,0.0004502721,0.0015769559,-0.00012310036,0.0009304229,0.99696547,0.99677706,0.9973809,0.99639916,0.99685276,0.9956876,0.99809223,0.9973103,0.9972839,0.99757975,0.99769485,0.9958388,0.9955348,0.99661624,0.9972741,0.99626994,0.9978204,0.9954703,0.99663967,0.9958739
1.0,-0.0017979629,-0.00016799208,-0.00024832785,0.0019349195,-0.0016853884,-0.0015182728,-0.0011384375,0.0012528896,0.0012403876,-0.00025467575,-0.0007122606,-0.00065860816,0.0019193292,-0.0015583476,0.00032102875,0.00036149472,0.00050479174,0.0014646831,-6.7956746e-05,0.0010005143,0.99693793,0.9967638,0.99746126,0.996362,0.99686664,0.9957321,0.9981379,0.99726933,0.9972348,0.9975483,0.9977952,0.9956795,0.9954659,0.99659747,0.99732745,0.99622595,0.9977599,0.99551016,0.99674547,0.99610734
1.0,-0.0017893948,-0.00013466901,-0.00018325448,0.001978606,-0.0016518608,-0.0015104152,-0.0011490136,0.0012027472,0.0011904314,-0.00029873103,-0.0007651448,-0.00063438213,0.0018336177,-0.0015499736,0.00023191608,0.00028073043,0.00046431646,0.001548016,-0.00010889396,0.0009485092,0.99695843,0.9967737,0.9974016,0.99638957,0.99685633,0.99569905,0.99810404,0.99729973,0.99727124,0.99757165,0.9977207,0.99579775,0.995517,0.9966115,0.9972879,0.9962587,0.9978049,0.99548054,0.9966671,0.99593395
1.0,-0.0017785989,-9.3038776e-05,-0.000101834536,0.0020331591,-0.0016098022,-0.0015007416,-0.0011623278,0.0011401698,0.0011278987,-0.0003535971,-0.0008312464,-0.00060413074,0.0017268062,-0.0015395302,0.000120142475,0.00017911196,0.00041367486,0.0016524461,-0.00016015209,0.0008832235,0.996984,0.99678606,0.99732685,0.9964242,0.99684346,0.99565786,0.99806166,0.99733794,0.99731684,0.9976008,0.99762726,0.99594575,0.9955808,0.996629,0.99723816,0.9962995,0.9978611,0.9954434,0.9965684,0.99571687
1.0,-0.0017683059,-5.3910306e-05,-2.528727e-05,0.0020844452,-0.0015701428,-0.0014917497,-0.0011749677,0.0010814294,0.0010691062,-0.0004050359,-0.0008935258,-0.00057567126,0.0016266778,-0.0015296945,1.4614314e-05,8.287281e-05,0.0003659986,0.0017509437,-0.00020846538,0.0008215364,0.9970083,0.99679786,0.9972564,0.9964569,0.9968314,0.99561936,0.99802184,0.99737376,0.99736005,0.99762845,0.99753875,0.9960853,0.99564064,0.9966455,0.99719137,0.9963378,0.9979141,0.9954081,0.996475,0.9955122
1.0,-0.0018193275,-0.00025243685,-0.00041312724,0.0018242262,-0.0017697364,-0.0015384806,-0.0011120699,0.0013802424,0.0013667494,-0.00014255941,-0.00057876855,-0.00071995764,0.00213743,-0.0015794653,0.0005454011,0.0005640015,0.00060715526,0.0012545208,3.5347417e-05,0.0011313073,0.9968867,0.9967391,0.99761176,0.99629235,0.996893,0.99581623,0.9982235,0.9971927,0.9971435,0.99748933,0.99798244,0.995381,0.995336,0.99656224,0.99742734,0.9961427,0.9976464,0.995584,0.99694234,0.9965446
1.0,-0.0018110722,-0.0002195561,-0.00034897774,0.001867339,-0.0017369762,-0.001530542,-0.001122281,0.0013306215,0.0013175905,-0.00018630922,-0.0006306693,-0.0006960725,0.002052337,-0.0015712371,0.00045825727,0.00048549473,0.00056732446,0.0013362118,-4.8261136e-06,0.0010805335,0.9969065,0.9967487,0.9975533,0.99631935,0.99688274,0.9957835,0.99819016,0.9972224,0.997179,0.99751234,0.9979098,0.99549705,0.99538666,0.9965759,0.99738854,0.9961751,0.99769056,0.99555534,0.9968659,0.99637467
1.0,-0.0017967112,-0.00016303314,-0.00023863465,0.0019414015,-0.0016804114,-0.0015170947,-0.0011400133,0.0012454316,0.0012329593,-0.0002612248,-0.0007201433,-0.0006549942,0.0019065812,-0.0015571057,0.00030779466,0.00034949183,0.00049877167,0.0014770688,-7.404573e-05,0.000992788,0.9969409,0.99676526,0.9974523,0.9963661,0.9968651,0.99572724,0.9981329,0.99727386,0.9972403,0.99755174,0.9977842,0.99569714,0.9954735,0.9965996,0.9973216,0.99623084,0.99776655,0.99550575,0.99673384,0.99608153
1.0,-0.0017975643,-0.00016637461,-0.00024516135,0.001937028,-0.0016837493,-0.0015178835,-0.0011389591,0.0012504607,0.001237981,-0.00025681406,-0.00071483105,-0.00065743085,0.0019151941,-0.0015579294,0.00031671673,0.00035759062,0.00050283223,0.0014687185,-6.99535e-05,0.0009979922,0.996939,0.9967643,0.9974583,0.9963633,0.99686617,0.9957306,0.9981362,0.99727076,0.9972366,0.99754936,0.9977915,0.9956852,0.9954684,0.9965982,0.99732554,0.9962275,0.997762,0.99550873,0.9967417,0.9960989
1.0,-0.0018131919,-0.00022796093,-0.00036540627,0.0018562898,-0.001745373,-0.0015325695,-0.0011196397,0.0013433099,0.001330182,-0.00017510355,-0.00061739236,-0.00070220086,0.0020741075,-0.0015733596,0.00048062205,0.00050563365,0.00057753175,0.0013152477,5.4817647e-06,0.0010935646,0.9969014,0.9967462,0.9975683,0.99631244,0.99688536,0.9957918,0.99819875,0.99721485,0.99717,0.9975064,0.9979285,0.9954673,0.9953737,0.99657243,0.9973985,0.9961668,0.9976793,0.99556273,0.9968856,0.99641824
