label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
2.0,0.24425316,-0.20198606,-0.11629388,0.27452478,-0.36809635,0.441563,-0.18100232,0.2541112,0.47906238,-0.26205152,-0.055919208,-0.04121376,-0.15654498,-0.1550331,-0.18882102,0.28999662,-0.04679051,0.38005432,0.35995564,-0.19580331,0.7970487,0.82448095,0.8560504,0.7841369,0.753924,0.69366956,0.8488534,0.82043236,0.6193479,0.7966145,0.8596258,0.8986496,0.8670861,0.8541098,0.81863695,0.7671779,0.8839575,0.70985097,0.72988945,0.8356845
1.0,0.24759012,-0.2084014,-0.117760286,0.2718547,-0.3697884,0.43734694,-0.17255184,0.25519165,0.49682447,-0.26590434,-0.055038013,-0.054823987,-0.1645523,-0.15731405,-0.1908822,0.29363507,-0.04814495,0.38589606,0.36684963,-0.19791019,0.7880941,0.8163017,0.85153633,0.78006244,0.7528291,0.68428105,0.8413196,0.80611295,0.6120107,0.7876739,0.8467008,0.89005095,0.8608117,0.8364803,0.80557543,0.76469976,0.87500775,0.70572495,0.72448844,0.82942784
2.0,0.26614442,-0.22520055,-0.122831464,0.28223377,-0.38214165,0.44516551,-0.16951129,0.26517093,0.541751,-0.2793454,-0.056149177,-0.07764261,-0.17811769,-0.16250819,-0.19536066,0.31324714,-0.05012697,0.4063678,0.3847379,-0.20795894,0.767216,0.80083525,0.8434415,0.76212573,0.7439474,0.66493094,0.8314747,0.7845088,0.58987355,0.7669063,0.82999367,0.87998784,0.84857845,0.8151355,0.78349614,0.7517514,0.856607,0.69310385,0.7100784,0.8152048
2.0,0.25104818,-0.20993294,-0.11798222,0.27624473,-0.3726256,0.44267488,-0.17636223,0.25735456,0.49933475,-0.26755175,-0.055838384,-0.053398855,-0.16444588,-0.15763423,-0.19144486,0.29702693,-0.048063025,0.38815874,0.36845917,-0.19925871,0.7872262,0.8161448,0.8517,0.7775582,0.75080377,0.6840151,0.8428626,0.8081597,0.6098928,0.786388,0.8490608,0.8917673,0.86082524,0.83969283,0.80658287,0.7626295,0.8744864,0.7042781,0.72313654,0.8290897
1.0,0.20969218,-0.16228537,-0.10376232,0.2610574,-0.34190828,0.4338606,-0.1999282,0.23587152,0.37455186,-0.23218977,-0.053653285,0.018713519,-0.11679516,-0.143837,-0.17847675,0.25269073,-0.03888399,0.33660713,0.31731248,-0.17245662,0.8490744,0.86624223,0.8789019,0.8206642,0.7696773,0.7444595,0.8823836,0.8869823,0.6726657,0.8508359,0.91308075,0.93237454,0.9022789,0.9275387,0.88240004,0.79065347,0.9313934,0.7416639,0.7661442,0.87107486
2.0,0.24992102,-0.20744734,-0.116751954,0.2800344,-0.3747983,0.44830635,-0.18433648,0.25729993,0.48857275,-0.26615417,-0.058720425,-0.04475478,-0.1602914,-0.15561888,-0.19077043,0.29625562,-0.04780446,0.38606197,0.36611047,-0.20014302,0.7921437,0.82161254,0.8552592,0.7788664,0.7499573,0.68915623,0.8482926,0.816914,0.6127711,0.7907481,0.85834897,0.89762455,0.863685,0.851644,0.8151937,0.76321834,0.8804202,0.7049304,0.7256001,0.83195436
2.0,0.2328917,-0.18448675,-0.109987125,0.28001416,-0.3645138,0.45177874,-0.20459566,0.24924222,0.42583036,-0.2500305,-0.061130375,-0.0037838668,-0.13467857,-0.14745817,-0.18408296,0.2782867,-0.043202728,0.36329305,0.3414843,-0.19089188,0.82299113,0.84909344,0.87058514,0.79696506,0.756233,0.72017664,0.87080085,0.85984665,0.6406482,0.82290596,0.8969954,0.92227423,0.8845252,0.90437406,0.8568418,0.77415884,0.9112887,0.72063315,0.7460968,0.85248744
2.0,0.22230518,-0.17193712,-0.10424644,0.2794866,-0.35975957,0.45467338,-0.21721157,0.24362391,0.38656753,-0.23976672,-0.064027175,0.020411462,-0.120294906,-0.14213072,-0.18134475,0.26699072,-0.04042612,0.34976482,0.32797316,-0.18542492,0.8421919,0.8662188,0.8809287,0.8085312,0.75904995,0.73895293,0.8855137,0.8861876,0.65801966,0.8425688,0.92106295,0.9372519,0.8972331,0.93689924,0.8832224,0.7807435,0.9307774,0.7293103,0.7588142,0.86458033
2.0,0.23436974,-0.1898461,-0.11636071,0.26197603,-0.3503456,0.42473626,-0.16997404,0.24846855,0.46460524,-0.2542763,-0.04612384,-0.03602027,-0.14794406,-0.15601146,-0.18434136,0.2782413,-0.043774158,0.36751255,0.34619147,-0.18431875,0.80563205,0.8283803,0.8556166,0.79430765,0.7631619,0.7022088,0.848725,0.82672673,0.63290507,0.8083469,0.8598333,0.89901155,0.8748661,0.8569279,0.8230287,0.7741089,0.88814527,0.722239,0.7382631,0.843618
1.0,0.23032652,-0.18600774,-0.11236225,0.2690039,-0.35763377,0.4373064,-0.18822657,0.2468682,0.43889236,-0.25077435,-0.055227593,-0.018041857,-0.14101961,-0.15049699,-0.18403149,0.27531087,-0.044156045,0.3632081,0.3431004,-0.18748775,0.81671345,0.84079605,0.8646139,0.798036,0.76053864,0.7128945,0.86059123,0.84457463,0.63926464,0.81717914,0.8797924,0.9112389,0.8800237,0.8814284,0.84229755,0.7764075,0.9021851,0.7218829,0.74373984,0.8490286
2.0,0.24221626,-0.19621445,-0.112609774,0.28234342,-0.37154555,0.45394373,-0.19767871,0.25396574,0.45482442,-0.25830284,-0.06102054,-0.021374427,-0.14692745,-0.1512391,-0.18798205,0.28808957,-0.04556048,0.37458453,0.3541773,-0.19594818,0.80862063,0.836446,0.8639021,0.7877693,0.75207734,0.70579714,0.86163867,0.84129363,0.62673414,0.80711263,0.88075984,0.91170406,0.87475115,0.88149226,0.83850914,0.76826775,0.89694554,0.7122628,0.7357629,0.8429166
1.0,0.22287725,-0.17131765,-0.104817756,0.27922192,-0.35839522,0.45338726,-0.21627328,0.24382517,0.38806278,-0.23987992,-0.06292409,0.020146534,-0.11965849,-0.14257646,-0.18089648,0.26727086,-0.04018943,0.34979317,0.327207,-0.18491903,0.8416617,0.8658361,0.8803477,0.80820996,0.7594488,0.73894334,0.8848697,0.8859134,0.6579393,0.8427687,0.92057335,0.936863,0.8974739,0.9366361,0.8825356,0.78032327,0.9301316,0.72998595,0.758772,0.8646996
