label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
2.0,0.2115745,-0.3316948,0.45298588,0.5768084,-0.37546042,0.9348052,-0.44142455,-0.46011037,-0.034199372,1.0699296,-0.29632017,0.6281284,-0.12950677,0.70855063,-0.07953903,-0.14017044,-0.3214953,-0.96017456,0.14231205,0.8778499,0.67827266,0.5975837,0.6126402,0.5680204,0.5479412,0.28652447,0.4132846,0.43160594,0.65676796,0.34919262,0.49238253,0.40346634,0.5600312,0.3602874,0.6455904,0.39741212,0.6007325,0.19950087,0.56549186,0.3228834
2.0,0.13156159,-0.41942775,0.26525122,0.5206823,-0.28435647,0.6487223,-0.6684895,-0.49610955,-0.2257863,0.47998837,-0.24989092,0.42771703,-0.44546223,0.53588897,-0.25147605,0.6817987,-0.33680582,-1.0097909,0.42229337,0.39223674,0.65283227,0.6344159,0.6063322,0.55784076,0.48807552,0.37810367,0.49760696,0.5550592,0.6900635,0.44176742,0.5981101,0.547451,0.6506617,0.36096478,0.6620954,0.5024439,0.54579556,0.2550944,0.71764916,0.40821412
2.0,0.20223446,-0.3515781,0.4270119,0.58514863,-0.37281835,0.91819537,-0.4792281,-0.47766668,-0.054451164,1.0085994,-0.2900867,0.61820793,-0.16963698,0.68968415,-0.1003211,-0.054545347,-0.3253736,-0.97967446,0.1731394,0.83404,0.67649907,0.592664,0.6138896,0.56133634,0.54429114,0.28987223,0.4165089,0.44322398,0.6626684,0.35225466,0.49957877,0.41416347,0.55879545,0.35946363,0.6467129,0.40046576,0.5989857,0.19854775,0.58432525,0.32742995
2.0,0.19006439,-0.3348631,0.44036645,0.542296,-0.3650547,0.87927985,-0.46886328,-0.45042998,-0.06540696,0.9783939,-0.2794922,0.5807929,-0.16213343,0.6848873,-0.11456007,-0.02863491,-0.31940797,-0.98222244,0.1932504,0.8191901,0.66017884,0.598741,0.6147809,0.58677083,0.53887874,0.30424947,0.43566313,0.44786534,0.6706434,0.3667935,0.49960044,0.42629302,0.56693894,0.35997212,0.65107685,0.41135755,0.58330506,0.21061638,0.5850115,0.338713
2.0,0.19262151,-0.30713734,0.4653052,0.5132952,-0.360158,0.87427455,-0.42476818,-0.4216897,-0.05052591,1.0134122,-0.2752833,0.5715325,-0.12154384,0.6892101,-0.10233221,-0.099893205,-0.31173778,-0.9572576,0.16704592,0.8463666,0.6591393,0.60692745,0.6195796,0.6077603,0.54482466,0.30999956,0.44316778,0.44385403,0.67285186,0.3722059,0.49745268,0.42582646,0.5726165,0.3659907,0.6547397,0.41507262,0.58484906,0.21905187,0.57276267,0.3414776
2.0,0.16876344,-0.37872943,0.39223325,0.55271125,-0.3587205,0.8314271,-0.5566416,-0.48091882,-0.119547665,0.8360728,-0.27084512,0.54903173,-0.25660557,0.65398425,-0.16086389,0.19522873,-0.3314362,-1.0280027,0.27676252,0.7128842,0.64698374,0.593292,0.60854197,0.57397175,0.52027035,0.31538147,0.4466396,0.4718675,0.67743146,0.3783707,0.51515424,0.4511211,0.5709385,0.3514559,0.65013534,0.4235189,0.56564546,0.21174937,0.6210768,0.35135117
2.0,0.18697503,-0.33613163,0.4371215,0.5373878,-0.3631671,0.86981213,-0.47356793,-0.44905758,-0.070618965,0.96278775,-0.2764372,0.57367396,-0.16867012,0.68043804,-0.11963607,-0.009036969,-0.31880444,-0.9847306,0.20105144,0.80799407,0.65786195,0.5995858,0.6152305,0.5890673,0.537448,0.30735305,0.43925694,0.4508885,0.6726091,0.36978546,0.501384,0.43012476,0.5685334,0.360032,0.65194327,0.4139559,0.5812222,0.21251398,0.5883672,0.3414797
2.0,0.21707551,-0.27767903,0.5094513,0.52694565,-0.37148324,0.93743294,-0.36449888,-0.41171503,-0.008036859,1.1467711,-0.2983382,0.61240554,-0.049226306,0.73011667,-0.05810541,-0.27424076,-0.3146611,-0.9251238,0.09952815,0.9429595,0.6695636,0.6071601,0.61590093,0.6061872,0.5541539,0.29231617,0.42387158,0.4198164,0.6584453,0.35556546,0.48293617,0.399331,0.5663551,0.36466822,0.6489295,0.40000376,0.59296423,0.21205942,0.5384938,0.3234332
2.0,0.1896308,-0.3139335,0.45735604,0.515417,-0.35956204,0.8676797,-0.43727806,-0.42633653,-0.057520885,0.99385715,-0.27350023,0.56782866,-0.13497198,0.6845505,-0.10869744,-0.07020171,-0.31252658,-0.96407914,0.17833234,0.8317761,0.65775347,0.6060437,0.619098,0.605223,0.5426276,0.31133863,0.4444599,0.44707254,0.6738943,0.37350357,0.49933994,0.42893696,0.5728111,0.3649978,0.6547535,0.41647083,0.58328795,0.21886371,0.57798755,0.34319514
2.0,0.15571429,-0.41014406,0.3597411,0.55812734,-0.3492909,0.7911862,-0.6204224,-0.50092685,-0.16285554,0.7277484,-0.26915962,0.52305293,-0.33014417,0.63168144,-0.19474581,0.37781435,-0.34370095,-1.0547367,0.34072956,0.62409043,0.6377877,0.59379554,0.6004194,0.5640146,0.50359446,0.32579747,0.45570526,0.4905224,0.679846,0.3897234,0.5309431,0.47165838,0.5799678,0.3445248,0.6482807,0.43677595,0.54885674,0.21497189,0.6465902,0.3618931
