label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
2.0,-0.277383,1.1340965,-0.58935755,0.20583251,0.72722715,-0.959101,0.48475406,-0.85006016,0.20184599,-0.46285042,1.1405966,0.23458242,-0.55392975,1.7013897,0.628017,1.3016484,-0.5451463,0.54055077,-0.14393285,-0.379292,0.7130795,0.33049285,0.49280453,0.3613636,0.5440149,0.8090846,1.0622952,0.5326276,0.49259475,0.47061497,0.3298358,0.7897141,0.7455001,0.35889125,0.933442,0.60831964,0.48050994,0.73967355,0.3559751,0.5176567
1.0,-0.27432838,1.1185832,-0.58056474,0.20336366,0.7134142,-0.94805163,0.47981018,-0.8369611,0.19799982,-0.4561407,1.1263196,0.23284554,-0.54528725,1.6795434,0.6193989,1.2848785,-0.539433,0.5337601,-0.14093992,-0.37485763,0.71744555,0.33597088,0.49672112,0.36622453,0.54921913,0.8098748,1.0614371,0.5370988,0.4965059,0.4747699,0.33480555,0.79194754,0.74917644,0.3644744,0.93528616,0.6130734,0.484997,0.74211174,0.36126077,0.5224512
1.0,-0.28426212,1.1690574,-0.60827583,0.21131927,0.757969,-0.98363626,0.4958248,-0.87889653,0.21025522,-0.4776116,1.1722667,0.2385498,-0.5726574,1.7498261,0.64707667,1.33854,-0.55742913,0.5554156,-0.15091884,-0.38908464,0.7038832,0.3186625,0.48439538,0.3506603,0.5326129,0.80730885,1.0642308,0.5227069,0.48411253,0.46156934,0.31911367,0.7846501,0.7370514,0.34681132,0.9293716,0.5978909,0.47038716,0.7343468,0.3445569,0.5067713
1.0,-0.26701328,1.082937,-0.56101567,0.19831654,0.6826731,-0.9217117,0.46782914,-0.8069096,0.1891295,-0.4405398,1.0928571,0.22803062,-0.525391,1.6282928,0.5994214,1.2459666,-0.5260052,0.5174911,-0.13417539,-0.36372232,0.727148,0.34870932,0.5057356,0.37778446,0.5612049,0.81229,1.0591284,0.5479862,0.50601476,0.48469123,0.3465849,0.79709923,0.75785446,0.37790105,0.9395307,0.6246258,0.4956098,0.74761295,0.3737131,0.53360003
6.0,-0.27867994,1.1434954,-0.59411585,0.20732477,0.73534477,-0.9654012,0.4873948,-0.8571904,0.2037522,-0.46641612,1.1486907,0.23568484,-0.5586389,1.7137215,0.63249266,1.3111069,-0.548221,0.5439838,-0.14578363,-0.38142103,0.71107477,0.3275355,0.4906784,0.35837895,0.5410251,0.80885905,1.0632231,0.52982855,0.49041387,0.4681081,0.32709238,0.7882903,0.7432233,0.35586038,0.93274105,0.60573804,0.47771025,0.7384812,0.3529667,0.51448697
3.0,-0.17034088,0.68023103,-0.33917713,0.1492379,0.36771265,-0.5865053,0.31504545,-0.46731046,0.09929635,-0.2554359,0.682227,0.14708202,-0.29210168,1.0133258,0.36908457,0.7753468,-0.35475078,0.31524375,-0.07346231,-0.21659327,0.83078486,0.520742,0.62128466,0.5434313,0.7070476,0.8548931,1.0178525,0.6900222,0.6428048,0.6298557,0.51636624,0.8565436,0.85250264,0.56106997,0.9752301,0.7755426,0.6273653,0.8103546,0.5501819,0.6672575
1.0,-0.2829662,1.161389,-0.60399485,0.20992172,0.7510034,-0.9785588,0.49366903,-0.8726916,0.20853074,-0.47450644,1.1655655,0.23786515,-0.56860816,1.7396252,0.6431115,1.3306003,-0.5548322,0.55246335,-0.14937365,-0.38733703,0.7058831,0.3212073,0.48623395,0.35297123,0.53511363,0.8074786,1.0637549,0.5247883,0.4858451,0.46351594,0.32138172,0.7857823,0.7388431,0.34927708,0.9301332,0.59996474,0.47256175,0.7354978,0.3470108,0.5092007
3.0,-0.15478905,0.6268148,-0.31116256,0.1433726,0.33199283,-0.5384507,0.29256493,-0.42495942,0.090315044,-0.23135857,0.62526214,0.13324468,-0.26320863,0.93059915,0.33891055,0.71246034,-0.33137658,0.2881213,-0.067940556,-0.1957128,0.8404798,0.5463194,0.6374566,0.57039803,0.72622275,0.86178035,1.0110632,0.7089227,0.66363347,0.65338016,0.54327416,0.8641424,0.8637059,0.5873738,0.9777246,0.79615355,0.6462736,0.8180569,0.57789457,0.6861013
2.0,-0.2816859,1.1542151,-0.59994674,0.20865518,0.74449235,-0.9737109,0.49156505,-0.8667898,0.20685214,-0.47153878,1.1591985,0.2372103,-0.56475055,1.7299142,0.63929415,1.3230771,-0.5523439,0.54958534,-0.14794561,-0.3855748,0.7078176,0.3236327,0.48797724,0.35514385,0.5374701,0.8076902,1.0633527,0.5267444,0.48750928,0.46535304,0.32354805,0.78682595,0.74051887,0.3516618,0.93090504,0.60197836,0.47459593,0.73658746,0.34934387,0.5114411
1.0,-0.277401,1.1388528,-0.59242743,0.20715722,0.7320567,-0.9615163,0.48531735,-0.8535336,0.2025602,-0.4643799,1.1441298,0.23458818,-0.556384,1.7066745,0.62975365,1.306266,-0.5466268,0.5415151,-0.14480743,-0.37928492,0.7119365,0.3289998,0.49161074,0.35986343,0.54239786,0.80961174,1.0629369,0.5314143,0.49174306,0.46933532,0.32853547,0.78894186,0.74457043,0.35771677,0.9334482,0.6075218,0.4792181,0.7390861,0.35443556,0.51596147
5.0,0.12577634,-0.50756407,0.4914709,0.037237033,-0.31837505,0.39690086,-0.08079411,0.34256065,-0.08700369,0.10553236,-0.4915672,-0.13959974,0.44201863,-0.84714377,-0.0483869,-0.5080856,0.259631,-0.23937984,-0.062630326,0.017373737,0.766125,0.88852626,1.0321224,1.4031518,1.0132246,0.9336436,0.7117654,0.9345184,1.1727792,1.5245844,1.1827086,0.9047852,1.0237037,0.83162063,0.7600205,1.0179813,1.0015703,0.8419954,1.2456753,0.9707005
6.0,-0.28562263,1.1730604,-0.61001116,0.21151862,0.7609591,-0.9870358,0.49771345,-0.8824098,0.21149617,-0.4795878,1.176357,0.23941141,-0.57480717,1.756193,0.6497508,1.3429527,-0.558934,0.5577756,-0.15177718,-0.39110196,0.70282954,0.31729335,0.48348367,0.34945768,0.53136736,0.80659115,1.0642426,0.5214465,0.48294255,0.46056473,0.3178092,0.7841167,0.7359131,0.34513837,0.9285533,0.59627974,0.46915495,0.7336594,0.34327093,0.5056507
4.0,0.1825704,-0.78088284,0.714566,0.065750495,-0.5435459,0.62698007,-0.14681946,0.5423917,-0.13941331,0.20358332,-0.7714884,-0.18974002,0.6786168,-1.2354835,-0.06715103,-0.8063532,0.41330186,-0.36059827,-0.09528705,0.063834995,0.7695291,0.99872047,1.1296395,1.7496338,1.125622,0.8866896,0.62286264,1.0098295,1.385287,1.9714799,1.4214365,0.89917296,1.0930688,0.87654793,0.6906326,1.0715014,1.1233151,0.8455778,1.5078228,1.0434839
