label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13
0.0,0.007118672,-0.012795633,0.001990974,0.0066426843,-0.0090261325,0.0025225729,-0.0080068465,-0.008125976,-0.008375195,-0.00584298,-0.01143194,0.017332261,-0.011988386,0.9926855,0.9978405,1.0055418,1.002705,0.9932588,0.9936867,0.9959636,0.9901185,0.99845266,1.0004497,0.99485403,0.99816394,0.993384
0.0,0.012825668,-0.027106212,0.010960206,0.015747085,-0.024183668,-0.002404146,-0.008629708,-0.018361442,-0.016270487,-0.008538895,-0.007517986,0.016722005,-0.002898911,0.99290824,1.0001593,1.0139935,1.0049119,0.9931597,0.9876997,0.9955342,0.99054897,0.99708045,1.0043257,0.99614125,1.003233,0.99571484
1.0,0.0050001517,-0.008779665,0.0021160394,0.006079741,-0.006467864,0.0028802976,-0.0061184987,-0.006661676,-0.0063323257,-0.005851972,-0.008884452,0.01518062,-0.012097175,0.99450296,0.9984159,1.004385,1.0016087,0.9927366,0.9941252,0.99691105,0.9913526,0.9969789,1.0001755,0.9950752,0.997986,0.99351233
1.0,0.012189396,-0.032311328,0.012381323,0.021302782,-0.028266802,0.010225236,-0.014204398,-0.020666435,-0.021530682,-0.008359685,-0.021521803,0.030286986,-0.019780656,0.9903223,0.9856898,1.009324,1.0113164,0.9976952,0.993082,0.99158704,0.9888032,1.0016118,1.0048051,1.0000179,1.0010195,0.9983257
0.0,0.010076806,-0.02201329,0.0054647177,0.010774851,-0.016783841,0.0031100065,-0.010422327,-0.013148077,-0.013995535,-0.0059090685,-0.015252281,0.02216522,-0.0150396805,0.99159676,0.9952227,1.0076907,1.005528,0.9945257,0.9932803,0.9945051,0.98814803,1.0002916,1.0013952,0.9951334,0.9996873,0.99455506
0.0,0.015551157,-0.036668733,0.014664516,0.021958262,-0.032857284,0.0021790788,-0.011927241,-0.024042651,-0.023046125,-0.009552495,-0.012723882,0.023807954,-0.0077191507,0.9909953,0.99330455,1.014174,1.0088364,0.995725,0.9874716,0.9934464,0.9896965,0.9991787,1.0059942,0.99807876,1.0042579,0.9973134
1.0,0.0111023635,-0.026798269,0.012027264,0.026464492,-0.026734896,0.02201078,-0.018768119,-0.019485116,-0.021399472,-0.011986622,-0.030370936,0.03617628,-0.026163377,0.9882562,0.97543037,1.006321,1.0157495,1.0000267,0.9965152,0.98907113,0.990934,1.0029259,1.0066979,1.0062929,0.9971946,1.000676
1.0,-0.0048484653,0.012579774,-0.0038590282,0.00041598827,0.009443611,0.008498866,-0.00045487657,0.003636375,0.0049134754,-0.0059965746,-0.0035983697,0.009488343,-0.013195786,0.99748105,0.99631697,0.9953069,0.99778265,0.99194604,0.9969718,0.99870783,0.9976726,0.99259835,0.99887174,0.99752116,0.9939569,0.99301296
0.0,0.0047832653,-0.009313354,0.0012486875,0.0053583533,-0.006127946,0.003914647,-0.0069662444,-0.006253697,-0.006935711,-0.005139311,-0.0115139745,0.01758289,-0.01612512,0.9939122,0.9966528,1.0028946,1.0022359,0.9933516,0.9954404,0.996359,0.9902968,0.99839133,0.9996194,0.9946279,0.9974407,0.993639
0.0,0.010927752,-0.025377328,0.008168042,0.013295367,-0.020588137,0.002247125,-0.01020002,-0.015713088,-0.015886134,-0.0064958874,-0.014049098,0.02218495,-0.013717474,0.99212855,0.9952064,1.0093743,1.0060344,0.9945875,0.99213237,0.9945118,0.9884156,0.99983144,1.0023823,0.9955066,1.0010343,0.99552655
1.0,-0.005301282,0.014682376,-0.0023231134,0.0023454726,0.009563029,0.008022677,0.00091576576,0.0034702197,0.007058613,-0.0070575876,0.0006798953,0.005187027,-0.005399812,0.9984431,0.99891406,0.9981984,0.99734676,0.99100274,0.99475753,0.9993032,1.0005723,0.98950493,1.0000558,0.9997419,0.9943954,0.99314046
1.0,0.014411062,-0.032085434,0.0110183135,0.017675996,-0.027599685,0.0009705797,-0.011708047,-0.020401366,-0.019625774,-0.00859812,-0.013478465,0.022693846,-0.0078864,0.9905734,0.99530655,1.0130619,1.0074472,0.9949386,0.98891354,0.99374926,0.9889758,0.99961203,1.0046538,0.9967982,1.0026459,0.9960288
0.0,0.0071700364,-0.015584337,0.0028975084,0.007492386,-0.010908961,0.0041162074,-0.00893463,-0.00933063,-0.010614712,-0.004991593,-0.014565345,0.020846074,-0.017932191,0.9927272,0.9953477,1.0045035,1.0041347,0.9942046,0.99514586,0.9952951,0.98860395,0.9999294,1.0000122,0.9945497,0.99833775,0.9940056
0.0,0.0047324374,-0.009357018,0.0025873259,0.006370336,-0.0071137995,0.002676256,-0.006142944,-0.006860338,-0.0067206286,-0.005698735,-0.009286828,0.015957195,-0.013669167,0.99462837,0.9977323,1.0040973,1.001834,0.9929146,0.9946202,0.99685204,0.9911073,0.99739295,1.0002432,0.9949235,0.99802613,0.99431455
1.0,0.009953052,-0.021912934,0.0035533682,0.010348283,-0.015886396,0.006588746,-0.012737606,-0.012101248,-0.014606672,-0.005341216,-0.020796292,0.026455946,-0.020631261,0.98965365,0.99149305,1.0056413,1.0073841,0.9958501,0.9953396,0.9930799,0.98714554,1.0023983,1.0008941,0.99584156,0.99812037,0.9948577
1.0,0.009575568,-0.0215421,0.00492613,0.010401078,-0.016066745,0.0042817816,-0.010809559,-0.012588568,-0.013984199,-0.0055051064,-0.016825356,0.023459895,-0.017659256,0.99140686,0.9939923,1.0066283,1.0059664,0.9949347,0.99424165,0.99420637,0.98777205,1.0009058,1.0010126,0.9951732,0.9992241,0.99467045
0.0,0.003756903,-0.0072932,0.0009197891,0.0048329383,-0.0046756417,0.004307471,-0.0062377825,-0.005370602,-0.005968554,-0.0050876206,-0.010771655,0.016922368,-0.016689403,0.99453545,0.9966528,1.0020094,1.0017937,0.9932381,0.99582356,0.99670815,0.99075735,0.9979304,0.9994012,0.99467117,0.9971939,0.99361914
0.0,-0.0021463558,0.0074552633,-0.0017975047,0.002344057,0.005334705,0.006381467,-0.0016270727,0.00090210885,0.002672512,-0.0062620584,-0.0034853816,0.009292355,-0.009993248,0.9970621,0.9982107,0.9989766,0.9984778,0.99168164,0.99545735,0.9985005,0.9967093,0.99285835,0.99953514,0.99734604,0.9951663,0.99305516
1.0,0.004722275,-0.0077471677,0.00082109123,0.005217351,-0.00529667,0.0026530921,-0.0065933615,-0.005555883,-0.005345285,-0.0058869896,-0.0096104145,0.01536434,-0.011579036,0.9935399,0.99806285,1.0039353,1.001547,0.99283504,0.9943314,0.9965668,0.9915438,0.99739647,1.0002642,0.99518496,0.99728376,0.9936789
1.0,0.0059473515,-0.010335045,0.0021054447,0.0063381344,-0.007478386,0.0025798455,-0.0068264604,-0.0072750524,-0.0070576416,-0.005935562,-0.009615906,0.015692446,-0.011365714,0.99379134,0.99848473,1.0050933,1.001961,0.99285096,0.9937215,0.9965697,0.9909759,0.9974073,1.0003335,0.99504155,0.9981181,0.99334455
0.0,0.0116190985,-0.030723216,0.019355804,0.03629811,-0.03413585,0.026214413,-0.018285563,-0.025550522,-0.025419034,-0.016416978,-0.026210852,0.036171023,-0.022611964,0.9903356,0.97011817,1.0073845,1.0171046,1.0012378,0.99458015,0.98986894,0.9950587,1.000977,1.0105308,1.010736,0.9994145,1.003804
