label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10
1.0,0.07726973,-0.3364152,0.29678458,0.70898706,0.38762817,-0.48377034,0.54332036,-0.02131427,0.21103653,0.020066507,0.64123905,0.5338241,0.6225163,0.58918524,0.71039313,0.43211553,0.6755434,0.7151541,0.73166436,0.77687573
2.0,0.07789774,-0.34619558,0.30506855,0.7238583,0.39399567,-0.4920614,0.5552873,-0.023967698,0.21367815,0.0223623,0.6339196,0.5265156,0.61492544,0.58127934,0.70678085,0.4220578,0.6681156,0.712286,0.72588813,0.77311826
4.0,0.077420846,-0.3324947,0.29359996,0.70298606,0.38498843,-0.4800399,0.53828907,-0.020398147,0.21014728,0.019634672,0.6443455,0.5366527,0.6256725,0.5921106,0.7120558,0.43604264,0.6784803,0.71640074,0.7338525,0.77824646
3.0,0.07704309,-0.3405467,0.30006552,0.7152956,0.3904069,-0.4876661,0.54839617,-0.022223033,0.21191967,0.020448767,0.63802075,0.5310733,0.61935925,0.5861882,0.7086591,0.42805362,0.672625,0.7139321,0.7295046,0.77546495
1.0,0.07690106,-0.33186594,0.29312283,0.7025032,0.3847278,-0.48019493,0.5380794,-0.020208657,0.20966291,0.01899489,0.6444733,0.53699857,0.6259497,0.5929277,0.7120228,0.43663093,0.6789431,0.7164509,0.73433304,0.7785465
4.0,0.07790175,-0.3641676,0.32004815,0.75187755,0.40600008,-0.50846434,0.5778499,-0.028668612,0.21797214,0.025549434,0.62008965,0.5134663,0.60098153,0.567779,0.6995735,0.40426612,0.65485775,0.70683485,0.71575415,0.7665264
4.0,0.07754946,-0.3570977,0.31410003,0.74101585,0.4013612,-0.5024307,0.56921804,-0.026726969,0.21605095,0.0238313,0.625332,0.5186599,0.6063791,0.57330275,0.7022392,0.41124645,0.6601325,0.7089312,0.7198973,0.7692155
1.0,0.07730541,-0.33932653,0.2990535,0.7132257,0.3895183,-0.48618972,0.5465538,-0.02194462,0.21178132,0.020544752,0.6391459,0.5320237,0.6204512,0.58695567,0.7093007,0.42928338,0.6735599,0.7143947,0.7301462,0.77585906
1.0,0.077861965,-0.32910192,0.29068667,0.6972767,0.38259414,-0.47621083,0.53331566,-0.019524276,0.2096591,0.01957333,0.64738363,0.5394133,0.6286718,0.5944596,0.71367604,0.43965387,0.6811365,0.7176223,0.73573047,0.7794607
4.0,0.07772958,-0.35902473,0.31567377,0.7438227,0.40259045,-0.5039136,0.5714161,-0.027230449,0.21665733,0.02438692,0.62398976,0.51730806,0.6049599,0.57173723,0.7015605,0.40938577,0.6587069,0.70838565,0.7187498,0.7684837
