label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
2.0,0.049608,-0.037485167,0.11397046,0.060685296,-0.005779433,0.03232583,0.048460178,0.0029447488,0.031469345,0.036342874,0.12546207,-0.040526673,0.019852849,0.01040303,0.119198225,-0.051034715,0.020260192,-0.0090883635,0.10651036,-0.0073587894,0.8958474,0.84305316,0.82589763,0.046536993,0.84371626,0.8543001,0.83826846,0.8510492,0.8131286,0.85969746,0.8490327,0.8520936,0.8386768,0.83569145,0.7770764,0.8039664,0.87197816,0.8621096,0.84967184,0.8694105
1.0,0.055618286,-0.03537524,0.11038102,0.13816959,-0.00014335709,0.024794854,0.046898637,0.006039057,0.024994828,0.041914802,0.12381758,-0.05901634,0.01687232,-0.0024259016,0.1207973,-0.051785316,0.025399156,-0.008938786,0.108553685,-0.00048185885,0.8982378,0.83788204,0.82250553,0.044701975,0.8477559,0.8540155,0.83367705,0.85214275,0.817274,0.85745746,0.84923744,0.853841,0.84023017,0.83593583,0.77674323,0.8002845,0.8737862,0.8621898,0.8459017,0.8694064
2.0,0.028353374,-0.038099468,0.12096475,0.5040493,-0.009659291,-0.0009060092,0.020594511,-0.026602898,0.0714114,0.06665047,0.102693714,-0.15056974,-0.023444377,0.042625733,0.07811993,0.0016411096,-0.005514808,0.017949644,0.089458115,0.020344343,0.90426177,0.81214136,0.785293,0.054865927,0.86988044,0.8693234,0.8611648,0.8483091,0.7778419,0.8445821,0.8660747,0.8336449,0.8129307,0.83971655,0.76625,0.78854436,0.87482244,0.83822864,0.83701783,0.8555227
1.0,0.036330875,-0.04042334,0.119522795,0.5251235,-0.0068042846,-0.0016499758,0.022231236,-0.022349168,0.062036313,0.06755696,0.102614105,-0.15595718,-0.021054085,0.02878236,0.084990144,-0.007144477,0.0021876767,0.016011287,0.09128719,0.020479243,0.9036309,0.8084847,0.7843328,0.05317896,0.869152,0.8665974,0.8560182,0.84693444,0.7801429,0.84162974,0.86285585,0.83326644,0.8151507,0.8374426,0.7656873,0.7845558,0.87354845,0.84069484,0.8341493,0.8540933
1.0,0.04079712,-0.06942802,0.063537806,-1.3672544,0.016317567,0.16304691,0.1107315,-0.048184313,-0.13514847,-0.103118315,0.11574396,0.30422446,0.15202183,0.011920735,0.16364563,-0.16923262,0.10015876,-0.078348756,0.04695312,-0.08745396,0.8823158,0.9198078,0.97561246,0.047789603,0.8339935,0.87887406,0.83882475,0.8745895,0.8610861,0.9091888,0.8782391,0.8434316,0.8931238,0.8564789,0.87302387,0.82822925,0.84510213,0.92957556,0.89168906,0.903755
1.0,0.041333895,-0.045227177,0.069875404,-0.92602956,0.012763308,0.111180246,0.08833365,-0.035210438,-0.05669105,-0.05859611,0.11708954,0.18897659,0.110567614,0.03008265,0.12162382,-0.10829614,0.055725314,-0.056659248,0.067054205,-0.050678626,0.88899446,0.91347206,0.93211913,0.04491666,0.84120965,0.8780003,0.8386717,0.87323695,0.8479516,0.90100163,0.8795405,0.85596216,0.8770854,0.8538181,0.849381,0.8290365,0.866931,0.90141016,0.8916641,0.9015621
2.0,0.05724895,-0.07928432,0.07629825,1.2748537,0.012761148,-0.03656644,-0.021409191,-0.03120058,0.041985035,0.11204168,0.028805325,-0.38119635,-0.062145937,-0.034772404,0.047918446,-0.00039896742,0.029502906,0.05987436,0.03200399,0.073758245,0.8869632,0.74057287,0.72659206,0.06312673,0.91004616,0.87385154,0.86230165,0.81698734,0.72981703,0.7998228,0.8570577,0.7743459,0.78319997,0.82503384,0.75759596,0.7099942,0.83951634,0.8199201,0.79746723,0.8397182
2.0,0.02426136,-0.027614964,0.121248156,0.048598863,-0.01428082,0.027615393,0.04237687,-0.019043561,0.061242163,0.033768453,0.1228896,-0.03693138,0.012611676,0.053343143,0.08770862,-0.017162837,-0.0025332645,-0.0019371472,0.100959785,0.0014670715,0.8993519,0.8531134,0.8278922,0.051810887,0.8548044,0.8685194,0.8538676,0.8573302,0.806519,0.8678234,0.8653368,0.853718,0.8308838,0.84811604,0.7818137,0.814994,0.8761923,0.84830916,0.85645443,0.8732054
1.0,0.04831111,-0.059605174,0.104822844,0.88831323,-0.0017121141,-0.019352887,0.0034232587,-0.026950955,0.049797848,0.09153929,0.07238543,-0.26245713,-0.043388806,-0.000761956,0.07583727,-0.008300006,0.016903557,0.03521349,0.06709554,0.04136961,0.89876086,0.77281415,0.7546549,0.05797932,0.8854411,0.8676099,0.8597795,0.8338981,0.75492215,0.8187956,0.8616433,0.80590093,0.8019387,0.83275986,0.761281,0.7513201,0.8611647,0.8311804,0.81679964,0.8439412
1.0,0.036019847,-0.07821978,0.06728217,-1.544449,0.017386243,0.18712556,0.118742,-0.050408967,-0.17173913,-0.12107505,0.12095703,0.35788924,0.17008306,0.003566727,0.18614176,-0.1917145,0.12017312,-0.08583942,0.04676903,-0.104087725,0.8797251,0.92098314,0.9971933,0.04965186,0.8329485,0.8790881,0.8377871,0.87478596,0.87177557,0.9120862,0.87283653,0.8405319,0.8970829,0.8566061,0.8794469,0.82767147,0.8307433,0.9422466,0.88853556,0.9047326
