label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
6.0,0.002868699,0.00076905265,-0.0006353259,-0.0004483238,-0.0038064085,0.002039589,0.0030197501,-0.0018102191,-0.0036779009,0.00474526,0.0026687714,-0.0014096983,-0.0005564969,0.003020376,-0.0026729247,-0.0013408838,0.0013753208,0.0037470534,-0.0025174813,-0.0014740387,0.99881566,0.9992159,1.0043203,0.99982977,0.9962282,0.9999064,0.9936454,0.99980116,0.9985982,0.9972716,1.0009046,0.9976631,0.99776715,0.9969958,0.9994262,0.99897563,0.99618584,0.9963762,0.9962089,0.99969864
5.0,-0.0019687004,0.0038260072,0.0018749647,0.0010796823,-0.0030831583,-0.00088045746,0.0029373467,-0.0013825446,-0.0030723196,0.0028972328,0.004871042,0.0004443396,-0.0024563354,0.0015430376,-0.0014573634,-7.656962e-05,4.975358e-05,5.4359436e-05,0.001592272,-0.002652736,0.99916667,0.99955493,1.0017864,0.99968386,0.99629927,1.0001266,0.9940988,0.9985536,0.9991018,0.9971454,1.0011364,0.9976089,0.9993092,0.9989366,0.9994907,1.0000005,0.9975812,0.9960193,0.99844193,1.0000153
5.0,-0.0041038487,0.005018469,0.002866,0.0016969517,-0.0026854724,-0.00202322,0.002847312,-0.0012482814,-0.0026365854,0.001975648,0.0056228153,0.0013587596,-0.0032303855,0.00084050745,-0.00082671177,0.000471625,-0.000395942,-0.0016499683,0.0031898366,-0.002857016,0.99942094,0.9996605,1.0005044,0.9996947,0.99631137,1.0002027,0.9944597,0.9980389,0.99925625,0.99713564,1.0010421,0.997718,1.0001669,0.9997653,0.9994475,1.0005022,0.99833965,0.99592674,0.9995479,1.00002
3.0,0.0034980867,-0.00079029426,-0.0012720972,3.565848e-05,-0.0017880239,0.0017331988,0.003428908,-0.0026535578,-0.005024979,0.0062649176,-0.00085720886,-0.00058993883,0.0012033023,0.0031035952,-0.002441748,-0.0014593266,0.0012665838,0.0028412715,-0.0036059823,0.0014866865,0.9997566,0.99948734,1.0033149,0.9991217,0.9965447,0.998791,0.9960879,0.998639,0.9977632,0.99809545,1.0022023,0.996712,0.9988665,0.9957441,0.9989392,0.9993998,0.9962714,0.9942355,0.99471444,0.99724793
4.0,0.010432886,-0.0054325834,-0.004996754,-0.0028406307,-0.0033829175,0.0075082257,0.0032470413,-0.0032308996,-0.0038625337,0.007684268,-0.0031662127,-0.0030953102,0.0034224615,0.0051336735,-0.0038292743,-0.0032921056,0.0041939155,0.008587889,-0.010099348,0.0032620244,0.99928856,0.998738,1.0064094,0.99984086,0.9964476,0.99864936,0.9951468,1.0013571,0.9968231,0.99824435,1.00031,0.99811727,0.9969625,0.99323076,0.9989628,0.9981305,0.9947265,0.99615645,0.99298614,0.9973247
8.0,0.002934659,0.00093737245,-0.0006115101,-0.00057400763,-0.004179403,0.0022389814,0.002979258,-0.0017093979,-0.003453618,0.004557185,0.0031789443,-0.0015936866,-0.0007668305,0.0030490495,-0.0027211932,-0.0013548909,0.0014227354,0.0040302873,-0.0024642693,-0.0019216607,0.99866873,0.9991823,1.0045525,0.9999529,0.9961749,1.0000789,0.9932553,1.0000374,0.99870557,0.997164,1.0006982,0.9978273,0.9975528,0.99712414,0.99952704,0.9988877,0.9961216,0.99673444,0.9964092,1.0001063
7.0,-0.00014825165,0.0025806427,0.0008132234,0.00072450936,-0.0031419806,0.00023308396,0.003086809,-0.0016995966,-0.003594447,0.004179634,0.0035542282,1.575239e-05,-0.0013980661,0.0020323433,-0.0018013935,-0.00042683491,0.00029493542,0.001267679,0.00024901424,-0.0019040047,0.9992658,0.99949867,1.0025233,0.99964815,0.9964868,0.99985194,0.9941983,0.998649,0.9987448,0.9972978,1.0015022,0.99731064,0.99894315,0.9978281,0.9995188,0.99960643,0.99700105,0.9953423,0.9972327,0.99952203
4.0,-0.0012591798,0.0036528595,0.001628127,0.0008017123,-0.0035776831,-0.00041367114,0.0028616022,-0.0013126954,-0.0029309206,0.0029289573,0.0051755337,-8.835457e-05,-0.0025107432,0.0017728359,-0.0016862894,-0.0003099516,0.00033921283,0.0008138418,0.0011248151,-0.0030134688,0.9988591,0.9994481,1.002294,0.99964625,0.99626213,1.0002623,0.993658,0.9989632,0.99917203,0.9970215,1.0009005,0.9977539,0.9987542,0.99886864,0.9995305,0.9997462,0.99733305,0.9964887,0.9982923,1.0004244
4.0,-0.0056600254,0.0068775713,0.0041288286,0.002128981,-0.0037482902,-0.0018763542,0.0025426075,-0.00094781816,-0.0009882078,0.00028067082,0.008324524,0.001346251,-0.0049595125,6.372854e-05,-8.327048e-05,0.00071099726,-0.00044117216,-0.0021952912,0.0047666943,-0.004648998,0.99885756,0.99965054,0.9996954,0.99947256,0.996005,1.0007693,0.99385697,0.99861443,1.0000246,0.9968917,1.0001245,0.99864554,0.9998907,1.0012072,0.9996947,1.0007147,0.9989743,0.997599,1.0015093,1.0017121
6.0,0.0073944964,-0.0027247332,-0.0032160021,-0.001996383,-0.0038898028,0.005039677,0.0029796641,-0.0024433546,-0.0038348176,0.0063530877,-0.0003458839,-0.0027025715,0.0015091337,0.004342597,-0.0035602413,-0.0025769253,0.0030911928,0.006784305,-0.0069785207,0.0008408772,0.99881184,0.99880147,1.0059335,0.9999051,0.996277,0.9993905,0.99398685,1.0008917,0.99777204,0.99760866,1.0003331,0.99793065,0.9969175,0.99497736,0.99911827,0.99826604,0.99527645,0.9966054,0.99428374,0.99862015
