label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
6.0,-0.53963065,1.1744816,-0.06870205,1.5381438,1.572085,-0.8115364,0.8620055,-0.55682486,1.0995325,-1.5761276,1.1569843,-1.4951738,-0.7503865,0.36506367,0.022708904,0.7386202,-0.70193624,0.38158697,-0.16337296,0.30304405,0.14910747,0.10035503,0.531626,0.047264457,0.03581746,0.4258364,0.07665793,0.06985119,0.20332994,0.041344855,0.17315106,0.07010118,0.1228169,0.02064242,0.48679382,0.34336942,0.48711997,0.31085736,0.5555867,0.46659586
5.0,-0.382351,-0.17276275,-0.29005185,-0.072621666,-0.14160597,-0.18261488,0.32946923,0.38543406,0.19029409,0.12114394,0.056656584,0.092156425,-0.10262285,0.28546447,-0.11227574,0.6785069,0.075330615,0.43671113,-0.16851531,0.40098464,0.18034938,0.15762873,0.66577387,0.062870845,0.043522656,0.498992,0.11642171,0.07919498,0.21445677,0.048729576,0.29454574,0.11924703,0.19359449,0.022265257,0.49280068,0.43093643,0.5906139,0.39404878,0.65705234,0.44640222
5.0,-0.06918017,0.085304044,-0.15199,0.48882273,0.21629709,-0.42548838,0.16306096,0.69455355,0.39192837,-0.40392405,0.44909394,-0.5126584,-0.04482905,-0.41037884,-0.28974578,0.70037174,-0.30846834,0.18811941,-0.16448368,0.4624883,0.16247694,0.14647375,0.62217385,0.08060628,0.059722375,0.58382094,0.12214531,0.08338504,0.2453741,0.069136746,0.2890475,0.15920195,0.19521686,0.027618224,0.5173511,0.4230531,0.5990189,0.3730451,0.59918433,0.48840353
3.0,-0.7989515,0.21591377,-0.17140126,0.06759602,0.36083692,-0.19754131,0.79001236,-0.4482971,0.4330408,-0.11500177,0.27167112,-0.031535007,-0.5747761,1.1340426,0.19981986,0.43727672,0.11482912,0.6798078,-0.026002638,0.3170309,0.17585543,0.12028752,0.59271485,0.043802664,0.027032636,0.43136773,0.089793004,0.06764366,0.18964158,0.026792426,0.22669028,0.06396414,0.14477782,0.019794883,0.4943965,0.37910682,0.5144807,0.32463136,0.64785486,0.43222117
4.0,-0.016568825,0.15936877,-0.14809115,0.6117733,0.30396456,-0.4654059,0.14579004,0.71183157,0.44307375,-0.5101249,0.51717687,-0.6153176,-0.029310897,-0.4997547,-0.3207624,0.74122727,-0.3785009,0.13766119,-0.19704035,0.47406727,0.16031733,0.1449719,0.63097435,0.0833169,0.06335441,0.593083,0.124747746,0.08580076,0.25237525,0.07342435,0.28677148,0.16596438,0.20020711,0.028463772,0.51084226,0.41766435,0.6066093,0.37740824,0.59427524,0.49713257
8.0,-0.55540395,0.200268,-0.15728825,0.2626404,0.39778703,-0.31746954,0.55431306,-0.08128923,0.44378006,-0.2894878,0.35779747,-0.3284271,-0.39731076,0.5751596,0.076355934,0.51184916,-0.052233193,0.54805267,-0.02603598,0.2913161,0.1753188,0.12601198,0.5762278,0.05370811,0.035153266,0.48065358,0.10095823,0.07076507,0.19858366,0.038245108,0.24797805,0.08613036,0.15098661,0.02160104,0.52024823,0.389703,0.53365105,0.33035526,0.63942826,0.4459379
7.0,-0.9290281,0.066544145,-0.16109622,-0.2480622,0.20711319,-0.078256354,0.81275976,-0.6518836,0.35728896,0.1581584,0.08160162,0.2118395,-0.63175327,1.5238845,0.3282359,0.30045816,0.30778956,0.83074987,0.051917642,0.21519247,0.18242875,0.11633322,0.59995884,0.04252112,0.02527623,0.46568456,0.09825087,0.06499396,0.17904723,0.022748772,0.24728835,0.0586293,0.14426805,0.02092545,0.50639075,0.35683784,0.50095403,0.31028742,0.6529011,0.43211985
4.0,-0.51885504,0.7346036,-0.15440422,0.9714225,1.0441842,-0.53435075,0.7209269,-0.25510055,0.7355614,-0.9645705,0.79622656,-0.8910351,-0.49924418,0.37837055,0.034837753,0.68537724,-0.38552055,0.3952252,-0.12977333,0.34940892,0.16908607,0.11604349,0.55991864,0.0468753,0.03228893,0.39462146,0.08151788,0.07474755,0.2039765,0.039086636,0.19096325,0.07193647,0.13565522,0.018422313,0.49243322,0.39554608,0.539454,0.3359335,0.66631985,0.44833368
4.0,-0.13778341,-0.025555335,-0.20670313,0.29441848,0.0695114,-0.32915184,0.19858247,0.6618097,0.28711885,-0.19385387,0.31351057,-0.28128314,-0.018823449,-0.25931138,-0.25020492,0.7039781,-0.17648286,0.24213445,-0.17492263,0.47877568,0.16880178,0.15165256,0.64018065,0.07529364,0.054472897,0.5448349,0.11984645,0.08386922,0.23709555,0.06348781,0.29301026,0.14959277,0.19789658,0.025447961,0.51188517,0.43627426,0.6060068,0.38654712,0.6322241,0.4736866
6.0,-1.0941575,1.2381493,-0.19756553,1.2735649,1.6631647,-0.6538954,1.3750454,-1.3466656,1.0422285,-1.2808484,0.9281492,-1.2022587,-1.1075568,1.4943558,0.30712807,0.7818878,-0.45612925,0.80742234,-0.24505822,0.25974274,0.1529088,0.09314059,0.57322764,0.032153785,0.023508923,0.32870433,0.06697076,0.05916504,0.15187974,0.025739118,0.16975214,0.043102108,0.10266754,0.015769113,0.4943229,0.31215358,0.41465762,0.3302927,0.60681945,0.4163295
