label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12
1.0,-0.009872027,0.004376497,0.015316036,0.0018871203,-0.00302938,-0.013036586,-0.007020753,-0.00564339,-0.0088013895,-0.006834585,0.008110262,-0.004160244,0.9969108,0.9987152,0.9946035,0.9958373,0.9922417,0.9913811,0.9882851,0.9982448,1.0009332,0.99614894,0.99707234,0.9948661
1.0,0.024012908,0.0044513606,0.007792484,-0.0011491477,0.0049085543,-0.007075835,0.00373362,-0.002316296,-0.009018446,0.0052070636,-0.008498646,-0.0013389029,0.9960482,0.9979947,0.9836723,0.99062586,1.0004051,1.0082524,0.97546154,1.0086997,1.0012645,1.006889,0.9967041,1.0100386
1.0,0.043695815,0.0053706765,-0.010063961,0.01591745,0.025048543,0.020520419,0.015219025,0.010789132,0.014221875,0.011901611,-0.04289484,0.0076019615,0.99877846,0.9918494,0.99923337,0.99922353,1.011006,0.98457515,0.9894108,0.9764112,0.97745776,1.0098393,0.9672466,0.99985015
1.0,0.0019873306,0.0056754835,0.014922481,0.0012173876,0.0010628477,-0.012381546,-0.004437182,-0.006041251,-0.009100471,-0.002934467,0.003180869,-0.0015633106,0.9970882,0.99807936,0.989816,0.99308026,0.9942744,0.9988426,0.9845794,1.0027066,1.0032666,1.0001109,0.99927604,1.0002756
1.0,0.026559085,0.0025017597,-0.004950404,0.013524443,0.015081249,0.010896556,0.012596309,0.0073801763,0.008662846,0.0060156174,-0.027118757,0.0010217875,0.9956914,0.99466944,0.99781775,1.0005924,1.0050474,0.98317486,0.98812085,0.9833994,0.98249143,1.0038387,0.97283614,0.9982964
1.0,-0.0063246563,0.0051379725,0.016277302,0.0020600483,-0.00072747096,-0.013207521,-0.0073455423,-0.00693395,-0.00908269,-0.005669512,0.007064268,-0.0023097545,0.99725556,0.9977861,0.9927146,0.9946254,0.9924159,0.9939897,0.9877615,0.9999937,1.0023357,0.9981043,0.99870306,0.996474
1.0,0.021080367,0.002310805,-0.0029837638,0.011889964,0.01198883,0.007905148,0.009880953,0.0055188276,0.0062246714,0.0038939137,-0.022262715,-0.00012169406,0.9957896,0.99483466,0.998072,0.9999387,1.0028961,0.9836293,0.9881671,0.9851471,0.9842824,1.0031477,0.9753478,0.9974263
1.0,-0.00066411495,0.0057278574,0.015395466,0.0013071299,0.00018329546,-0.01297481,-0.005170718,-0.006094843,-0.009182018,-0.0038474612,0.0044647083,-0.0019748136,0.9970733,0.9983219,0.9906947,0.9934925,0.9937394,0.9975177,0.98541975,1.0019286,1.0031701,0.9990717,0.9993019,0.99926066
1.0,-0.008798875,0.0046819225,0.016189154,0.002456382,-0.0013077743,-0.013055015,-0.008117307,-0.007046137,-0.008736306,-0.0063882433,0.00792712,-0.0027349591,0.99713033,0.9975952,0.9938958,0.9954048,0.9919412,0.9917173,0.9887314,0.9988591,1.0013297,0.9975865,0.99781144,0.9953263
1.0,-0.008339006,0.0047624223,0.01631971,0.0024995357,-0.0009618923,-0.013009924,-0.008181937,-0.0072377212,-0.008817739,-0.006251,0.00779666,-0.0024453364,0.997223,0.99741364,0.9936497,0.9952321,0.9919519,0.9920967,0.9887109,0.9990686,1.0015348,0.99791944,0.99802613,0.99546236
1.0,-0.010249592,0.0040601976,0.015364338,0.002794899,-0.0019059032,-0.012420617,-0.008087184,-0.0065989196,-0.0081607085,-0.006749835,0.007969886,-0.0034287423,0.99688107,0.9975684,0.99506134,0.99626094,0.99185675,0.9895816,0.98926663,0.9976526,0.999918,0.9971219,0.99631685,0.9944805
1.0,0.010989502,0.0015932173,0.0010946915,0.009748697,0.006928928,0.0023396686,0.005642023,0.0026949197,0.0024455767,0.0007393528,-0.013309844,-0.0023852922,0.9952688,0.9958508,0.99768853,1.0000384,0.99957985,0.98327726,0.988321,0.9885354,0.98740953,1.0007874,0.97958744,0.9963234
1.0,-0.0043557845,0.0055317096,0.015799534,0.0014092177,-0.0010272935,-0.013431925,-0.006087683,-0.0061013587,-0.009388136,-0.0051091183,0.0061589107,-0.0026376396,0.99716365,0.99852437,0.9919971,0.99410367,0.9930603,0.99579346,0.9865965,1.0007435,1.0028958,0.99785084,0.99908906,0.99755675
1.0,-0.00834972,0.004893832,0.015950184,0.0018569902,-0.0020654164,-0.0134049095,-0.0072409436,-0.006281361,-0.009016857,-0.006340366,0.0077958703,-0.0033270381,0.9970541,0.9984194,0.9936659,0.9951832,0.9922803,0.992777,0.9879991,0.9991898,1.0017823,0.99688274,0.9981013,0.9957147
1.0,-0.010516923,0.0033275671,0.013228949,0.0006897375,-0.0065088384,-0.012649,-0.0035694279,-0.001967527,-0.008716149,-0.0072175413,0.0079120025,-0.007341355,0.99627054,1.0015315,0.9951971,0.9968726,0.9934123,0.99142927,0.98643124,0.9976534,1.0003686,0.99311197,0.9954483,0.9945754
1.0,-0.00861156,0.004721403,0.016252588,0.0024821013,-0.0011633337,-0.01304448,-0.008157991,-0.007129237,-0.008774597,-0.006328035,0.007878028,-0.002607543,0.9971646,0.99752104,0.99379194,0.99534017,0.9919428,0.9918524,0.9887315,0.9989466,1.0014114,0.997722,0.9979054,0.995393
1.0,0.009979688,0.0011863448,0.0014740862,0.00878372,0.0052999146,0.0019620433,0.0064017214,0.0032099914,0.0018526968,-1.4591962e-05,-0.011930957,-0.003307581,0.99527526,0.9968589,0.99735445,0.99993,0.9993595,0.9843821,0.9874053,0.98909813,0.98855287,1.0000248,0.9802656,0.9960529
1.0,-0.009838443,0.0032070838,0.013400599,0.0032440424,-0.0022373497,-0.010789171,-0.006698493,-0.0052882805,-0.007125642,-0.006560458,0.00652916,-0.004291497,0.9965439,0.9976494,0.99617136,0.997199,0.9923968,0.98772395,0.9892562,0.99617976,0.9979453,0.9969064,0.99382323,0.99396163
