label,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
1.0,-1.6969233,0.33177447,-0.076388225,-0.9174138,0.2975291,-0.05932748,0.21494293,-0.1360227,0.111125395,-0.36746293,-0.081707,-0.010181658,-0.038959034,0.28791025,-0.2233522,0.0013564266,-0.051229306,0.111654475,0.03947067,-0.05172676,0.08772639,0.8652976,0.9430332,0.34458202,0.73089486,0.9666745,0.82496977,0.90886384,0.9240027,0.7891239,0.9196229,1.0493047,0.96006924,0.7865127,0.8357231,0.91869205,1.0260944,0.9636663,0.8528985,0.9105972
1.0,-1.3032464,0.3982836,-0.48362088,-0.75693345,0.57378817,-0.2262677,0.4029852,-0.40306282,0.22106735,-0.447301,0.2601434,0.16389635,-0.013026632,0.54730767,-0.509432,0.0839441,-0.15252906,0.4121499,-0.20844483,0.06421307,0.05862441,0.87525386,0.9280217,0.31110772,0.7446714,1.0730134,0.9188776,0.9610872,1.1300274,0.7161226,1.0369422,0.96481293,0.97807175,0.79177916,0.8860965,0.8935898,0.92981315,0.9235199,0.8456962,0.985256
2.0,-1.0994766,0.4138117,-0.42197806,-0.66315895,0.55384433,-0.20428546,0.43969023,-0.3741117,0.25390437,-0.42292404,0.26956233,0.2238513,-0.0437495,0.5626954,-0.47408724,0.09145003,-0.14711496,0.3550995,-0.13129586,0.12182091,0.08359252,0.9290294,0.9721148,0.3710566,0.8224238,1.1065292,0.9729309,1.027334,1.1275312,0.74077034,1.0805967,0.99862516,1.0079786,0.83341694,0.9191131,0.9417718,0.9646986,0.93381566,0.8971243,1.0535437
2.0,1.4702892,-0.033573903,-0.24368462,0.58662486,0.0071300743,-0.22862479,-0.13915408,-0.1614939,-0.12937088,0.060321417,0.24882387,0.04520952,0.16796681,0.03243107,-0.21722326,0.1458072,-0.0074013807,0.20546554,-0.354072,-0.015032157,0.25805166,0.98479176,0.90657777,0.710344,0.952479,0.92355335,0.92491704,0.8824325,0.9592403,1.0680466,0.92555493,0.915059,0.896126,0.9930478,0.8937426,0.86046445,0.8956322,0.90292484,0.81508327,0.9341527
1.0,1.8002558,-0.120729215,-0.20438313,0.77607346,-0.12541957,-0.1963399,-0.23577198,-0.10115714,-0.20759201,0.20000514,0.18705587,-0.010305546,0.2206215,-0.07921917,-0.13831005,0.15781014,0.04897204,0.198285,-0.39617124,-0.050568163,0.2739911,0.97462684,0.8776342,0.70716244,0.922877,0.8666841,0.8921349,0.86208725,0.9311627,1.0387965,0.8802464,0.8728219,0.8851591,0.9848731,0.88656604,0.87404925,0.8705114,0.88708466,0.8175354,0.92003864
1.0,0.65269846,-0.20434164,0.12732188,0.31282926,-0.31714702,0.073656045,-0.1921038,0.094924465,-0.14983153,0.24640372,-0.17134982,-0.0919182,0.08303637,-0.25964564,0.1835832,0.0940891,0.039504252,-0.06701016,-0.041888364,-0.009418502,0.2468872,0.8104971,0.91852695,0.5667991,0.7809213,0.95683867,0.84801334,0.9296673,0.8623923,0.71699446,0.8632433,0.9296851,0.9705716,0.8144202,0.90065646,1.0497595,0.9953589,0.9682427,0.78912616,0.95626223
2.0,1.218105,-0.01060007,-0.2557446,0.49123913,0.05282529,-0.23219556,-0.0909058,-0.18695375,-0.08085157,0.0051174667,0.25103268,0.07427772,0.12912771,0.07179287,-0.22142966,0.12168477,-0.034332782,0.21543837,-0.30512294,0.003202252,0.25177142,0.9954312,0.89631534,0.6759396,0.94760036,0.95052,0.9210466,0.903515,0.9635314,1.0331913,0.955213,0.94938844,0.91466385,0.9790064,0.9207327,0.89621985,0.9328488,0.89703393,0.821621,0.9544722
1.0,0.42774662,-0.1192899,0.120259725,0.20859101,-0.21688612,0.05837685,-0.11847004,0.06677746,-0.07911728,0.17971991,-0.14384085,-0.046907336,0.047670633,-0.17251125,0.144144,0.10264501,0.016606286,-0.05466561,0.005496558,0.013626419,0.25782582,0.83691853,0.94696516,0.57381374,0.80722606,0.97420484,0.8748803,0.93578297,0.86759543,0.74099714,0.8882712,0.95906705,0.9861943,0.830912,0.90367013,1.0643874,1.0164914,0.9789254,0.80851996,0.9633891
2.0,-2.0482764,0.4687254,-0.15891951,-1.1048107,0.5078217,-0.08979285,0.41124234,-0.2161842,0.24829842,-0.5144032,-0.0008687563,0.10452059,-0.09955554,0.5067563,-0.3451405,0.019143946,-0.0976795,0.16249974,0.09368607,0.039086968,0.09332652,0.9300341,0.9837783,0.35550702,0.78359586,1.0033087,0.913146,0.9660982,0.97966766,0.83169234,0.9880474,1.0794448,1.0184723,0.8260222,0.8524193,0.92605996,1.062135,0.991933,0.9070909,0.9481406
1.0,-1.2532719,0.21116814,-0.18375555,-0.7045675,0.22599648,-0.083813444,0.099969,-0.17740455,0.021630812,-0.2622552,-0.022818586,-0.05835425,0.01852882,0.22241041,-0.25820324,0.028924812,-0.05070222,0.15647951,-0.12632261,-0.07210547,0.07115959,0.8143742,0.9001042,0.32410154,0.69978756,0.9412898,0.8060918,0.86022544,0.9311657,0.7405387,0.879107,0.9973377,0.9447021,0.7667422,0.84148794,0.90021586,0.9658633,0.93432975,0.8163908,0.8788043
