Dataset,MAE
ElectricDevices,0.4768281877040863
ArrowHead,0.7318978905677795
CBF,0.4794222414493561
CinCECGTorso,0.5101864337921143
Computers,0.6314899921417236
CricketY,0.7418508529663086
DiatomSizeReduction,0.7666998505592346
DistalPhalanxOutlineCorrect,0.21645328402519226
Earthquakes,0.7233021259307861
ECG5000,0.20851877331733704
Fish,0.7571591734886169
FordB,0.791733980178833
Ham,0.6364702582359314
InsectWingbeatSound,0.5476909875869751
LargeKitchenAppliances,0.3365919888019562
MiddlePhalanxOutlineAgeGroup,0.1634792536497116
MiddlePhalanxTW,0.15969519317150116
NonInvasiveFetalECGThorax1,0.2043389230966568
PhalangesOutlinesCorrect,0.15228953957557678
Plane,0.6127564311027527
ProximalPhalanxOutlineCorrect,0.11510812491178513
RefrigerationDevices,0.8610185384750366
ShapeletSim,0.865709662437439
SmallKitchenAppliances,0.18315675854682922
SonyAIBORobotSurface1,0.4415588974952698
Strawberry,0.15850137174129486
Symbols,0.6475273370742798
ToeSegmentation1,0.7868791818618774
Trace,0.7997938394546509
TwoLeadECG,0.153481587767601
UWaveGestureLibraryY,0.4346703886985779
UWaveGestureLibraryAll,0.8515519499778748
Worms,0.8254528045654297
Yoga,0.7669658660888672
